D5_score,bottom_pair_count,bottom_termination_nm,candidate_id,cavity_spacer_nm,combined_accept,failure_mode,pass_level,scale_profile,score,shortlist_role,source_table,top_pair_count,top_termination_nm
,12,113.0,D5_BASE_13461,182.0,True,none,,base,533449968802.7034,D5_PRIMARY,d5_shortlist,10,0.0
,12,113.0,D5_BASE_13461,182.0,True,none,,base,533449968802.7034,,d5_top20,10,0.0
,12,108.0,D5_BASE_13481,182.0,True,none,,base,488493247715.27594,,d5_top20,10,5.0
,12,113.0,D5_BASE_13881,183.0,True,none,,base,473813957985.1289,,d5_top20,10,0.0
,12,113.0,D5_BASE_14322,184.0,True,none,,base,458856152817.58826,,d5_top20,10,5.0
,12,53.0,D5_BASE_08955,171.0,True,none,,base,341545142538.3828,,d5_top20,10,30.0
,12,108.0,D5_BASE_13901,183.0,True,none,,base,328664380895.4358,,d5_top20,10,5.0
,12,93.0,D5_BASE_11399,177.0,True,none,,base,304166623334.61176,,d5_top20,10,10.0
,12,48.0,D5_BASE_08534,170.0,True,none,,base,232051822147.5865,,d5_top20,10,30.0
,12,113.0,D5_REFINE_34084,185.0,True,none,,bottom_plus2,215046545509.16867,,d5_top20,10,5.0
,12,43.0,D5_BASE_07693,168.0,True,none,,base,209449370817.16022,,d5_top20,10,30.0
,12,58.0,D5_BASE_09355,172.0,True,none,,base,192176484735.31018,,d5_top20,10,25.0
,12,113.0,D5_BASE_14742,185.0,True,none,,base,171195827822.19443,,d5_top20,10,5.0
,12,48.0,D5_BASE_08114,169.0,True,none,,base,167896720209.0957,,d5_top20,10,30.0
,12,68.0,D5_BASE_10176,174.0,True,none,,base,126256790346.70834,,d5_top20,10,20.0
,12,53.0,D5_BASE_08535,170.0,True,none,,base,112985424764.55565,,d5_top20,10,30.0
,12,48.0,D5_BASE_08975,171.0,True,none,,base,99143213616.29167,,d5_top20,10,35.0
,12,73.0,D5_BASE_10177,174.0,True,none,,base,98827571191.7004,,d5_top20,10,20.0
,12,68.0,D5_BASE_09756,173.0,True,none,,base,83949042145.72234,,d5_top20,10,20.0
,12,58.0,D5_BASE_08935,171.0,True,none,,base,78179819104.32614,,d5_top20,10,25.0
,12,63.0,D5_BASE_09356,172.0,True,none,,base,76381278714.61781,,d5_top20,10,25.0
533449968802.7034,12,113.0,D5_BASE_13461,182.0,,,,,,,d5a_manifest,10,0.0
488493247715.27594,12,108.0,D5_BASE_13481,182.0,,,,,,,d5a_manifest,10,5.0
473813957985.1289,12,113.0,D5_BASE_13881,183.0,,,,,,,d5a_manifest,10,0.0
458856152817.58826,12,113.0,D5_BASE_14322,184.0,,,,,,,d5a_manifest,10,5.0
341545142538.3828,12,53.0,D5_BASE_08955,171.0,,,,,,,d5a_manifest,10,30.0
