candidate_id,source_tables,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,normal_offaxis_proxy,offaxis_20_60_penalty,offaxis_30_40_lobe_penalty,te_tm_offaxis_risk_guard_penalty,spectral_center_nm_proxy,spectral_fwhm_nm_proxy,angular_fwhm_deg_proxy,peak_abs_angle_deg_proxy,d5a_min_30_40_phase_margin_deg,tm_offaxis_resonance_crosses_453,center_only_false_positive_risk,source_position_stability_required_flag,center_vs_xline_mismatch_risk,hard_pass,hard_fail_reasons,v2_score
R2_4D2_OPT_13003,d2_top20,8,12,238.0,90,76.0,6.755659,9.3e-05,0.000556,0.0,459.5,2.788,7.277,7.0,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high,-0.04837118672216689
R2_4D2_OPT_08802,d2_top20,10,9,235,74,87,1.514688,0.002091,0.00773,0.0,447.0,2.76,6.92,12.0,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high,-0.5512005434907247
D5_BASE_11399,d5_top20,10,12,177.0,10.0,93.0,76041655831.52144,0.6,0.6,0.0,453.0,missing,missing,missing,missing,False,medium,requires_tri_point_FDTD,medium,False,30_40_lobe_penalty_high,-0.8800000000000001
D5_BASE_14742,d5_top20,10,12,185.0,5.0,113.0,42798956954.002846,0.6,0.6,0.0,453.0,missing,missing,missing,missing,False,medium,requires_tri_point_FDTD,medium,False,30_40_lobe_penalty_high,-0.8800000000000001
D5_BASE_08114,d5_top20,10,12,169.0,30.0,48.0,41974180051.224724,0.6,0.6,0.0,453.0,missing,missing,missing,missing,False,medium,requires_tri_point_FDTD,medium,False,30_40_lobe_penalty_high,-0.8800000000000001
D5_BASE_08535,d5_top20,10,12,170.0,30.0,53.0,28246356190.04347,0.6,0.6,0.0,453.0,missing,missing,missing,missing,False,medium,requires_tri_point_FDTD,medium,False,30_40_lobe_penalty_high,-0.8800000000000001
D5_BASE_09356,d5_top20,10,12,172.0,25.0,63.0,19095319677.375534,0.6,0.6,0.0,453.0,missing,missing,missing,missing,False,medium,requires_tri_point_FDTD,medium,False,30_40_lobe_penalty_high,-0.8800000000000001
D5_BASE_13901,d5_top20,10,12,183.0,5.0,108.0,82166095222.57481,0.6,0.6,0.0,452.5,missing,missing,missing,missing,False,medium,requires_tri_point_FDTD,medium,False,30_40_lobe_penalty_high,-0.9300000000000002
D5_BASE_08534,d5_top20,10,12,170.0,30.0,48.0,58012955536.47736,0.6,0.6,0.0,452.5,missing,missing,missing,missing,False,medium,requires_tri_point_FDTD,medium,False,30_40_lobe_penalty_high,-0.9300000000000002
D5_BASE_07693,d5_top20,10,12,168.0,30.0,43.0,52362342703.75149,0.6,0.6,0.0,452.5,missing,missing,missing,missing,False,medium,requires_tri_point_FDTD,medium,False,30_40_lobe_penalty_high,-0.9300000000000002
D5_BASE_08975,d5_top20,10,12,171.0,35.0,48.0,24785803403.311512,0.6,0.6,0.0,452.5,missing,missing,missing,missing,False,medium,requires_tri_point_FDTD,medium,False,30_40_lobe_penalty_high,-0.9300000000000002
D5_BASE_10177,d5_top20,10,12,174.0,20.0,73.0,24706892796.422493,0.6,0.6,0.0,452.5,missing,missing,missing,missing,False,medium,requires_tri_point_FDTD,medium,False,30_40_lobe_penalty_high,-0.9300000000000002
