candidate_id,family_id,top_pair_count,bottom_pair_count,top_termination_nm,bottom_termination_nm,cavity_physical_thickness_nm,cavity_optical_thickness_proxy_nm,spacer_or_cap_thickness_nm,target_wavelength_nm,te_tm_angle_grid_deg,wavelength_grid_nm,source_position_status,negative_reference_excluded,normal_angle_resonance_strength_proxy,normal_offaxis_proxy,offaxis_20_60_penalty,offaxis_30_40_lobe_penalty,te_tm_mismatch_proxy,te_tm_offaxis_risk_guard,angular_fwhm_deg_proxy,spectral_center_nm_proxy,spectral_fwhm_nm_proxy,center_only_false_positive_risk,source_position_stability_status,d5_like_risk_flag,hard_pass,hard_fail_reasons,v2_proxy_score
E1_0236,E0C_MQW_lateral_extent_robust_cavity,6,6,45,75,260,637.0,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.991894,2.583981,0.319923,0.277206,0.214286,0.2426,9.078843,452.46,7.81581,medium,requires_tri_point_FDTD,low,True,none,3.301443
E1_0240,E0C_MQW_lateral_extent_robust_cavity,6,6,45,75,290,710.5,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.884293,2.303671,0.319923,0.277206,0.214286,0.2426,9.616846,452.76,7.81581,medium,requires_tri_point_FDTD,low,True,none,2.708222
E1_0272,E0C_MQW_lateral_extent_robust_cavity,7,6,45,75,260,637.0,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.966894,2.324177,0.359483,0.291066,0.255952,0.271754,10.074163,452.46,7.6616,medium,requires_tri_point_FDTD,low,True,none,2.621031
E1_0232,E0C_MQW_lateral_extent_robust_cavity,6,6,45,75,230,563.5,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.884293,2.303671,0.319923,0.277206,0.214286,0.2426,9.616846,452.16,7.81581,medium,requires_tri_point_FDTD,low,True,none,2.558222
E1_0260,E0C_MQW_lateral_extent_robust_cavity,7,4,45,75,260,637.0,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.916894,2.297924,0.366363,0.263346,0.339286,0.305113,10.475523,452.46,7.97002,medium,requires_tri_point_FDTD,low,True,none,2.500119
E1_0284,E0C_MQW_lateral_extent_robust_cavity,7,8,45,75,260,637.0,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.966894,2.117263,0.395603,0.318786,0.255952,0.284228,10.868803,452.46,7.35318,medium,requires_tri_point_FDTD,low,True,none,2.080604
E1_0276,E0C_MQW_lateral_extent_robust_cavity,7,6,45,75,290,710.5,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.859293,2.065531,0.359483,0.291066,0.255952,0.271754,10.612166,452.76,7.6616,medium,requires_tri_point_FDTD,low,True,none,2.071139
E1_0264,E0C_MQW_lateral_extent_robust_cavity,7,4,45,75,290,710.5,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.809293,2.072239,0.366363,0.252054,0.339286,0.300032,11.013526,452.76,7.953081,medium,requires_tri_point_FDTD,low,True,none,2.054314
E1_0248,E0C_MQW_lateral_extent_robust_cavity,6,8,45,75,260,637.0,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.941894,2.101651,0.399043,0.304926,0.297619,0.300907,11.069483,452.46,7.50739,medium,requires_tri_point_FDTD,low,True,none,2.015176
E1_0268,E0C_MQW_lateral_extent_robust_cavity,7,6,45,75,230,563.5,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.859293,2.065531,0.359483,0.291066,0.255952,0.271754,10.612166,452.16,7.6616,medium,requires_tri_point_FDTD,low,True,none,1.921139
E1_0256,E0C_MQW_lateral_extent_robust_cavity,7,4,45,75,230,563.5,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.809293,2.072239,0.366363,0.252054,0.339286,0.300032,11.013526,452.16,7.953081,medium,requires_tri_point_FDTD,low,True,none,1.904314
E1_0288,E0C_MQW_lateral_extent_robust_cavity,7,8,45,75,290,710.5,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.859293,1.881643,0.395603,0.318786,0.255952,0.284228,11.406806,452.76,7.35318,medium,requires_tri_point_FDTD,low,True,none,1.576764
E1_0252,E0C_MQW_lateral_extent_robust_cavity,6,8,45,75,290,710.5,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.834293,1.861561,0.399043,0.304926,0.297619,0.300907,11.607486,452.76,7.50739,medium,requires_tri_point_FDTD,low,True,none,1.502396
