trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-89.99999914622636,1.2894524675129362e-08
case,-0.7,-87.43680027996089,2.1655707701115347e-08
case,-0.7,-86.37478578672372,2.6495909488446838e-08
case,-0.7,-85.55966694730674,3.0716532717686814e-08
case,-0.7,-84.87231698093369,3.46033513127636e-08
case,-0.7,-84.26659730796267,3.825703708045851e-08
case,-0.7,-83.7188473002472,4.172393898625562e-08
case,-0.7,-83.21501265029943,4.5028745920748524e-08
case,-0.7,-82.74593696669073,4.818612519736858e-08
case,-0.7,-82.30526072729027,5.1205696603271295e-08
case,-0.7,-81.88835398580235,5.409436499141902e-08
case,-0.7,-81.49172179461118,5.685743265447838e-08
case,-0.7,-81.11264914981503,5.949907991604638e-08
case,-0.7,-80.74897712783695,6.20224897858426e-08
case,-0.7,-80.39895542436832,6.44297612303818e-08
case,-0.7,-80.06114165487263,6.672169579665755e-08
case,-0.7,-79.73433047718744,6.889751341576809e-08
case,-0.7,-79.41750240380574,7.095453857815108e-08
case,-0.7,-79.10978600479763,7.288789029190375e-08
case,-0.7,-78.8104294537864,7.469020474897393e-08
case,-0.7,-78.51877874041668,7.635141661080263e-08
case,-0.7,-78.23426073431965,7.785862230664868e-08
case,-0.7,-77.95636984216819,7.91960461710461e-08
case,-0.7,-77.68465736788467,8.034512733117557e-08
case,-0.7,-77.41872293538925,8.128474183700703e-08
case,-0.7,-77.15820750531542,8.199157055094707e-08
case,-0.7,-76.90278763795686,8.244061879323441e-08
case,-0.7,-76.65217074095705,8.260588874150386e-08
case,-0.7,-76.40609110272075,8.246120021650296e-08
case,-0.7,-76.1643065583835,8.19811498923004e-08
case,-0.7,-75.92659566925778,8.114219331429969e-08
case,-0.7,-75.6927553222919,7.992382857440268e-08
case,-0.7,-75.46259867554336,7.830985527073066e-08
case,-0.7,-75.2359533905971,7.628967766105284e-08
case,-0.7,-75.01266010441917,7.385961688877961e-08
case,-0.7,-74.79257110216234,7.102419398744557e-08
case,-0.7,-74.57554915954199,6.779734320139779e-08
case,-0.7,-74.36146652903307,6.42035141159346e-08
case,-0.7,-74.15020404863628,6.027862125481638e-08
case,-0.7,-73.94165035557546,5.6070801224557956e-08
case,-0.7,-73.73570119021143,5.164094017059344e-08
case,-0.7,-73.5322587778365,4.7062938226056096e-08
case,-0.7,-73.33123127795712,4.242368270430175e-08
case,-0.7,-73.13253229227459,3.782270789700811e-08
case,-0.7,-72.9360804238938,3.3371526340642774e-08
case,-0.7,-72.74179888138862,2.9192624124361987e-08
case,-0.7,-72.5496151222685,2.5418121026121383e-08
case,-0.7,-72.35946053115805,2.218810475701056e-08
case,-0.7,-72.17127012864599,1.964865713208707e-08
case,-0.7,-71.9849823073061,1.794959833204658e-08
case,-0.7,-71.80053859185354,1.724198334180391e-08
case,-0.7,-71.6178834207933,1.7675391930017404e-08
case,-0.7,-71.43696394725384,1.9395059967914596e-08
case,-0.7,-71.25772985698381,2.2538905302345066e-08
case,-0.7,-71.08013320173983,2.7234505653415664e-08
case,-0.7,-70.90412824650302,3.359608899248259e-08
case,-0.7,-70.7296713291473,4.1721598499731624e-08
case,-0.7,-70.55672073134137,5.168989446802218e-08
case,-0.7,-70.38523655960435,6.355815441450976e-08
case,-0.7,-70.21518063555617,7.735953022293569e-08
case,-0.7,-70.04651639450873,9.310111743925376e-08
case,-0.7,-69.87920879163549,1.1076228698210694e-07
case,-0.7,-69.7132242150396,1.3029342363222678e-07
case,-0.7,-69.54853040510996,1.5161510887445426e-07
case,-0.7,-69.38509637961832,1.7461777813922813e-07
case,-0.7,-69.22289236406615,1.991618743910456e-07
case,-0.7,-69.06188972683796,2.2507851150578754e-07
case,-0.7,-68.90206091876227,2.5217065213051756e-07
case,-0.7,-68.74337941671942,2.802147958853051e-07
case,-0.7,-68.5858196709698,3.089631649936775e-07
case,-0.7,-68.4293570559072,3.381463658510729e-07
case,-0.7,-68.27396782396883,3.6747649678007775e-07
case,-0.7,-68.11962906245793,3.9665066438425874e-07
case,-0.7,-67.9663186530576,4.253548635924886e-07
case,-0.7,-67.8140152338336,4.5326816976423406e-07
case,-0.7,-67.66269816354124,4.80067185174284e-07
case,-0.7,-67.51234748806844,5.054306768760916e-07
case,-0.7,-67.36294390886036,5.290443384136761e-07
case,-0.7,-67.21446875318475,5.506056041673007e-07
case,-0.7,-67.06690394610837,5.698284423309223e-07
case,-0.7,-66.9202319840658,5.864480506829506e-07
