candidate_id,route,route_name,top_pair_count,bottom_pair_count,top_termination_nm,bottom_termination_nm,cavity_thickness_nm,mdc_m,mdc_sio2_nm,mdc_tio2_nm,cap_thickness_nm,target_wavelength_nm,te_tm_angle_grid_deg,spectral_FWHM_proxy_nm,angular_FWHM_proxy_deg,peak_abs_angle_proxy_deg,normal_cone_energy_proxy,eta5_proxy,eta10_proxy,eta20_proxy,normal_offaxis_proxy,offaxis_20_60_penalty,offaxis_30_40_lobe_penalty,faroffaxis_45_55_lobe_penalty,broad_40_60_faroffaxis_penalty,TE_TM_mismatch_risk,D5_like_risk_flag,E1_0236_like_risk_flag,source_position_status,hard_pass,hard_fail_reasons,relaxed_target_score
F0_0781,B,top_MDC_angular_filter,7,0,0,0,230,7,100,52,0,453,0:0.5:60,7.2,16.125,2.445112,1.0,0.287774,0.567774,0.867774,2.706048,0.255427,0.172439,0.2475,0.200774,0.261875,low,low,requires_tri_point_FDTD,True,none,3.620633
F0_0782,B,top_MDC_angular_filter,7,0,40,0,230,7,100,52,40,453,0:0.5:60,7.2,16.125,2.445112,1.0,0.287774,0.567774,0.867774,2.706048,0.255427,0.172439,0.2475,0.200774,0.261875,low,low,requires_tri_point_FDTD,True,none,3.620633
F0_0783,B,top_MDC_angular_filter,7,0,80,0,230,7,100,52,80,453,0:0.5:60,7.2,16.125,2.445112,1.0,0.287774,0.567774,0.867774,2.706048,0.255427,0.172439,0.2475,0.200774,0.261875,low,low,requires_tri_point_FDTD,True,none,3.620633
F0_0790,B,top_MDC_angular_filter,7,0,0,0,230,7,110,45,0,453,0:0.5:60,7.221924,16.155694,2.453882,1.0,0.287731,0.567731,0.867731,2.701464,0.255777,0.17279,0.247938,0.201094,0.374485,low,low,requires_tri_point_FDTD,True,none,3.491155
F0_0791,B,top_MDC_angular_filter,7,0,40,0,230,7,110,45,40,453,0:0.5:60,7.221924,16.155694,2.453882,1.0,0.287731,0.567731,0.867731,2.701464,0.255777,0.17279,0.247938,0.201094,0.374485,low,low,requires_tri_point_FDTD,True,none,3.491155
F0_0792,B,top_MDC_angular_filter,7,0,80,0,230,7,110,45,80,453,0:0.5:60,7.221924,16.155694,2.453882,1.0,0.287731,0.567731,0.867731,2.701464,0.255777,0.17279,0.247938,0.201094,0.374485,low,low,requires_tri_point_FDTD,True,none,3.491155
F0_0733,B,top_MDC_angular_filter,6,0,0,0,230,6,100,52,0,453,0:0.5:60,7.34,17.12,2.445112,1.0,0.287774,0.567774,0.860774,2.666186,0.263427,0.175939,0.2482,0.217889,0.26205,low,low,requires_tri_point_FDTD,True,none,3.429073
F0_0734,B,top_MDC_angular_filter,6,0,40,0,230,6,100,52,40,453,0:0.5:60,7.34,17.12,2.445112,1.0,0.287774,0.567774,0.860774,2.666186,0.263427,0.175939,0.2482,0.217889,0.26205,low,low,requires_tri_point_FDTD,True,none,3.429073
F0_0735,B,top_MDC_angular_filter,6,0,80,0,230,6,100,52,80,453,0:0.5:60,7.34,17.12,2.445112,1.0,0.287774,0.567774,0.860774,2.666186,0.263427,0.175939,0.2482,0.217889,0.26205,low,low,requires_tri_point_FDTD,True,none,3.429073
F0_0742,B,top_MDC_angular_filter,6,0,0,0,230,6,110,45,0,453,0:0.5:60,7.361924,17.150694,2.453882,1.0,0.287731,0.567731,0.860731,2.661736,0.263777,0.17629,0.248638,0.218209,0.37466,low,low,requires_tri_point_FDTD,True,none,3.299863
F0_0743,B,top_MDC_angular_filter,6,0,40,0,230,6,110,45,40,453,0:0.5:60,7.361924,17.150694,2.453882,1.0,0.287731,0.567731,0.860731,2.661736,0.263777,0.17629,0.248638,0.218209,0.37466,low,low,requires_tri_point_FDTD,True,none,3.299863
F0_0744,B,top_MDC_angular_filter,6,0,80,0,230,6,110,45,80,453,0:0.5:60,7.361924,17.150694,2.453882,1.0,0.287731,0.567731,0.860731,2.661736,0.263777,0.17629,0.248638,0.218209,0.37466,low,low,requires_tri_point_FDTD,True,none,3.299863
F0_0204,A,high_top_DBR_RCLED,9,10,0,0,230,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0205,A,high_top_DBR_RCLED,9,10,0,60,230,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0206,A,high_top_DBR_RCLED,9,10,0,120,230,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0207,A,high_top_DBR_RCLED,9,10,40,0,230,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0208,A,high_top_DBR_RCLED,9,10,40,60,230,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0209,A,high_top_DBR_RCLED,9,10,40,120,230,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0210,A,high_top_DBR_RCLED,9,10,80,0,230,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0211,A,high_top_DBR_RCLED,9,10,80,60,230,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0212,A,high_top_DBR_RCLED,9,10,80,120,230,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0213,A,high_top_DBR_RCLED,9,10,120,0,230,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0214,A,high_top_DBR_RCLED,9,10,120,60,230,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0215,A,high_top_DBR_RCLED,9,10,120,120,230,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.405,1.853007,0.949771,0.280689,0.554662,0.841662,2.41815,0.278927,0.178939,0.2609,0.241029,0.225751,low,low,requires_tri_point_FDTD,True,none,2.976278
F0_0443,A,high_top_DBR_RCLED,9,11,0,0,230,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0444,A,high_top_DBR_RCLED,9,11,0,60,230,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0445,A,high_top_DBR_RCLED,9,11,0,120,230,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0446,A,high_top_DBR_RCLED,9,11,40,0,230,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0447,A,high_top_DBR_RCLED,9,11,40,60,230,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0448,A,high_top_DBR_RCLED,9,11,40,120,230,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0449,A,high_top_DBR_RCLED,9,11,80,0,230,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0450,A,high_top_DBR_RCLED,9,11,80,60,230,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0451,A,high_top_DBR_RCLED,9,11,80,120,230,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0452,A,high_top_DBR_RCLED,9,11,120,0,230,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0453,A,high_top_DBR_RCLED,9,11,120,60,230,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0454,A,high_top_DBR_RCLED,9,11,120,120,230,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.58,1.995112,0.949771,0.279979,0.553951,0.840951,2.386254,0.282427,0.178939,0.2658,0.244459,0.23645,low,low,requires_tri_point_FDTD,True,none,2.854942
F0_0216,A,high_top_DBR_RCLED,9,10,0,0,255,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0217,A,high_top_DBR_RCLED,9,10,0,60,255,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0218,A,high_top_DBR_RCLED,9,10,0,120,255,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0219,A,high_top_DBR_RCLED,9,10,40,0,255,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0220,A,high_top_DBR_RCLED,9,10,40,60,255,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0221,A,high_top_DBR_RCLED,9,10,40,120,255,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0222,A,high_top_DBR_RCLED,9,10,80,0,255,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0223,A,high_top_DBR_RCLED,9,10,80,60,255,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0224,A,high_top_DBR_RCLED,9,10,80,120,255,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0225,A,high_top_DBR_RCLED,9,10,120,0,255,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0226,A,high_top_DBR_RCLED,9,10,120,60,255,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0227,A,high_top_DBR_RCLED,9,10,120,120,255,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.405,2.090219,0.941469,0.277843,0.550819,0.837819,2.380122,0.282485,0.181904,0.2609,0.242275,0.225751,low,low,requires_tri_point_FDTD,True,none,2.845882
F0_0682,A,high_top_DBR_RCLED,9,12,0,0,230,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0683,A,high_top_DBR_RCLED,9,12,0,60,230,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0684,A,high_top_DBR_RCLED,9,12,0,120,230,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0685,A,high_top_DBR_RCLED,9,12,40,0,230,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0686,A,high_top_DBR_RCLED,9,12,40,60,230,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0687,A,high_top_DBR_RCLED,9,12,40,120,230,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0688,A,high_top_DBR_RCLED,9,12,80,0,230,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0689,A,high_top_DBR_RCLED,9,12,80,60,230,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0690,A,high_top_DBR_RCLED,9,12,80,120,230,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0691,A,high_top_DBR_RCLED,9,12,120,0,230,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0692,A,high_top_DBR_RCLED,9,12,120,60,230,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0693,A,high_top_DBR_RCLED,9,12,120,120,230,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.755,2.123684,0.949771,0.279336,0.553308,0.840308,2.355188,0.285927,0.178939,0.2707,0.247889,0.246246,low,low,requires_tri_point_FDTD,True,none,2.738241
F0_0455,A,high_top_DBR_RCLED,9,11,0,0,255,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0456,A,high_top_DBR_RCLED,9,11,0,60,255,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0457,A,high_top_DBR_RCLED,9,11,0,120,255,n/a,n/a,n/a,0,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0458,A,high_top_DBR_RCLED,9,11,40,0,255,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0459,A,high_top_DBR_RCLED,9,11,40,60,255,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0460,A,high_top_DBR_RCLED,9,11,40,120,255,n/a,n/a,n/a,40,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0461,A,high_top_DBR_RCLED,9,11,80,0,255,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0462,A,high_top_DBR_RCLED,9,11,80,60,255,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0463,A,high_top_DBR_RCLED,9,11,80,120,255,n/a,n/a,n/a,80,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0464,A,high_top_DBR_RCLED,9,11,120,0,255,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0465,A,high_top_DBR_RCLED,9,11,120,60,255,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0466,A,high_top_DBR_RCLED,9,11,120,120,255,n/a,n/a,n/a,120,453,0:0.5:60,6.26,18.58,2.232324,0.941469,0.277132,0.550108,0.837108,2.348945,0.285985,0.181904,0.2658,0.245705,0.23645,low,low,requires_tri_point_FDTD,True,none,2.725987
F0_0157,A,high_top_DBR_RCLED,8,10,0,0,230,n/a,n/a,n/a,0,453,0:0.5:60,6.42,19.51,2.028445,0.935371,0.276932,0.549177,0.828177,2.349485,0.287427,0.182939,0.2608,0.259959,0.237422,low,low,requires_tri_point_FDTD,True,none,2.657386
F0_0158,A,high_top_DBR_RCLED,8,10,0,60,230,n/a,n/a,n/a,0,453,0:0.5:60,6.42,19.51,2.028445,0.935371,0.276932,0.549177,0.828177,2.349485,0.287427,0.182939,0.2608,0.259959,0.237422,low,low,requires_tri_point_FDTD,True,none,2.657386
F0_0159,A,high_top_DBR_RCLED,8,10,0,120,230,n/a,n/a,n/a,0,453,0:0.5:60,6.42,19.51,2.028445,0.935371,0.276932,0.549177,0.828177,2.349485,0.287427,0.182939,0.2608,0.259959,0.237422,low,low,requires_tri_point_FDTD,True,none,2.657386
