trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-89.99999914622636,1.0595695380969464e-08
case,-0.7,-87.43680027996089,2.736317895868462e-08
case,-0.7,-86.37478578672372,4.01912636372928e-08
case,-0.7,-85.55966694730674,5.354292378230918e-08
case,-0.7,-84.87231698093369,6.770458923175342e-08
case,-0.7,-84.26659730796267,8.271666097916774e-08
case,-0.7,-83.7188473002472,9.853729637715137e-08
case,-0.7,-83.21501265029943,1.1508147252521144e-07
case,-0.7,-82.74593696669073,1.3223492652951806e-07
case,-0.7,-82.30526072729027,1.498607819444752e-07
case,-0.7,-81.88835398580235,1.6780366920020635e-07
case,-0.7,-81.49172179461118,1.858929723599554e-07
case,-0.7,-81.11264914981503,2.0394584126481635e-07
case,-0.7,-80.74897712783695,2.217702389651617e-07
case,-0.7,-80.39895542436832,2.391681369999919e-07
case,-0.7,-80.06114165487263,2.5593889535335304e-07
case,-0.7,-79.73433047718744,2.718828230040487e-07
case,-0.7,-79.41750240380574,2.8680489036157465e-07
case,-0.7,-79.10978600479763,3.0051854865364253e-07
case,-0.7,-78.8104294537864,3.128495999576999e-07
case,-0.7,-78.51877874041668,3.236400534148226e-07
case,-0.7,-78.23426073431965,3.327518974701181e-07
case,-0.7,-77.95636984216819,3.4007071440541305e-07
case,-0.7,-77.68465736788467,3.455090618196942e-07
case,-0.7,-77.41872293538925,3.4900954600824774e-07
case,-0.7,-77.15820750531542,3.505475143583211e-07
case,-0.7,-76.90278763795686,3.5013329787852613e-07
case,-0.7,-76.65217074095705,3.4781394075045223e-07
case,-0.7,-76.40609110272075,3.4367436124131015e-07
case,-0.7,-76.1643065583835,3.3783789731678647e-07
case,-0.7,-75.92659566925778,3.304662006764052e-07
case,-0.7,-75.6927553222919,3.217584544958546e-07
case,-0.7,-75.46259867554336,3.1194990266448236e-07
case,-0.7,-75.2359533905971,3.0130969148548396e-07
case,-0.7,-75.01266010441917,2.9013803837223737e-07
case,-0.7,-74.79257110216234,2.7876275572229e-07
case,-0.7,-74.57554915954199,2.675351715680635e-07
case,-0.7,-74.36146652903307,2.5682550147799286e-07
case,-0.7,-74.15020404863628,2.470177382096986e-07
case,-0.7,-73.94165035557546,2.385041365104583e-07
case,-0.7,-73.73570119021143,2.31679379957011e-07
case,-0.7,-73.5322587778365,2.2693452459506972e-07
case,-0.7,-73.33123127795712,2.246508201854311e-07
case,-0.7,-73.13253229227459,2.2519351393754414e-07
case,-0.7,-72.9360804238938,2.289057436091544e-07
case,-0.7,-72.74179888138862,2.361026267178053e-07
case,-0.7,-72.5496151222685,2.4706565034282737e-07
case,-0.7,-72.35946053115805,2.6203746164144215e-07
case,-0.7,-72.17127012864599,2.8121715285476945e-07
case,-0.7,-71.9849823073061,3.047561263793321e-07
case,-0.7,-71.80053859185354,3.3275461560871575e-07
case,-0.7,-71.6178834207933,3.6525892592585486e-07
case,-0.7,-71.43696394725384,4.0225944769608385e-07
case,-0.7,-71.25772985698381,4.436894796444803e-07
case,-0.7,-71.08013320173983,4.894248868835478e-07
case,-0.7,-70.90412824650302,5.392846033824366e-07
case,-0.7,-70.7296713291473,5.930319741308323e-07
case,-0.7,-70.55672073134137,6.503769179372798e-07
case,-0.7,-70.38523655960435,7.109788779877845e-07
case,-0.7,-70.21518063555617,7.744505142322486e-07
case,-0.7,-70.04651639450873,8.403620795955544e-07
case,-0.7,-69.87920879163549,9.082464111310275e-07
case,-0.7,-69.7132242150396,9.776044577191358e-07
case,-0.7,-69.54853040510996,1.047911257903116e-06
case,-0.7,-69.38509637961832,1.1186222750503927e-06
case,-0.7,-69.22289236406615,1.1891799923043585e-06
case,-0.7,-69.06188972683796,1.2590206667816085e-06
case,-0.7,-68.90206091876227,1.32758114117867e-06
case,-0.7,-68.74337941671942,1.394305611353297e-06
case,-0.7,-68.5858196709698,1.4586522504842751e-06
case,-0.7,-68.4293570559072,1.5200995940116876e-06
case,-0.7,-68.27396782396883,1.578152594616504e-06
case,-0.7,-68.11962906245793,1.6323482628958362e-06
case,-0.7,-67.9663186530576,1.6822608169947596e-06
case,-0.7,-67.8140152338336,1.7275062731220888e-06
case,-0.7,-67.66269816354124,1.76774641845117e-06
case,-0.7,-67.51234748806844,1.8026921182265348e-06
case,-0.7,-67.36294390886036,1.8321059197971226e-06
case,-0.7,-67.21446875318475,1.8558039276083277e-06
case,-0.7,-67.06690394610837,1.8736569347383476e-06
case,-0.7,-66.9202319840658,1.8855908081894977e-06
case,-0.7,-66.77443590991125,1.8915861366738602e-06
case,-0.7,-66.62949928935345,1.8916771608981982e-06
case,-0.7,-66.48540618868022,1.885950017192728e-06
case,-0.7,-66.34214115368837,1.8745403355829775e-06
case,-0.7,-66.19968918973962,1.8576302429206018e-06
case,-0.7,-66.05803574287006,1.8354448303216233e-06
case,-0.7,-65.91716668188604,1.8082481517716235e-06
case,-0.7,-65.77706828138395,1.776338827220697e-06
case,-0.7,-65.6377272056365,1.7400453286932977e-06
case,-0.7,-65.49913049329244,1.699721031781361e-06
case,-0.7,-65.36126554283915,1.6557391172945765e-06
case,-0.7,-65.22412009878309,1.6084874087504326e-06
case,-0.7,-65.0876822385048,1.5583632307647293e-06
case,-0.7,-64.95194035974859,1.5057683712420028e-06
case,-0.7,-64.81688316871022,1.4511042265852668e-06
case,-0.7,-64.68249966868754,1.3947672039957327e-06
case,-0.7,-64.5487791492625,1.3371444483979545e-06
case,-0.7,-64.4157111759837,1.2786099537171272e-06
case,-0.7,-64.28328558052225,1.2195211092978997e-06
case,-0.7,-64.15149245127412,1.1602157223621665e-06
case,-0.7,-64.02032212438473,1.1010095467584833e-06
case,-0.7,-63.88976517517275,1.0421943370830455e-06
case,-0.7,-63.75981240993156,9.840364357962096e-07
case,-0.7,-63.630454858088555,9.267758894776275e-07
case,-0.7,-63.501683764702946,8.706260791231354e-07
case,-0.7,-63.37349058328467,8.15773838654714e-07
case,-0.7,-63.24586696891765,7.623800258514053e-07
case,-0.7,-63.118804771672075,7.105805009608862e-07
case,-0.7,-62.99229603029031,6.604874605437907e-07
case,-0.7,-62.866332966133506,6.121910678326449e-07
case,-0.7,-62.74090797737537,5.657613162167128e-07
case,-0.7,-62.616013633430946,5.212500595139789e-07
case,-0.7,-62.49164266960896,4.786931415380073e-07
case,-0.7,-62.367787981976925,4.381125581372937e-07
case,-0.7,-62.2444426224285,3.995185873541754e-07
case,-0.7,-62.12159979394388,3.6291182754422075e-07
case,-0.7,-61.999252846033514,3.2828508909027593e-07
case,-0.7,-61.87739527035707,2.95625092565606e-07
case,-0.7,-61.756020696509225,2.649139346329836e-07
case,-0.7,-61.63512288796456,2.3613029235931065e-07
case,-0.7,-61.51469573817442,2.0925034669710265e-07
case,-0.7,-61.39473326680869,1.8424841633237244e-07
case,-0.7,-61.275229616136194,1.6109730360842797e-07
case,-0.7,-61.15617904753717,1.397683644897007e-07
case,-0.7,-61.03757593814228,1.2023132421923325e-07
case,-0.7,-60.91941477759251,1.0245386915519286e-07
case,-0.7,-60.801690164914675,8.640105297943761e-08
case,-0.7,-60.684396805507426,7.203456182314427e-08
case,-0.7,-60.56752950823321,5.931188766129713e-08
case,-0.7,-60.45108318261152,4.8185462447978526e-08
case,-0.7,-60.33505283610929,3.8601806808867755e-08
case,-0.7,-60.219433571524206,3.050074664229228e-08
case,-0.7,-60.104220584457096,2.381474872776053e-08
case,-0.7,-59.98940916086991,1.8468422478409128e-08
case,-0.7,-59.87499467472562,1.4378229430861472e-08
case,-0.7,-59.76097258570651,1.1452435120195175e-08
case,-0.7,-59.64733843700814,9.591329858663401e-09
case,-0.7,-59.534087853205754,8.687735878886086e-09
case,-0.7,-59.42121653818987,8.627808596336012e-09
case,-0.7,-59.30872027316898,9.292129690527708e-09
case,-0.7,-59.19659491473636,1.0557079605920038e-08
case,-0.7,-59.084836392998334,1.2296467237329925e-08
case,-0.7,-58.97344070976207,1.4383385285124716e-08
case,-0.7,-58.86240393678012,1.6692251317740368e-08
case,-0.7,-58.751722214049956,1.9100987211011805e-08
case,-0.7,-58.64139174816628,2.149328355912846e-08
case,-0.7,-58.531408810723825,2.376089104479516e-08
case,-0.7,-58.42176973676931,2.5805877746564057e-08
case,-0.7,-58.312470923300324,2.7542790032953052e-08
case,-0.7,-58.20350882780943,2.8900655081795346e-08
case,-0.7,-58.09487996687213,2.9824765157806895e-08
case,-0.7,-57.98658091477663,3.027818752445161e-08
case,-0.7,-57.87860830219438,3.024294915800459e-08
case,-0.7,-57.770958814889624,2.972085213383575e-08
case,-0.7,-57.663629192466495,2.8733883495376837e-08
case,-0.7,-57.55661622715268,2.7324192395111193e-08
case,-0.7,-57.44991676261811,2.555361709260007e-08
case,-0.7,-57.34352769282732,2.350275477001147e-08
case,-0.7,-57.237445960924745,2.126957783477591e-08
case,-0.7,-57.13166855815133,1.8967611172904253e-08
case,-0.7,-57.026192522791696,1.672369544910952e-08
case,-0.7,-56.92101493915078,1.4675371783252824e-08
case,-0.7,-56.816132936558745,1.29679327416632e-08
case,-0.7,-56.71154368840345,1.1751193358163583e-08
case,-0.7,-56.607244411189534,1.11760436547595e-08
case,-0.7,-56.503232363622914,1.1390850700014492e-08
