case_id,step,status,detail
air_reference,open_lumerical_session,ok,blank project; no H1J4 FSP
air_reference,switch_to_layout,ok,None
air_reference,addrcwa,ok,None
air_reference,set RCWA.x,ok,None
air_reference,set RCWA.y,ok,None
air_reference,set RCWA.z,ok,None
air_reference,set RCWA.x span,ok,None
air_reference,set RCWA.y span,ok,None
air_reference,set RCWA.z span,ok,None
air_reference,set RCWA.minimum wavelength,ok,None
air_reference,set RCWA.maximum wavelength,ok,None
air_reference,set RCWA.wavelength center,ok,None
air_reference,set RCWA.frequency points,ok,None
air_reference,set RCWA.angle theta,ok,None
air_reference,set RCWA.angle phi,ok,None
air_reference,set RCWA.polarization angle,failed,"LumApiError: ""in setnamed, the requested property 'polarization angle'  was not found"""
air_reference,set RCWA.maximum number of k vectors,failed,"LumApiError: ""in setnamed, the requested property 'maximum number of k vectors'  was not found"""
air_reference,set RCWA.max number k vectors,ok,None
air_reference,set RCWA.harmonics,failed,"LumApiError: ""in setnamed, the requested property 'harmonics'  was not found"""
air_reference,run_tiny_rcwa,ok,None
air_reference,getresult total_energy,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""theta"": ""[[0.]]"", ""phi"": ""[[0.]]"", ""Rs"": ""[[-0.]]"", ""Ts"": ""[[1.]]"", ""Rp"": ""[[-0.]]"", ""Tp"": ""[[1.]]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""], [""theta"", ""phi""]], ""attributes"": [""Rs"", ""Ts"", ""Rp"", ""Tp""]}}"
air_reference,getresult substrate,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""n_upper"": ""[1.+0.j]"", ""n_lower"": ""[1.+0.j]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""]], ""attributes"": [""n_upper"", ""n_lower""]}}"
air_reference,getresult simulation_run_time,ok,0.0072728
air_reference,close_lumerical_session,ok,None
single_SiO2_proxy,open_lumerical_session,ok,blank project; no H1J4 FSP
single_SiO2_proxy,switch_to_layout,ok,None
single_SiO2_proxy,addrcwa,ok,None
single_SiO2_proxy,set RCWA.x,ok,None
single_SiO2_proxy,set RCWA.y,ok,None
single_SiO2_proxy,set RCWA.z,ok,None
single_SiO2_proxy,set RCWA.x span,ok,None
single_SiO2_proxy,set RCWA.y span,ok,None
single_SiO2_proxy,set RCWA.z span,ok,None
single_SiO2_proxy,set RCWA.minimum wavelength,ok,None
single_SiO2_proxy,set RCWA.maximum wavelength,ok,None
single_SiO2_proxy,set RCWA.wavelength center,ok,None
single_SiO2_proxy,set RCWA.frequency points,ok,None
single_SiO2_proxy,set RCWA.angle theta,ok,None
single_SiO2_proxy,set RCWA.angle phi,ok,None
single_SiO2_proxy,set RCWA.polarization angle,failed,"LumApiError: ""in setnamed, the requested property 'polarization angle'  was not found"""
single_SiO2_proxy,set RCWA.maximum number of k vectors,failed,"LumApiError: ""in setnamed, the requested property 'maximum number of k vectors'  was not found"""
single_SiO2_proxy,set RCWA.max number k vectors,ok,None
single_SiO2_proxy,set RCWA.harmonics,failed,"LumApiError: ""in setnamed, the requested property 'harmonics'  was not found"""
single_SiO2_proxy,add layer 01_SiO2,ok,<lumapi.SimObject object at 0x0000027EA411E9B0>
single_SiO2_proxy,name layer 01_SiO2,ok,None
single_SiO2_proxy,set 01_SiO2.material,ok,None
single_SiO2_proxy,set 01_SiO2.index,ok,None
single_SiO2_proxy,set 01_SiO2.x,ok,None
single_SiO2_proxy,set 01_SiO2.y,ok,None
single_SiO2_proxy,set 01_SiO2.z,ok,None
single_SiO2_proxy,set 01_SiO2.x span,ok,None
single_SiO2_proxy,set 01_SiO2.y span,ok,None
single_SiO2_proxy,set 01_SiO2.z span,ok,None
single_SiO2_proxy,run_tiny_rcwa,ok,None
single_SiO2_proxy,getresult total_energy,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""theta"": ""[[0.]]"", ""phi"": ""[[0.]]"", ""Rs"": ""[[3.08148791e-33]]"", ""Ts"": ""[[1.]]"", ""Rp"": ""[[3.08148791e-33]]"", ""Tp"": ""[[1.]]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""], [""theta"", ""phi""]], ""attributes"": [""Rs"", ""Ts"", ""Rp"", ""Tp""]}}"
single_SiO2_proxy,getresult substrate,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""n_upper"": ""[1.01082784+0.j]"", ""n_lower"": ""[1.01082784+0.j]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""]], ""attributes"": [""n_upper"", ""n_lower""]}}"
single_SiO2_proxy,getresult simulation_run_time,ok,0.0056238
single_SiO2_proxy,close_lumerical_session,ok,None
single_TiO2_proxy,open_lumerical_session,ok,blank project; no H1J4 FSP
single_TiO2_proxy,switch_to_layout,ok,None
single_TiO2_proxy,addrcwa,ok,None
single_TiO2_proxy,set RCWA.x,ok,None
single_TiO2_proxy,set RCWA.y,ok,None
single_TiO2_proxy,set RCWA.z,ok,None
single_TiO2_proxy,set RCWA.x span,ok,None
single_TiO2_proxy,set RCWA.y span,ok,None
single_TiO2_proxy,set RCWA.z span,ok,None
single_TiO2_proxy,set RCWA.minimum wavelength,ok,None
single_TiO2_proxy,set RCWA.maximum wavelength,ok,None
single_TiO2_proxy,set RCWA.wavelength center,ok,None
single_TiO2_proxy,set RCWA.frequency points,ok,None
single_TiO2_proxy,set RCWA.angle theta,ok,None
single_TiO2_proxy,set RCWA.angle phi,ok,None
single_TiO2_proxy,set RCWA.polarization angle,failed,"LumApiError: ""in setnamed, the requested property 'polarization angle'  was not found"""
single_TiO2_proxy,set RCWA.maximum number of k vectors,failed,"LumApiError: ""in setnamed, the requested property 'maximum number of k vectors'  was not found"""
single_TiO2_proxy,set RCWA.max number k vectors,ok,None
single_TiO2_proxy,set RCWA.harmonics,failed,"LumApiError: ""in setnamed, the requested property 'harmonics'  was not found"""
single_TiO2_proxy,add layer 01_TiO2,ok,<lumapi.SimObject object at 0x0000027EA411F0A0>
single_TiO2_proxy,name layer 01_TiO2,ok,None
single_TiO2_proxy,set 01_TiO2.material,ok,None
single_TiO2_proxy,set 01_TiO2.index,ok,None
