stage,variant_id,case_id,wavelength_nm,theta_deg,phi_deg,status,propagation_axis,stacking_axis,interface_position_mode,material_index_assignment_method,total_energy_available,interface_positions_set_ok,interface_absolute_positions_m,available_result_names,lambda,f,theta,phi,Rs,Rs_scalar,Ts,Ts_scalar,Rp,Rp_scalar,Tp,Tp_scalar,R_avg_sp,T_avg_sp,n_upper,n_lower,runtime_seconds,rcwa_region_extent_main_axis_m,layer_sequence,tmm_R,abs_error_R,ratio_R,trend_ok,quantitative_close_enough,interface_positions_readback
FMM2B2Q,axis_x_absolute_interfaces,air_reference,453.0,0.0,0.0,ok,x candidate,x,interface absolute positions,object_defined_index,True,True,[],"[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,-0.0,-0.0,1.0000000000000002,1.0000000000000002,-0.0,-0.0,1.0000000000000002,1.0000000000000002,-0.0,1.0000000000000002,(1+0j),(1+0j),0.0419994,4e-06,,0.0,0.0,missing,True,True,
FMM2B2Q,axis_x_absolute_interfaces,single_SiO2_79nm,453.0,0.0,0.0,ok,x candidate,x,interface absolute positions,object_defined_index,True,True,"[-3.95e-08, 3.95e-08]","[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,0.0014925087550915531,0.0014925087550915531,0.9985074912449089,0.9985074912449089,0.0009451595981624684,0.0009451595981624684,0.9990548404018381,0.9990548404018381,0.0012188341766270108,0.9987811658233735,(1.010153352127817+0j),(1.010153352127817+0j),0.0918751,4e-06,SiO2:79.0nm:n=1.426,0.1160629034346602,0.1148440692580332,0.010501496520920453,True,False,"[[-3.95e-08], [3.95e-08]]"
FMM2B2Q,axis_x_absolute_interfaces,single_TiO2_45nm,453.0,0.0,0.0,ok,x candidate,x,interface absolute positions,object_defined_index,True,True,"[-2.2500000000000003e-08, 2.2500000000000003e-08]","[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,0.004817798682236295,0.004817798682236295,0.9951822013177635,0.9951822013177635,0.0033280553702840438,0.0033280553702840438,0.996671944629715,0.996671944629715,0.00407292702626017,0.9959270729737393,(1.0300691954045225+0j),(1.0300691954045225+0j),0.0897251,4e-06,TiO2:45.0nm:n=2.535,0.5338667610779264,0.5297938340516662,0.007629107716008678,True,False,"[[-2.2500000000000003e-08], [2.2500000000000003e-08]]"
FMM2B2Q,axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,453.0,0.0,0.0,ok,x candidate,x,interface absolute positions,object_defined_index,True,True,"[-6.2e-07, -5.75e-07, -4.96e-07, -4.51e-07, -3.72e-07, -3.27e-07, -2.48e-07, -2.03e-07, -1.24e-07, -7.899999999999999e-08, 1.3234889800848443e-23, 4.500000000000002e-08, 1.2400000000000003e-07, 1.6900000000000004e-07, 2.4800000000000005e-07, 2.9300000000000004e-07, 3.7200000000000005e-07, 4.1700000000000004e-07, 4.96e-07, 5.41e-07, 6.2e-07]","[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,0.0651899148779494,0.0651899148779494,0.9348100851220558,0.9348100851220558,0.06314751998984194,0.06314751998984194,0.9368524800101549,0.9368524800101549,0.06416871743389567,0.9358312825661053,(1.3462923932136677+0j),(1.3462923932136677+0j),0.6424649,4.24e-06,TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426,0.9999597100342625,0.9357909926003669,0.06417130289349057,True,False,"[[-6.2e-07], [-5.75e-07], [-4.96e-07], [-4.51e-07], [-3.72e-07], [-3.27e-07], [-2.48e-07], [-2.03e-07], [-1.24e-07], [-7.899999999999999e-08], [1.3234889800848443e-23], [4.500000000000002e-08], [1.2400000000000003e-07], [1.6900000000000004e-07], [2.4800000000000005e-07], [2.9300000000000004e-07], [3.7200000000000005e-07], [4.1700000000000004e-07], [4.96e-07], [5.41e-07], [6.2e-07]]"
FMM2B2Q,axis_z_absolute_interfaces,air_reference,453.0,0.0,0.0,ok,z candidate,z,interface absolute positions,object_defined_index,True,True,[],"[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,-0.0,-0.0,1.0000000000000002,1.0000000000000002,-0.0,-0.0,1.0000000000000002,1.0000000000000002,-0.0,1.0000000000000002,(1+0j),(1+0j),0.0411981,4e-06,,0.0,0.0,missing,True,True,
FMM2B2Q,axis_z_absolute_interfaces,single_SiO2_79nm,453.0,0.0,0.0,ok,z candidate,z,interface absolute positions,object_defined_index,True,True,"[-3.95e-08, 3.95e-08]","[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,0.11606290343465953,0.11606290343465953,0.8839370965653335,0.8839370965653335,0.11606290343465953,0.11606290343465953,0.8839370965653335,0.8839370965653335,0.11606290343465953,0.8839370965653335,(1+0j),(1+0j),0.0456427,4e-06,SiO2:79.0nm:n=1.426,0.1160629034346602,6.800116025829084e-16,0.9999999999999941,True,True,"[[-3.95e-08], [3.95e-08]]"
FMM2B2Q,axis_z_absolute_interfaces,single_TiO2_45nm,453.0,0.0,0.0,ok,z candidate,z,interface absolute positions,object_defined_index,True,True,"[-2.2500000000000003e-08, 2.2500000000000003e-08]","[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,0.5338667610779256,0.5338667610779256,0.4661332389220726,0.4661332389220726,0.5338667610779256,0.5338667610779256,0.4661332389220726,0.4661332389220726,0.5338667610779256,0.4661332389220726,(1+0j),(1+0j),0.0507158,4e-06,TiO2:45.0nm:n=2.535,0.5338667610779264,7.771561172376096e-16,0.9999999999999986,True,True,"[[-2.2500000000000003e-08], [2.2500000000000003e-08]]"
FMM2B2Q,axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,453.0,0.0,0.0,ok,z candidate,z,interface absolute positions,object_defined_index,True,True,"[-6.2e-07, -5.75e-07, -4.96e-07, -4.51e-07, -3.72e-07, -3.27e-07, -2.48e-07, -2.03e-07, -1.24e-07, -7.899999999999999e-08, 1.3234889800848443e-23, 4.500000000000002e-08, 1.2400000000000003e-07, 1.6900000000000004e-07, 2.4800000000000005e-07, 2.9300000000000004e-07, 3.7200000000000005e-07, 4.1700000000000004e-07, 4.96e-07, 5.41e-07, 6.2e-07]","[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,0.9999597100342542,0.9999597100342542,4.02899657372751e-05,4.02899657372751e-05,0.9999597100342542,0.9999597100342542,4.02899657372751e-05,4.02899657372751e-05,0.9999597100342542,4.02899657372751e-05,(1+0j),(1+0j),0.3212769,4.24e-06,TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426,0.9999597100342625,8.326672684688674e-15,0.9999999999999917,True,True,"[[-6.2e-07], [-5.75e-07], [-4.96e-07], [-4.51e-07], [-3.72e-07], [-3.27e-07], [-2.48e-07], [-2.03e-07], [-1.24e-07], [-7.899999999999999e-08], [1.3234889800848443e-23], [4.500000000000002e-08], [1.2400000000000003e-07], [1.6900000000000004e-07], [2.4800000000000005e-07], [2.9300000000000004e-07], [3.7200000000000005e-07], [4.1700000000000004e-07], [4.96e-07], [5.41e-07], [6.2e-07]]"
FMM2B2Q,index_grid_or_explicit_material_variant,air_reference,453.0,0.0,0.0,ok,x candidate,x,interface absolute positions,direct_index_explicit_air_background,True,True,[],"[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,-0.0,-0.0,1.0000000000000002,1.0000000000000002,-0.0,-0.0,1.0000000000000002,1.0000000000000002,-0.0,1.0000000000000002,(1+0j),(1+0j),0.0358547,6e-06,,0.0,0.0,missing,True,True,
FMM2B2Q,index_grid_or_explicit_material_variant,single_SiO2_79nm,453.0,0.0,0.0,ok,x candidate,x,interface absolute positions,direct_index_explicit_air_background,True,True,"[-3.95e-08, 3.95e-08]","[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,0.0006175296947267458,0.0006175296947267458,0.9993824703052744,0.9993824703052744,0.0005131042802191679,0.0005131042802191679,0.9994868957197807,0.9994868957197807,0.0005653169874729569,0.9994346830125276,(1.006693691384381+0j),(1.006693691384381+0j),0.0850339,6.079000000000001e-06,SiO2:79.0nm:n=1.426,0.1160629034346602,0.11549758644718724,0.004870781022561724,False,False,"[[-3.95e-08], [3.95e-08]]"
