name,value,import_ok,version,path
sys.executable,C:\Users\DELL\AppData\Local\Programs\Python\Python312\python.exe,,,
sys.version,"3.12.3 (tags/v3.12.3:f6650f9, Apr  9 2024, 14:05:25) [MSC v.1938 64 bit (AMD64)]",,,
platform,Windows-11-10.0.26200-SP0,,,
numpy,,True,2.5.1,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\__init__.py
scipy,,True,1.18.0,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\scipy\__init__.py
jax,,True,0.10.2,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\jax\__init__.py
jaxlib,,True,0.10.2,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\jaxlib\__init__.py
fmmax,,True,v1.7.1,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\__init__.py
jax.devices,"[""cpu:0""]",,,
fmmax_import_path,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax,,,
fmmax_version,v1.7.1,,,
