stage,module,api_name,status,role,signature,doc_first_line
FMM2C2,basis,LatticeVectors,mapped,primitive lattice construction,"(u: jax.Array, v: jax.Array) -> None",Stores a pair of lattice vectors.
FMM2C2,basis,generate_expansion,mapped,Fourier expansion creation,"(primitive_lattice_vectors: fmmax._basis.LatticeVectors, approximate_num_terms: int, truncation: fmmax._basis.Truncation = <Truncation.CIRCULAR: 'circular'>) -> fmmax._basis.Expansion",Generates the expansion for the specified real-space basis.
FMM2C2,basis,brillouin_zone_in_plane_wavevector,mapped,BZ/in-plane wavevector creation,"(brillouin_grid_shape: Tuple[int, int], primitive_lattice_vectors: fmmax._basis.LatticeVectors) -> jax.Array",Compute in-plane wavevectors suitable for Brillouin zone integration.
FMM2C2,sources,dirac_delta_source,mapped,localized source Fourier amplitude,"(location: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion) -> jax.Array",Returns the coefficients for a delta source at the specified location.
FMM2C2,sources,gaussian_source,mapped,finite-width localized source Fourier amplitude,"(fwhm: jax.Array, location: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion) -> jax.Array",Returns the coefficients for a Gaussian source at the specified location.
FMM2C2,fmm,eigensolve_isotropic_media,mapped,uniform or patterned layer eigensolve,"(wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, permittivity: jax.Array, expansion: fmmax._basis.Expansion, formulation: Union[fmmax._fmm.Formulation, Callable[[jax.Array, fmmax._basis.Expansion, fmmax._basis.LatticeVectors], Tuple[jax.Array, jax.Array]]] = <Formulation.JONES_DIRECT_FOURIER: 'jones_direct_fourier'>) -> 'LayerSolveResult'",Performs the eigensolve for a layer with isotropic permittivity.
FMM2C2,scattering,stack_s_matrix,mapped,stack scattering matrix construction,"(layer_solve_results: Sequence[fmmax._fmm_result.LayerSolveResult], layer_thicknesses: Sequence[jax.Array], force_x64_solve: bool = False) -> 'ScatteringMatrix'",Computes the s-matrix for a stack of layers.
FMM2C2,scattering,stack_s_matrices_interior,mapped,interior source stack bookkeeping,"(layer_solve_results: Sequence[fmmax._fmm_result.LayerSolveResult], layer_thicknesses: Sequence[jax.Array], force_x64_solve: bool = False) -> Tuple[Tuple[ForwardRef('ScatteringMatrix'), ForwardRef('ScatteringMatrix')], ...]",Computes scattering matrices before and after each layer in the stack.
FMM2C2,sources,amplitudes_for_source,mapped,convert localized current source into forward/backward wave amplitudes,"(jx: jax.Array, jy: jax.Array, jz: jax.Array, s_matrix_before_source: fmmax._scattering.ScatteringMatrix, s_matrix_after_source: fmmax._scattering.ScatteringMatrix) -> Tuple[jax.Array, jax.Array, jax.Array, jax.Array, jax.Array, jax.Array]",Computes wave amplitudes resulting from an internal source.
FMM2C2,fields,directional_poynting_flux,mapped,true directional Poynting-flux-like scalar from amplitudes,"(forward_amplitude: jax.Array, backward_amplitude: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> Tuple[jax.Array, jax.Array]",Returns total forward and backward Poynting flux.
FMM2C2,fields,amplitude_poynting_flux,mapped,eigenmode-associated Poynting flux,"(forward_amplitude: jax.Array, backward_amplitude: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> Tuple[jax.Array, jax.Array]",Returns total Poynting flux for forward and backward eigenmodes.
FMM2C2,farfield,farfield_profile,mapped,farfield profile if flux/BZ grid is available later,"(flux: jax.Array, wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion, brillouin_grid_axes: Tuple[int, int]) -> Tuple[jax.Array, jax.Array, jax.Array, jax.Array]",Computes a farfield profile.
FMM2C2,farfield,farfield_integrated_flux,mapped,farfield integrated flux for later BZ workflows,"(flux: jax.Array, wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion, brillouin_grid_axes: Tuple[int, int], angle_bounds_fn: Callable[[jax.Array, jax.Array], jax.Array], upsample_factor: int) -> jax.Array",Computes the flux within the bounds defined by ``angle_bounds_fn``.
