full_path,relative_path,name,extension,is_directory,size_bytes,last_modified,depth,category,priority_name_match
F:\wc_312\MDC_453,MDC_453,MDC_453,none,True,,2026-04-09T15:26:08,1,directory,True
F:\wc_312\MDC_D,MDC_D,MDC_D,none,True,,2026-04-12T14:49:46,1,directory,True
F:\wc_312\MDC_D1,MDC_D1,MDC_D1,none,True,,2026-04-07T15:26:19,1,directory,True
F:\wc_312\MDC_D11,MDC_D11,MDC_D11,none,True,,2026-04-07T14:43:21,1,directory,True
F:\wc_312\MDC_D2,MDC_D2,MDC_D2,none,True,,2026-03-24T14:43:20,1,directory,True
F:\wc_312\MDC_angle,MDC_angle,MDC_angle,none,True,,2026-03-30T22:22:14,1,directory,True
F:\wc_312\MDC_blue_oujizi_m,MDC_blue_oujizi_m,MDC_blue_oujizi_m,none,True,,2026-04-10T10:26:05,1,directory,True
F:\wc_312\MDC_blue_oujizi_source,MDC_blue_oujizi_source,MDC_blue_oujizi_source,none,True,,2026-06-24T18:30:01,1,directory,True
F:\wc_312\MDC_blue_oujizi_source1,MDC_blue_oujizi_source1,MDC_blue_oujizi_source1,none,True,,2026-04-05T15:25:27,1,directory,True
F:\wc_312\MDC_blue_oujizi_source2,MDC_blue_oujizi_source2,MDC_blue_oujizi_source2,none,True,,2026-04-05T15:29:02,1,directory,True
F:\wc_312\MDC_blue_oujizi_source3,MDC_blue_oujizi_source3,MDC_blue_oujizi_source3,none,True,,2026-04-05T15:33:06,1,directory,True
F:\wc_312\MDC_blue_oujizi_source3000,MDC_blue_oujizi_source3000,MDC_blue_oujizi_source3000,none,True,,2026-06-02T09:14:58,1,directory,True
F:\wc_312\MDC_blue_oujizi_source6000,MDC_blue_oujizi_source6000,MDC_blue_oujizi_source6000,none,True,,2026-06-24T19:03:11,1,directory,True
F:\wc_312\MDC_blue_oujizi_sweep,MDC_blue_oujizi_sweep,MDC_blue_oujizi_sweep,none,True,,2026-04-09T15:29:32,1,directory,True
F:\wc_312\MDC_green_530,MDC_green_530,MDC_green_530,none,True,,2026-03-29T21:43:12,1,directory,True
F:\wc_312\MDC_green_D,MDC_green_D,MDC_green_D,none,True,,2026-03-27T14:06:39,1,directory,True
F:\wc_312\MDC_green_D1,MDC_green_D1,MDC_green_D1,none,True,,2026-03-24T16:40:20,1,directory,True
F:\wc_312\MDC_green_angle,MDC_green_angle,MDC_green_angle,none,True,,2026-04-09T22:57:55,1,directory,True
F:\wc_312\MDC_green_m,MDC_green_m,MDC_green_m,none,True,,2026-04-10T10:23:59,1,directory,True
