candidate_path,name,extension,category,size_bytes,last_modified,baseline_role,confidence,score,evidence,needs_gui_lumerical_audit
F:\wc_312\MDC_blue_oujizi.fsp,MDC_blue_oujizi.fsp,.fsp,heavy_binary_not_opened,3273677,2026-06-24T19:03:20,preferred_blue_or_453nm_MDC_baseline,high,8,blue_name;qujizi_oujizi_name;fsp_or_possible_fsp,yes
F:\wc_312\MDC_blue_oujizi_source,MDC_blue_oujizi_source,none,directory,,2026-06-24T18:30:01,preferred_blue_or_453nm_MDC_baseline,medium,7,blue_name;qujizi_oujizi_name;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1,MDC_blue_oujizi_source1,none,directory,,2026-04-05T15:25:27,preferred_blue_or_453nm_MDC_baseline,medium,7,blue_name;qujizi_oujizi_name;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source2,MDC_blue_oujizi_source2,none,directory,,2026-04-05T15:29:02,preferred_blue_or_453nm_MDC_baseline,medium,7,blue_name;qujizi_oujizi_name;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source3,MDC_blue_oujizi_source3,none,directory,,2026-04-05T15:33:06,preferred_blue_or_453nm_MDC_baseline,medium,7,blue_name;qujizi_oujizi_name;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source3000,MDC_blue_oujizi_source3000,none,directory,,2026-06-02T09:14:58,preferred_blue_or_453nm_MDC_baseline,medium,7,blue_name;qujizi_oujizi_name;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source6000,MDC_blue_oujizi_source6000,none,directory,,2026-06-24T19:03:11,preferred_blue_or_453nm_MDC_baseline,medium,7,blue_name;qujizi_oujizi_name;source_variant,yes
F:\wc_312\MDC_blue_oujizi_m,MDC_blue_oujizi_m,none,directory,,2026-04-10T10:26:05,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;qujizi_oujizi_name,yes
F:\wc_312\MDC_blue_oujizi_p0.log,MDC_blue_oujizi_p0.log,.log,file,5001,2026-06-24T18:46:06,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;qujizi_oujizi_name,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_1.fsp,source1_1.fsp,.fsp,heavy_binary_not_opened,717086,2026-04-05T15:23:19,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
