path,read_status,terms_hit,line_numbers,evidence_snippets,supports_sio2_tio2,supports_453_or_450,supports_100_52_nm,supports_m8,supports_dipole_source,supports_planewave
F:\wc_312\MDC_blue_oujizi_m\m_1_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;60;66;71;72;73,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L60: 8.12498% complete. Elapsed simulation time: 8.12498e-14 secs. Max time remaining: 43 secs. Auto Shutoff: 0.00885253 | L66: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 8.01041e-06 | L71: collecting TM monitor data | L72: collecting TE monitor data | L73: collecting TM source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_m\m_2_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;69;74;75;76;77,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L69: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.34124e-06 | L74: collecting TM monitor data | L75: collecting TE monitor data | L76: collecting TM source data | L77: collecting TE source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_m\m_3_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;53;67;69;74;75,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L53: Peak memory used by end of meshing: 0.082520 GiB | L67: 27.1825% complete. Elapsed simulation time: 2.71825e-13 secs. Max time remaining: 33 secs. Auto Shutoff: 4.52407e-05 | L69: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 8.71113e-06 | L74: collecting TM monitor data | L75: collecting TE monitor data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_m\m_4_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;70;75;76;77;78,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L70: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 8.66477e-06 | L75: collecting TM monitor data | L76: collecting TE monitor data | L77: collecting TM source data | L78: collecting TE source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_m\m_5_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;68;73;74;75;76,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L68: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.12488e-06 | L73: collecting TM monitor data | L74: collecting TE monitor data | L75: collecting TM source data | L76: collecting TE source data",false,false,false,false,true,false
F:\wc_312\MDC_blue_oujizi_m\m_6_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;60;70;75;76;77,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L60: 10.8475% complete. Elapsed simulation time: 1.08475e-13 secs. Max time remaining: 36 secs. Auto Shutoff: 0.011452 | L70: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.7795e-06 | L75: collecting TM monitor data | L76: collecting TE monitor data | L77: collecting TM source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_m\m_7_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;70;75;76;77;78,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L70: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.41071e-06 | L75: collecting TM monitor data | L76: collecting TE monitor data | L77: collecting TM source data | L78: collecting TE source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_m\m_8_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;57;71;76;77;78,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L57: 1.31788% complete. Elapsed simulation time: 1.31788e-14 secs. Max time remaining: 52 secs. Auto Shutoff: 1 | L71: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.284e-06 | L76: collecting TM monitor data | L77: collecting TE monitor data | L78: collecting TM source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_p0.log,ok,100;453;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;62;63;65;68;69,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDRU5TSU5 | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L62: 23.453% complete. Elapsed simulation time: 2.3453e-13 secs. Max time remaining: 17 secs. Auto Shutoff: 7.86245e-06 | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 7.86245e-06 | L65: Completed 7936 iterations, or 2.345303e-13s of Simulation Time | L68: collecting TM monitor data | L69: collecting TE monitor data",false,true,false,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_100_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;66;67;69;72;73,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L66: 75.6852% complete. Elapsed simulation time: 7.56852e-13 secs. Max time remaining: 3 secs. Auto Shutoff: 7.61068e-06 | L67: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 7.61068e-06 | L69: Completed 10982 iterations, or 7.568525e-13s of Simulation Time | L72: collecting TM monitor data | L73: collecting TE monitor data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_10_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;60;62;67;68;69,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L60: 12.1673% complete. Elapsed simulation time: 1.21673e-13 secs. Max time remaining: 26 secs. Auto Shutoff: 0.00100721 | L62: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.22368e-06 | L67: collecting TM monitor data | L68: collecting TE monitor data | L69: collecting TM source data",false,false,false,false,true,false
