audit_item,required,operator_entry,notes
full_object_tree_screenshot,yes,,Capture whole tree without running simulation.
source_object_name_type,yes,,dipole / plane wave / other.
source_position_orientation,yes,,Record x/y/z and theta/phi or equivalent.
source_wavelength_frequency,yes,,Confirm blue 453 nm or ambiguity.
monitor_list_farfield_settings,yes,,Record monitor names and spans.
fdtd_region_boundaries_span,yes,,Record span/boundary/mesh.
material_layer_stack_names,yes,,Look for SiO2/TiO2/GaN/ITO/air/substrate.
z_stack_order_thickness,yes,,Approximate layer order and thickness.
sio2_tio2_present,yes,,yes/no/ambiguous.
m8_or_pair_count_visible,yes,,Record visible pair count if available.
mqw_dipole_or_planewave_like,yes,,Classify baseline usage.
safe_for_tri_point_xdipole_453_later,yes,,Planning only; do not run.
