object_name,role,x,x_status,x_span,x_span_status,y,y_status,y_span,y_span_status,z,z_status,z_span,z_span_status,enabled,enabled_status,monitor_type,monitor_type_status,projection_direction,projection_direction_status,material_index,material_index_status,far_field_filter,far_field_filter_status,2D_resolution,2D_resolution_status,3D_resolution,3D_resolution_status,Assume_structure_is_periodic,Assume_structure_is_periodic_status,override_near_field_mesh,override_near_field_mesh_status,coordinate_scope,readback_quality
dbr::tio22,attempted_top_MDC_child_layer_coordinate_readback,unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::tio22' can be found""",global_or_effective_if_object_is_top_level; local_if_child_of_group,unavailable
dbr::sio222,attempted_top_MDC_child_layer_coordinate_readback,unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::sio222' can be found""",global_or_effective_if_object_is_top_level; local_if_child_of_group,unavailable
dbr::TiO2,attempted_top_MDC_child_layer_coordinate_readback,unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::TiO2' can be found""",global_or_effective_if_object_is_top_level; local_if_child_of_group,unavailable
dbr::SiO2,attempted_top_MDC_child_layer_coordinate_readback,unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::SiO2' can be found""",global_or_effective_if_object_is_top_level; local_if_child_of_group,unavailable
dbr::rect,attempted_top_MDC_child_layer_coordinate_readback,unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect' can be found""",global_or_effective_if_object_is_top_level; local_if_child_of_group,unavailable
dbr::rect_1,attempted_top_MDC_child_layer_coordinate_readback,unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::rect_1' can be found""",global_or_effective_if_object_is_top_level; local_if_child_of_group,unavailable
dbr::layer,attempted_top_MDC_child_layer_coordinate_readback,unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer' can be found""",global_or_effective_if_object_is_top_level; local_if_child_of_group,unavailable
dbr::layer_1,attempted_top_MDC_child_layer_coordinate_readback,unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::layer_1' can be found""",global_or_effective_if_object_is_top_level; local_if_child_of_group,unavailable
dbr::MDC,attempted_top_MDC_child_layer_coordinate_readback,unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::MDC' can be found""",global_or_effective_if_object_is_top_level; local_if_child_of_group,unavailable
dbr::DBR,attempted_top_MDC_child_layer_coordinate_readback,unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",unknown,"failed: ""In getnamed, no items matching the name 'dbr::DBR' can be found""",global_or_effective_if_object_is_top_level; local_if_child_of_group,unavailable
