layer_index_top_to_bottom,pair_index,object_path,child_name,in_group,addtogroup_status,material_label,material_name,thickness_nm,y_min_nm,y_max_nm,y_center_nm,x_span_nm,z_span_nm,set_material_status,set_x_status,set_x_span_status,set_y_status,set_y_span_status,set_z_status,set_z_span_status
1,1,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_01_TiO2,H1J3_bottom_DBR_layer_01_TiO2,True,ok,TiO2,tio22,44.7,-994.7,-950.0,-972.35,6000.0,5000.0,set,set,set,set,set,set,set
2,1,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_02_SiO2,H1J3_bottom_DBR_layer_02_SiO2,True,ok,SiO2,sio222,79.4,-1074.1000000000001,-994.7,-1034.4,6000.0,5000.0,set,set,set,set,set,set,set
3,2,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_03_TiO2,H1J3_bottom_DBR_layer_03_TiO2,True,ok,TiO2,tio22,44.7,-1118.8000000000002,-1074.1000000000001,-1096.4500000000003,6000.0,5000.0,set,set,set,set,set,set,set
4,2,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_04_SiO2,H1J3_bottom_DBR_layer_04_SiO2,True,ok,SiO2,sio222,79.4,-1198.2000000000003,-1118.8000000000002,-1158.5000000000002,6000.0,5000.0,set,set,set,set,set,set,set
5,3,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_05_TiO2,H1J3_bottom_DBR_layer_05_TiO2,True,ok,TiO2,tio22,44.7,-1242.9000000000003,-1198.2000000000003,-1220.5500000000002,6000.0,5000.0,set,set,set,set,set,set,set
6,3,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_06_SiO2,H1J3_bottom_DBR_layer_06_SiO2,True,ok,SiO2,sio222,79.4,-1322.3000000000004,-1242.9000000000003,-1282.6000000000004,6000.0,5000.0,set,set,set,set,set,set,set
7,4,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_07_TiO2,H1J3_bottom_DBR_layer_07_TiO2,True,ok,TiO2,tio22,44.7,-1367.0000000000005,-1322.3000000000004,-1344.6500000000005,6000.0,5000.0,set,set,set,set,set,set,set
8,4,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_08_SiO2,H1J3_bottom_DBR_layer_08_SiO2,True,ok,SiO2,sio222,79.4,-1446.4000000000005,-1367.0000000000005,-1406.7000000000005,6000.0,5000.0,set,set,set,set,set,set,set
9,5,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_09_TiO2,H1J3_bottom_DBR_layer_09_TiO2,True,ok,TiO2,tio22,44.7,-1491.1000000000006,-1446.4000000000005,-1468.7500000000005,6000.0,5000.0,set,set,set,set,set,set,set
10,5,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_10_SiO2,H1J3_bottom_DBR_layer_10_SiO2,True,ok,SiO2,sio222,79.4,-1570.5000000000007,-1491.1000000000006,-1530.8000000000006,6000.0,5000.0,set,set,set,set,set,set,set
11,6,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_11_TiO2,H1J3_bottom_DBR_layer_11_TiO2,True,ok,TiO2,tio22,44.7,-1615.2000000000007,-1570.5000000000007,-1592.8500000000008,6000.0,5000.0,set,set,set,set,set,set,set
12,6,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_12_SiO2,H1J3_bottom_DBR_layer_12_SiO2,True,ok,SiO2,sio222,79.4,-1694.6000000000008,-1615.2000000000007,-1654.9000000000008,6000.0,5000.0,set,set,set,set,set,set,set
13,7,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_13_TiO2,H1J3_bottom_DBR_layer_13_TiO2,True,ok,TiO2,tio22,44.7,-1739.3000000000009,-1694.6000000000008,-1716.9500000000007,6000.0,5000.0,set,set,set,set,set,set,set
14,7,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_14_SiO2,H1J3_bottom_DBR_layer_14_SiO2,True,ok,SiO2,sio222,79.4,-1818.700000000001,-1739.3000000000009,-1779.000000000001,6000.0,5000.0,set,set,set,set,set,set,set
15,8,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_15_TiO2,H1J3_bottom_DBR_layer_15_TiO2,True,ok,TiO2,tio22,44.7,-1863.400000000001,-1818.700000000001,-1841.050000000001,6000.0,5000.0,set,set,set,set,set,set,set
16,8,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_16_SiO2,H1J3_bottom_DBR_layer_16_SiO2,True,ok,SiO2,sio222,79.4,-1942.800000000001,-1863.400000000001,-1903.100000000001,6000.0,5000.0,set,set,set,set,set,set,set
17,9,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_17_TiO2,H1J3_bottom_DBR_layer_17_TiO2,True,ok,TiO2,tio22,44.7,-1987.5000000000011,-1942.800000000001,-1965.150000000001,6000.0,5000.0,set,set,set,set,set,set,set
18,9,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_18_SiO2,H1J3_bottom_DBR_layer_18_SiO2,True,ok,SiO2,sio222,79.4,-2066.900000000001,-1987.5000000000011,-2027.2000000000012,6000.0,5000.0,set,set,set,set,set,set,set
19,10,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_19_TiO2,H1J3_bottom_DBR_layer_19_TiO2,True,ok,TiO2,tio22,44.7,-2111.600000000001,-2066.900000000001,-2089.250000000001,6000.0,5000.0,set,set,set,set,set,set,set
20,10,H1J3_bottom_DBR_QWexact453_10pair::H1J3_bottom_DBR_layer_20_SiO2,H1J3_bottom_DBR_layer_20_SiO2,True,ok,SiO2,sio222,79.4,-2191.000000000001,-2111.600000000001,-2151.300000000001,6000.0,5000.0,set,set,set,set,set,set,set
