layer_index_top_to_bottom,pair_index,object_path,child_name,in_group,addtogroup_status,material_label,material_name,thickness_nm,y_min_nm,y_max_nm,y_center_nm,x_span_nm,z_span_nm,set_material_status,set_x_status,set_x_span_status,set_y_status,set_y_span_status,set_z_status,set_z_span_status
1,1,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_01_TiO2,H1J4_bottom_DBR_layer_01_TiO2,True,ok,TiO2,tio22,45.0,-995.0,-950.0,-972.5,6000.0,5000.0,set,set,set,set,set,set,set
2,1,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_02_SiO2,H1J4_bottom_DBR_layer_02_SiO2,True,ok,SiO2,sio222,79.0,-1074.0,-995.0,-1034.5,6000.0,5000.0,set,set,set,set,set,set,set
3,2,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_03_TiO2,H1J4_bottom_DBR_layer_03_TiO2,True,ok,TiO2,tio22,45.0,-1119.0,-1074.0,-1096.5,6000.0,5000.0,set,set,set,set,set,set,set
4,2,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_04_SiO2,H1J4_bottom_DBR_layer_04_SiO2,True,ok,SiO2,sio222,79.0,-1198.0,-1119.0,-1158.5,6000.0,5000.0,set,set,set,set,set,set,set
5,3,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_05_TiO2,H1J4_bottom_DBR_layer_05_TiO2,True,ok,TiO2,tio22,45.0,-1243.0,-1198.0,-1220.5,6000.0,5000.0,set,set,set,set,set,set,set
6,3,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_06_SiO2,H1J4_bottom_DBR_layer_06_SiO2,True,ok,SiO2,sio222,79.0,-1322.0,-1243.0,-1282.5,6000.0,5000.0,set,set,set,set,set,set,set
7,4,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_07_TiO2,H1J4_bottom_DBR_layer_07_TiO2,True,ok,TiO2,tio22,45.0,-1367.0,-1322.0,-1344.5,6000.0,5000.0,set,set,set,set,set,set,set
8,4,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_08_SiO2,H1J4_bottom_DBR_layer_08_SiO2,True,ok,SiO2,sio222,79.0,-1446.0,-1367.0,-1406.5,6000.0,5000.0,set,set,set,set,set,set,set
9,5,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_09_TiO2,H1J4_bottom_DBR_layer_09_TiO2,True,ok,TiO2,tio22,45.0,-1491.0,-1446.0,-1468.5,6000.0,5000.0,set,set,set,set,set,set,set
10,5,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_10_SiO2,H1J4_bottom_DBR_layer_10_SiO2,True,ok,SiO2,sio222,79.0,-1570.0,-1491.0,-1530.5,6000.0,5000.0,set,set,set,set,set,set,set
11,6,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_11_TiO2,H1J4_bottom_DBR_layer_11_TiO2,True,ok,TiO2,tio22,45.0,-1615.0,-1570.0,-1592.5,6000.0,5000.0,set,set,set,set,set,set,set
12,6,H1J4_bottom_DBR_QWinteger453_10pair::H1J4_bottom_DBR_layer_12_SiO2,H1J4_bottom_DBR_layer_12_SiO2,True,ok,SiO2,sio222,79.0,-1694.0,-1615.0,-1654.5,6000.0,5000.0,set,set,set,set,set,set,set
