step,status,detail,operation,error
load_lumapi,ok,N:\Program Files\ANSYS Inc\v251\Lumerical\api\python\lumapi.py,,
launch_fdtd,ok,FDTD launched for no-run derived FSP construction,,
load_original_input_fsp,ok,F:\wc_312\MDC_blue_oujizi.fsp,,
layout_mode,recorded,before=0.0; switch=None; after=1.0,,
save_derived_h1j4_fsp,ok,D:\project\worktrees\blue_apcd_rcled_mdc\runtime\r2_4h1j4_rcled_mdc_integer_dbr_derived_fsp_DO_NOT_COMMIT\MDC_blue_oujizi_RCLED_QWinteger453_10pair_H1J4.fsp,,
reopen_derived_no_run,ok,D:\project\worktrees\blue_apcd_rcled_mdc\runtime\r2_4h1j4_rcled_mdc_integer_dbr_derived_fsp_DO_NOT_COMMIT\MDC_blue_oujizi_RCLED_QWinteger453_10pair_H1J4.fsp,,
inspect_first_last_layer,recorded,first_y=-9.725e-07; last_y=-2.1505e-06,,
,failed,,setnamed monitor.projection direction,"""in setnamed, the requested property 'projection direction'  was not found"""
,failed,,getnamed monitor.projection direction,"""in getnamed, the requested property 'projection direction' was not found"""
,failed,,setnamed monitor.material index,"""in setnamed, the requested property 'material index'  was not found"""
,failed,,getnamed monitor.material index,"""in getnamed, the requested property 'material index' was not found"""
,failed,,setnamed monitor.far field filter,"""in setnamed, the requested property 'far field filter'  was not found"""
,failed,,getnamed monitor.far field filter,"""in getnamed, the requested property 'far field filter' was not found"""
,failed,,setnamed monitor.2D resolution,"""in setnamed, the requested property '2D resolution'  was not found"""
,failed,,setnamed monitor.2d resolution,"""in setnamed, the requested property '2d resolution'  was not found"""
,failed,,getnamed monitor.2D resolution,"""in getnamed, the requested property '2D resolution' was not found"""
,failed,,getnamed monitor.2d resolution,"""in getnamed, the requested property '2d resolution' was not found"""
,failed,,setnamed monitor.3D resolution,"""in setnamed, the requested property '3D resolution'  was not found"""
,failed,,setnamed monitor.3d resolution,"""in setnamed, the requested property '3d resolution'  was not found"""
,failed,,getnamed monitor.3D resolution,"""in getnamed, the requested property '3D resolution' was not found"""
,failed,,getnamed monitor.3d resolution,"""in getnamed, the requested property '3d resolution' was not found"""
,failed,,setnamed monitor.Assume structure is periodic,"""in setnamed, the requested property 'Assume structure is periodic'  was not found"""
,failed,,setnamed monitor.assume structure is periodic,"""in setnamed, the requested property 'assume structure is periodic'  was not found"""
,failed,,getnamed monitor.Assume structure is periodic,"""in getnamed, the requested property 'Assume structure is periodic' was not found"""
,failed,,getnamed monitor.assume structure is periodic,"""in getnamed, the requested property 'assume structure is periodic' was not found"""
,failed,,setnamed monitor.override near field mesh,"""in setnamed, the requested property 'override near field mesh'  was not found"""
,failed,,setnamed monitor.Override near field mesh,"""in setnamed, the requested property 'Override near field mesh'  was not found"""
,failed,,getnamed monitor.override near field mesh,"""in getnamed, the requested property 'override near field mesh' was not found"""
,failed,,getnamed monitor.Override near field mesh,"""in getnamed, the requested property 'Override near field mesh' was not found"""
