candidate_id,min_ratio_all_sentinel,min_ratio_450_454,weighted_ratio_center452p5,weighted_ratio_center453,ratio_448_guard,ratio_450,ratio_452,ratio_453,ratio_454,target_power_450,target_power_453,no_cp_flip_all,pass_count,borderline_count,fail_count,notch_penalty,target_power_collapse_penalty,rank_reason
BW2_J1J2_D194_T90_PSI99_H525,96.0569910059,129.716903339,203.810869044,206.240408614,96.0569910059,345.008083708,129.716903339,160.700453031,331.631775726,0.946624733934,0.924385611997,true,5,0,0,0,0.123652492634,strict_pass
BW2_J1J2_D196_T90_PSI98_H525,24.9800002334,148.208624319,192.792103209,197.910634422,24.9800002334,262.075704421,148.208624319,149.450573883,361.962429545,0.934801697865,0.928481324728,true,5,0,0,0,0.0190053789524,strict_pass
BW2_J1J2_D199_T90_PSI97_H525,18.050424824,156.990013505,187.512719352,194.481367973,18.050424824,190.043043715,169.11637631,156.990013505,353.668741741,0.994447133214,0.934986962286,true,4,1,0,1.949575176,0.00726175200727,useful_pass
BW2_J1J2_D195_T90_PSI98_H525,22.3310747006,118.084889893,175.585338003,176.93749164,22.3310747006,283.342073949,127.573954651,118.084889893,329.363276223,0.926034497395,0.928056951254,true,5,0,0,0,0.0629029585272,strict_pass
BW2_J1J2_D196p5_T90_PSI97_H525,12.8735788417,104.440279447,168.165058254,169.554831294,12.8735788417,241.303310172,140.597231281,104.440279447,341.412674644,0.965687655864,0.927482819658,true,4,1,0,7.1264211583,-0.000844040931802,useful_pass
BW2_J1J2_D194_T91_PSI97_H525,8.11025652737,96.3659065102,169.275074463,162.558191656,8.11025652737,313.110702583,135.128624227,96.3659065102,256.298481883,0.944253893926,0.938984320999,true,4,1,0,11.8897434726,0.00912952462098,borderline
BW2_J1J2_D194_T90_PSI98_H525,20.1533880424,90.4676689688,156.868240151,154.684522894,20.1533880424,295.991116536,107.033071559,90.4676689688,285.447576587,0.917162556887,0.927135019689,true,5,0,0,0,0.119602236392,strict_pass
BW2_J1J2_D194_T90_PSI95_H525,9.45131175442,56.3241273547,184.376302203,153.126587469,9.45131175442,539.517454586,139.221593075,56.3241273547,80.3180913503,1.04186007229,0.929626384743,true,4,1,0,10.5486882456,0.0421593665232,borderline
BW2_J1J2_D194_T92_PSI97_H525,108.408648462,108.408648462,143.114445083,146.25667418,130.952134141,131.806928709,147.321110921,108.408648462,272.47643557,0.913171723722,0.938192194382,true,5,0,0,0,0.0417041912632,strict_pass
BW2_J1J2_D194_T88_PSI97_H525,47.2161392798,47.2161392798,172.371732558,143.716564671,230.960824959,536.258625282,112.221927009,47.2161392798,93.1668430016,1.14745391971,0.902652444874,true,5,0,0,0,0.0321963052846,strict_pass
BW2_J1J2_D194_T90_PSI97_H525,9.10007786078,74.5931182904,149.086688347,142.026697435,9.10007786078,295.719621306,115.094210975,74.5931182904,235.521988429,0.952912154469,0.925963984022,true,4,1,0,10.8999221392,0,borderline
BW2_J1J2_D194_T89_PSI97_H525,17.9656544499,57.0661746575,127.553268955,118.388761596,17.9656544499,278.731382134,97.6417142437,57.0661746575,176.592314125,0.964862437437,0.908556340538,true,4,1,0,2.0343455501,0.183007138267,useful_pass
BW2_J1J2_D189_T90_PSI97_H525,8.35875969094,28.4633999031,71.5659990139,63.0667872003,8.35875969094,177.489381846,56.4510874578,28.4633999031,63.4805206838,0.909548907261,0.914412276548,true,4,1,0,11.6412403091,0.236747822997,borderline
BW2_J1J2_D194_T90_PSI96_H525,7.44704031636,62.4363134763,152.055677787,134.383986781,7.44704031636,373.878796136,119.763588975,62.4363134763,135.099527018,0.996060363767,0.921059703324,true,4,1,0,12.5529596836,0.0177391245141,reject
BW2_J1J2_D191p5_T90_PSI97_H525,7.47383666387,45.4240335375,108.565099462,98.3314156937,7.47383666387,259.195752827,80.8366111284,45.4240335375,125.347232638,0.927873543645,0.922194903361,true,4,1,0,12.5261633361,0.288539436138,reject
