candidate_id,wavelength_nm,source_position_label,position_id,cone_half_angle_deg,R_power_incoh,L_power_incoh,L_fraction_incoh,DoCP_RminusL_incoh,total_cone_power_incoh,status,data_source
BW2_J1J2_D194_T90_PSI99_H525,436.0,center,center,5.0,1.1834118931563971e-12,5.079609483171019e-12,0.811047764002629,-0.6220955280052579,6.263021376327416e-12,ok,new_boundary_extend
BW2_J1J2_D194_T90_PSI99_H525,436.0,center,center,10.0,5.449743555177897e-12,2.180368351350787e-11,0.8000345592705418,-0.6000691185410836,2.7253427068685767e-11,ok,new_boundary_extend
BW2_J1J2_D194_T90_PSI99_H525,436.0,center,center,20.0,2.592817470470519e-11,8.369520050744139e-11,0.7634795074086328,-0.5269590148172655,1.0962337521214658e-10,ok,new_boundary_extend
BW2_J1J2_D194_T90_PSI99_H525,438.0,center,center,5.0,1.3118939890394246e-12,5.06489290729715e-12,0.7942703730944655,-0.5885407461889309,6.376786896336575e-12,ok,new_boundary_extend
BW2_J1J2_D194_T90_PSI99_H525,438.0,center,center,10.0,5.784136264301954e-12,2.161409655038917e-11,0.7888865204035911,-0.5777730408071822,2.7398232814691126e-11,ok,new_boundary_extend
BW2_J1J2_D194_T90_PSI99_H525,438.0,center,center,20.0,2.6455825422501625e-11,8.305040419684018e-11,0.7584080329085789,-0.5168160658171579,1.095062296193418e-10,ok,new_boundary_extend
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,center,5.0,1.3786521782885632e-12,5.082510784300433e-12,0.7866247630231361,-0.5732495260462722,6.461162962588996e-12,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,center,10.0,5.926887064154224e-12,2.1529578350907465e-11,0.7841351035336496,-0.568270207067299,2.745646541506169e-11,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,center,20.0,2.652605968586856e-11,8.245971391477501e-11,0.7566098876072764,-0.513219775214553,1.0898577360064357e-10,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,442.0,center,center,5.0,1.4636746565357037e-12,5.0621126183431425e-12,0.7757091068275931,-0.5514182136551862,6.5257872748788466e-12,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,442.0,center,center,10.0,6.1121302413514655e-12,2.141288845886192e-11,0.7779427397335763,-0.5558854794671525,2.7525018700213385e-11,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,442.0,center,center,20.0,2.6645004378342894e-11,8.195999543740498e-11,0.7546613468666539,-0.5093226937333076,1.0860499981574787e-10,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,444.0,center,center,5.0,1.5086451816244885e-12,5.031870726605995e-12,0.769338504363848,-0.538677008727696,6.540515908230483e-12,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,444.0,center,center,10.0,6.208795529329626e-12,2.1266951104755412e-11,0.7740263217587213,-0.5480526435174428,2.747574663408504e-11,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,444.0,center,center,20.0,2.6926949015324433e-11,8.118110467512587e-11,0.7509255962333266,-0.5018511924666531,1.081080536904503e-10,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,446.0,center,center,5.0,1.5290282104430928e-12,5.095012483690358e-12,0.7691698645817093,-0.5383397291634187,6.624040694133451e-12,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,446.0,center,center,10.0,6.195082697528156e-12,2.1423702626301255e-11,0.7756931514224467,-0.5513863028448934,2.761878532382941e-11,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,446.0,center,center,20.0,2.6987735420334116e-11,8.138867960568542e-11,0.7509814712559484,-0.5019629425118968,1.0837641502601953e-10,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,center,5.0,1.5218937620272637e-12,5.141269978858626e-12,0.7715959233166131,-0.5431918466332263,6.66316374088589e-12,ok,new_spectral_run
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,center,10.0,6.145458953778393e-12,2.1534153679906128e-11,0.7779788671500512,-0.5559577343001023,2.767961263368452e-11,ok,new_spectral_run
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,center,20.0,2.6996579156318505e-11,8.16258196276667e-11,0.7514639755838391,-0.5029279511676783,1.086223987839852e-10,ok,new_spectral_run
BW2_J1J2_D194_T90_PSI99_H525,448.0,center,center,5.0,1.558293660357561e-12,5.352160978307881e-12,0.7745020057524752,-0.5490040115049504,6.910454638665442e-12,ok,new_spectral_run
BW2_J1J2_D194_T90_PSI99_H525,448.0,center,center,10.0,6.270609750259804e-12,2.2303307554935213e-11,0.7805477742766566,-0.5610955485533132,2.8573917305195018e-11,ok,new_spectral_run
BW2_J1J2_D194_T90_PSI99_H525,448.0,center,center,20.0,2.7723009109696855e-11,8.426621623916828e-11,0.7524493180184518,-0.5048986360369035,1.1198922534886513e-10,ok,new_spectral_run
BW2_J1J2_D194_T90_PSI99_H525,450.0,center,center,5.0,1.4616586107541053e-12,5.405636124199891e-12,0.7871565635133764,-0.5743131270267527,6.867294734953997e-12,ok,new_spectral_run
BW2_J1J2_D194_T90_PSI99_H525,450.0,center,center,10.0,5.986369789791002e-12,2.236004855290757e-11,0.788813891144277,-0.577627782288554,2.8346418342698573e-11,ok,new_spectral_run
BW2_J1J2_D194_T90_PSI99_H525,450.0,center,center,20.0,2.7387767498206526e-11,8.41992481593193e-11,0.7545613408798123,-0.5091226817596246,1.1158701565752583e-10,ok,new_spectral_run
