candidate_id,wavelength_nm,source_position_label,source_x_nm,source_y_nm,q_nm,dipole_axis,result_csv,cone_half_angle_deg,R_power,L_power,L_fraction,DoCP_RminusL,total_cone_power,peak_abs_theta_deg,status
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_plus_q,107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,5.0,1.3514360392012512e-13,8.663012905595161e-13,0.8650513825922027,-0.7301027651844053,1.0014448944796412e-12,77.83585647199658,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_plus_q,107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,10.0,6.409637412373322e-13,4.9103595317505675e-12,0.8845385668033083,-0.7690771336066167,5.5513232729878994e-12,77.83585647199658,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_plus_q,107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,20.0,4.931127012981111e-12,2.0695644295296418e-11,0.8075790760505074,-0.6151581521010147,2.562677130827753e-11,77.83585647199658,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_plus_q,107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,5.0,2.668223033150072e-13,1.7089418110336487e-12,0.8649523486243855,-0.7299046972487708,1.9757641143486558e-12,9.906828566446846,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_plus_q,107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,10.0,1.7097613881633126e-12,6.683398475102913e-12,0.7962910970341088,-0.5925821940682175,8.393159863266225e-12,9.906828566446846,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_plus_q,107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,20.0,1.162849264486704e-11,1.8526372422511316e-11,0.6143742437950158,-0.22874848759003158,3.0154865067378357e-11,9.906828566446846,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_minus_q,-107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,5.0,3.556113935305852e-13,1.741136993062713e-12,0.8303986325663203,-0.6607972651326405,2.096748386593298e-12,77.61520658670455,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_minus_q,-107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,10.0,1.7169881771661226e-12,6.938589897775328e-12,0.8016321772734125,-0.6032643545468251,8.655578074941451e-12,77.61520658670455,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_minus_q,-107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,20.0,6.372524758358453e-12,2.5836824570804493e-11,0.8021529496533899,-0.6043058993067799,3.2209349329162944e-11,77.61520658670455,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_minus_q,-107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,5.0,3.724483303735634e-13,9.92465910405196e-13,0.7271269364432296,-0.4542538728864592,1.3649142407787595e-12,77.23767601290064,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_minus_q,-107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,10.0,2.3532031927784955e-12,4.171636909209409e-12,0.6393469945628933,-0.27869398912578663,6.524840101987904e-12,77.23767601290064,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,x_minus_q,-107.9769465,0.0,107.9769465,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,20.0,9.41654543883239e-12,1.5447920707006847e-11,0.6212850344905502,-0.2425700689811003,2.4864466145839236e-11,77.23767601290064,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,5.0,1.3142755626276173e-13,8.29408164317518e-13,0.8632153723600238,-0.7264307447200476,9.608357205802798e-13,32.9603701489397,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,10.0,6.188958151646858e-13,5.052530150924864e-12,0.890874743165974,-0.781749486331948,5.67142596608955e-12,32.9603701489397,ok
BW2_J1J2_D194_T90_PSI99_H525,454.0,x_plus_q,107.9769465,0.0,107.9769465,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_psi99_edge_position_run\stage10_cp_dipole_bw2a_psi99_edge_position_case_results.csv,20.0,4.19628082087281e-12,2.181262109433255e-11,0.8386598236806154,-0.677319647361231,2.6008901915205362e-11,32.9603701489397,ok
