case_id,tolerance_variant,source_position,dipole_orientation,source_x_nm,source_y_nm,source_z_nm,grid_n,cones_deg,expected_fsp,run_enabled,note
B4_4_TOL_SIZE_ALL_P2_CENTER_X_T100FS,TOL_SIZE_ALL_P2,center,x,0.0,0.0,-200.0,101,5.0;10.0;20.0;30.0,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_route_b4_4_finite_patch_tolerance\_saved_fsp\TOL_SIZE_ALL_P2\B4_4_TOL_SIZE_ALL_P2_CENTER_X_T100FS.fsp,true,Stage10 CP Route B4-4 x-axis centerline only.
B4_4_TOL_SIZE_ALL_P2_CENTER_Y_T100FS,TOL_SIZE_ALL_P2,center,y,0.0,0.0,-200.0,101,5.0;10.0;20.0;30.0,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_route_b4_4_finite_patch_tolerance\_saved_fsp\TOL_SIZE_ALL_P2\B4_4_TOL_SIZE_ALL_P2_CENTER_Y_T100FS.fsp,true,Stage10 CP Route B4-4 x-axis centerline only.
B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_X_T100FS,TOL_SIZE_ALL_P2,x_plus_q,x,107.9769465,0.0,-200.0,101,5.0;10.0;20.0;30.0,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_route_b4_4_finite_patch_tolerance\_saved_fsp\TOL_SIZE_ALL_P2\B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_X_T100FS.fsp,true,Stage10 CP Route B4-4 x-axis centerline only.
B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_Y_T100FS,TOL_SIZE_ALL_P2,x_plus_q,y,107.9769465,0.0,-200.0,101,5.0;10.0;20.0;30.0,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_route_b4_4_finite_patch_tolerance\_saved_fsp\TOL_SIZE_ALL_P2\B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_Y_T100FS.fsp,true,Stage10 CP Route B4-4 x-axis centerline only.
B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_X_T100FS,TOL_SIZE_ALL_P2,x_minus_q,x,-107.9769465,0.0,-200.0,101,5.0;10.0;20.0;30.0,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_route_b4_4_finite_patch_tolerance\_saved_fsp\TOL_SIZE_ALL_P2\B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_X_T100FS.fsp,true,Stage10 CP Route B4-4 x-axis centerline only.
B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_Y_T100FS,TOL_SIZE_ALL_P2,x_minus_q,y,-107.9769465,0.0,-200.0,101,5.0;10.0;20.0;30.0,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_route_b4_4_finite_patch_tolerance\_saved_fsp\TOL_SIZE_ALL_P2\B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_Y_T100FS.fsp,true,Stage10 CP Route B4-4 x-axis centerline only.
B4_4_TOL_J1_YP2_CENTER_X_T100FS,TOL_J1_YP2,center,x,0.0,0.0,-200.0,101,5.0;10.0;20.0;30.0,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_route_b4_4_finite_patch_tolerance\_saved_fsp\TOL_J1_YP2\B4_4_TOL_J1_YP2_CENTER_X_T100FS.fsp,true,Stage10 CP Route B4-4 x-axis centerline only.
B4_4_TOL_J1_YP2_CENTER_Y_T100FS,TOL_J1_YP2,center,y,0.0,0.0,-200.0,101,5.0;10.0;20.0;30.0,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_route_b4_4_finite_patch_tolerance\_saved_fsp\TOL_J1_YP2\B4_4_TOL_J1_YP2_CENTER_Y_T100FS.fsp,true,Stage10 CP Route B4-4 x-axis centerline only.
B4_4_TOL_J1_YP2_X_PLUS_Q_X_T100FS,TOL_J1_YP2,x_plus_q,x,107.9769465,0.0,-200.0,101,5.0;10.0;20.0;30.0,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_route_b4_4_finite_patch_tolerance\_saved_fsp\TOL_J1_YP2\B4_4_TOL_J1_YP2_X_PLUS_Q_X_T100FS.fsp,true,Stage10 CP Route B4-4 x-axis centerline only.
B4_4_TOL_J1_YP2_X_PLUS_Q_Y_T100FS,TOL_J1_YP2,x_plus_q,y,107.9769465,0.0,-200.0,101,5.0;10.0;20.0;30.0,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_route_b4_4_finite_patch_tolerance\_saved_fsp\TOL_J1_YP2\B4_4_TOL_J1_YP2_X_PLUS_Q_Y_T100FS.fsp,true,Stage10 CP Route B4-4 x-axis centerline only.
