well_index,center_z_nm,top_z_nm,bottom_z_nm,thickness_nm,weight,z_datum,registration_authority
1,-171.5,-170.0,-173.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
2,-190.5,-189.0,-192.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
3,-209.5,-208.0,-211.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
4,-228.5,-227.0,-230.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
5,-247.5,-246.0,-249.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
6,-266.5,-265.0,-268.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
7,-285.5,-284.0,-287.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
8,-304.5,-303.0,-306.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
9,-323.5,-322.0,-325.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
10,-342.5,-341.0,-344.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
11,-361.5,-360.0,-363.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
12,-380.5,-379.0,-382.0,3.0,0.0833333333333333,GaN-top/MDC-bottom interface z=0; project +z = source +y,MDC_REALISTIC_MQW_SOURCE_MODULE_V1
