asset_id,category,domain,source_worktree,source_branch,source_commit,source_path,source_sha256,copied_or_referenced,destination_path,destination_sha256,physics_contract,production_or_reference,intended_future_use,immutable_source
lp_fulljones_builder_support,script,LP,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\scripts\lp_global_h_h1c1a_broadband_v1.py,443243fd195e386546fe963cb6c4ee52455f2ff4fe8f4c731624ee8f966d0e92,copied,paper_a_broadband/templates/lp_fulljones/lp_global_h_h1c1a_broadband_builder_support.py,443243fd195e386546fe963cb6c4ee52455f2ff4fe8f4c731624ee8f966d0e92,current-Native-M1 plane-wave full-Jones architecture,production_template,future axis-free LP geometry replacement x/y basis builder,True
lp_shared_scheduler_reference,script,shared,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\scripts\apcd_global_fdtd_slot_v1.py,c69c3740bbc2f5e28f992cbf1cf01ebad71c3bc64dcb947d32da273b816d001f,copied,paper_a_broadband/templates/lp_fulljones/apcd_global_fdtd_slot_v1.py,c69c3740bbc2f5e28f992cbf1cf01ebad71c3bc64dcb947d32da273b816d001f,shared global scheduler authority,production_reference,read shared scheduler only; no fork,True
lp_p1_broadband_runner_provenance,script,LP,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\scripts\stage_paper_a_lp_p1_native_wideband_435_465.py,6c2a1718c2cd7ee92c1e438a7bb873346f857903b1ae44ace4f5d385e346936e,copied,paper_a_broadband/templates/lp_fulljones/stage_paper_a_lp_p1_native_wideband_435_465_frozen_provenance.py,6c2a1718c2cd7ee92c1e438a7bb873346f857903b1ae44ace4f5d385e346936e,435-465 nm / 31-point Native-M1 full-Jones validated runner,reference_only,frozen implementation provenance; new search must not restore its fixed candidate pool,True
lp_axis_free_metrics_logic,script,LP,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\scripts\paper_a_lp_physics_guided_second_rescue_v1.py,90d3b75c522b9d388822e08b157d56e200613b747c67c2a349e62805aba4a392,copied,paper_a_broadband/scripts/paper_a_lp_physics_guided_second_rescue_metrics_reference.py,90d3b75c522b9d388822e08b157d56e200613b747c67c2a349e62805aba4a392,Stokes orientation and singular-vector stability logic,reference_only,reuse verified axis-free metric logic without legacy ranking authority,True
lp_evidence_lp_435_465_full_spectra_csv,result,LP,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports\stage_paper_a_lp_p1_native_wideband_435_465\lp_435_465_full_spectra.csv,de8310871496359b5f6dc3e89d82018fbb311f35e9a3c7dc7bbc1cf622d19b42,copied,paper_a_broadband/references/lp/lp_435_465_full_spectra.csv,de8310871496359b5f6dc3e89d82018fbb311f35e9a3c7dc7bbc1cf622d19b42,current-Native-M1 435-465 real x/y P1 evidence,negative_reference,failed controls 009/010/015 and source-weighted failure evidence; excluded from new pool,True
lp_evidence_p1_broadband_metrics_csv,result,LP,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports\stage_paper_a_lp_p1_native_wideband_435_465\p1_broadband_metrics.csv,96ed76c5aa4f388b0ef9727358359894e379eeed72a0adb4a6c1bc9f7aa6c414,copied,paper_a_broadband/references/lp/p1_broadband_metrics.csv,96ed76c5aa4f388b0ef9727358359894e379eeed72a0adb4a6c1bc9f7aa6c414,current-Native-M1 435-465 real x/y P1 evidence,negative_reference,failed controls 009/010/015 and source-weighted failure evidence; excluded from new pool,True
lp_evidence_p1_final_champion_json,result,LP,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports\stage_paper_a_lp_p1_native_wideband_435_465\p1_final_champion.json,6cc36b96abd13cf57d66705cf791da01f0b5883b1f01c7f95ccc3e1e3e34680f,copied,paper_a_broadband/references/lp/p1_final_champion.json,6cc36b96abd13cf57d66705cf791da01f0b5883b1f01c7f95ccc3e1e3e34680f,current-Native-M1 435-465 real x/y P1 evidence,negative_reference,failed controls 009/010/015 and source-weighted failure evidence; excluded from new pool,True
lp_evidence_p1_postprocess_json,result,LP,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports\stage_paper_a_lp_p1_native_wideband_435_465\p1_postprocess.json,433c4d7b0ba1199b60a719f5fe8b5029ac90d2df32ae633dc1726d12ef1ca2a9,copied,paper_a_broadband/references/lp/p1_postprocess.json,433c4d7b0ba1199b60a719f5fe8b5029ac90d2df32ae633dc1726d12ef1ca2a9,current-Native-M1 435-465 real x/y P1 evidence,negative_reference,failed controls 009/010/015 and source-weighted failure evidence; excluded from new pool,True
lp_evidence_paper_a_lp_final_freeze_json,result,LP,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports\stage_paper_a_lp_p1_native_wideband_435_465\paper_a_lp_final_freeze.json,3661a8e88b647b67faee85803f461e8f9e8910c6438a97a6ba7252d6eb9cfbe9,copied,paper_a_broadband/references/lp/paper_a_lp_final_freeze.json,3661a8e88b647b67faee85803f461e8f9e8910c6438a97a6ba7252d6eb9cfbe9,current-Native-M1 435-465 real x/y P1 evidence,negative_reference,failed controls 009/010/015 and source-weighted failure evidence; excluded from new pool,True
lp_evidence_paper_a_lp_gate_history_json,result,LP,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports\stage_paper_a_lp_p1_native_wideband_435_465\paper_a_lp_gate_history.json,d669e250a8f16ae03ea38062571f55beafb7dc81041c53d90d39e4bc412ac872,copied,paper_a_broadband/references/lp/paper_a_lp_gate_history.json,d669e250a8f16ae03ea38062571f55beafb7dc81041c53d90d39e4bc412ac872,current-Native-M1 435-465 real x/y P1 evidence,negative_reference,failed controls 009/010/015 and source-weighted failure evidence; excluded from new pool,True
