geometry_id,contexts,geometry_hash_sha256,L1_nm,W1_nm,L2_nm,W2_nm,D_nm,delta_theta_deg,direct_polygon_clearance_nm,periodic_translated_polygon_clearance_nm,nearest_direct_pair,nearest_periodic_pair,overlap_or_touch_pass,cell_containment_pass,integer_lateral_dimensions_pass,half_grid_centers_pass,original_reported_validity,corrected_gate_pass,scientific_truth_affected,gate_reasons
BF01,BF01-BF04 initial truth,5b4cd23ca1a5e40ff2fa01938f1ec8a0f266d3c912510876f0fcf520fad77289,196,85,153,77,170,0.0,89.0,181.0,"{""distance_nm"": ""89.0"", ""image_shift_cells"": [0, 0], ""image_shift_nm"": [""0"", ""0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 0, ""point_nm"": [""76.5"", ""-46.5""], ""projection_nm"": [""76.5"", ""42.5""], ""projection_t"": ""0.890306122448979591836734693877551020408163265"", ""side"": ""B_to_A"", ""vertex_index"": 2}}","{""distance_nm"": ""181.0"", ""image_shift_cells"": [0, 1], ""image_shift_nm"": [""0.0"", ""432.0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 2, ""point_nm"": [""-76.5"", ""308.5""], ""projection_nm"": [""-76.5"", ""127.5""], ""projection_t"": ""0.890306122448979591836734693877551020408163265"", ""side"": ""B_to_A"", ""vertex_index"": 0}}",True,True,True,True,"{""validity"": ""PASS""}",True,False,[]
BF02,BF01-BF04 initial truth,6b88ba06d8d1971f1b4c2a86f42c27a00b783188a64d822abb97d5472da85c70,229,102,173,89,207,44.538574219,63.611186709776375494864601900789735341299239,81.611186709776375494864601900789735341299239,"{""distance_nm"": ""63.611186709776375494864601900789735341299239"", ""image_shift_cells"": [0, 0], ""image_shift_nm"": [""0"", ""0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 0, ""point_nm"": [""30.4435079914289537612163696138076442292564739"", ""-11.111186709776375494864601900789735341299239""], ""projection_nm"": [""30.4435079914289537612163696138076442292564739"", ""52.5""], ""projection_t"": ""0.632941082932004164896141352025360891830814297"", ""side"": ""B_to_A"", ""vertex_index"": 2}}","{""distance_nm"": ""81.611186709776375494864601900789735341299239"", ""image_shift_cells"": [0, 1], ""image_shift_nm"": [""0.0"", ""432.0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 2, ""point_nm"": [""-30.4435079914289537612163696138076442292564739"", ""236.111186709776375494864601900789735341299239""], ""projection_nm"": [""-30.4435079914289537612163696138076442292564739"", ""154.5""], ""projection_t"": ""0.632941082932004164896141352025360891830814297"", ""side"": ""B_to_A"", ""vertex_index"": 0}}",True,True,True,True,"{""validity"": ""PASS""}",True,False,[]
BF03,BF01-BF04 initial truth,81b5e1ca4cf8699cdca2f486b7340e40603d293a463be032aec92cea218ff4b8,264,87,153,98,220,64.533691406,86.3638379180518404807387705918444421945059901,78.3638379180518404807387705918444421945059901,"{""distance_nm"": ""86.3638379180518404807387705918444421945059901"", ""image_shift_cells"": [0, 0], ""image_shift_nm"": [""0"", ""0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 0, ""point_nm"": [""-11.3455843893900339374313403834671347910560146"", ""-19.8638379180518404807387705918444421945059901""], ""projection_nm"": [""-11.3455843893900339374313403834671347910560146"", ""66.5""], ""projection_t"": ""0.457024301555340780540032801577776004579333278"", ""side"": ""B_to_A"", ""vertex_index"": 2}}","{""distance_nm"": ""78.3638379180518404807387705918444421945059901"", ""image_shift_cells"": [0, 1], ""image_shift_nm"": [""0.0"", ""432.0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 2, ""point_nm"": [""11.3455843893900339374313403834671347910560146"", ""231.86383791805184048073877059184444219450599""], ""projection_nm"": [""11.3455843893900339374313403834671347910560146"", ""153.5""], ""projection_t"": ""0.457024301555340780540032801577776004579333278"", ""side"": ""B_to_A"", ""vertex_index"": 0}}",True,True,True,True,"{""validity"": ""PASS""}",True,False,[]
BF04,BF01-BF04 initial truth,27f33a0ecb247535fff91c4784913bf7e887287144d3f3c6d85336ba0c80ccc1,256,91,204,77,219,82.727050781,67.4467017109063810036842330635021091244526821,61.4467017109063810036842330635021091244526821,"{""distance_nm"": ""67.4467017109063810036842330635021091244526821"", ""image_shift_cells"": [0, 0], ""image_shift_nm"": [""0"", ""0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 0, ""point_nm"": [""-25.2774192117101318962633337297981718817226898"", ""-3.44670171090638100368423306350210912445268212""], ""projection_nm"": [""-25.2774192117101318962633337297981718817226898"", ""64.0""], ""projection_t"": ""0.401260081204257297280221352617975891087020743"", ""side"": ""B_to_A"", ""vertex_index"": 2}}","{""distance_nm"": ""61.4467017109063810036842330635021091244526821"", ""image_shift_cells"": [0, 1], ""image_shift_nm"": [""0.0"", ""432.0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 2, ""point_nm"": [""25.2774192117101318962633337297981718817226898"", ""216.446701710906381003684233063502109124452682""], ""projection_nm"": [""25.2774192117101318962633337297981718817226898"", ""155.0""], ""projection_t"": ""0.401260081204257297280221352617975891087020743"", ""side"": ""B_to_A"", ""vertex_index"": 0}}",True,True,True,True,"{""validity"": ""PASS""}",True,False,[]
BF04R_C01,BF04R C01/C02 conditional truth,9b00f674c28a13062b922c6030ea0e1f30b1320d8470ac1bd469efe3f63293db,263,87,198,78,207,82.744267434,60.3671298860184927541683659636895009963619535,78.3671298860184927541683659636895009963619535,"{""distance_nm"": ""60.3671298860184927541683659636895009963619535"", ""image_shift_cells"": [0, 0], ""image_shift_nm"": [""0"", ""0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 0, ""point_nm"": [""-26.1841765586130290405716009962881381463348805"", ""-0.36712988601849275416836596368950099636195347""], ""projection_nm"": [""-26.1841765586130290405716009962881381463348805"", ""60.0""], ""projection_t"": ""0.400440393313258444712655509519816965223061291"", ""side"": ""B_to_A"", ""vertex_index"": 2}}","{""distance_nm"": ""78.3671298860184927541683659636895009963619535"", ""image_shift_cells"": [0, 1], ""image_shift_nm"": [""0.0"", ""432.0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 2, ""point_nm"": [""26.1841765586130290405716009962881381463348805"", ""225.367129886018492754168365963689500996361953""], ""projection_nm"": [""26.1841765586130290405716009962881381463348805"", ""147.0""], ""projection_t"": ""0.400440393313258444712655509519816965223061291"", ""side"": ""B_to_A"", ""vertex_index"": 0}}",True,True,True,True,"{""v2_validity_x"": ""VALID_FOR_PHYSICS_TRUTH"", ""v2_validity_y"": ""VALID_FOR_PHYSICS_TRUTH""}",True,False,[]
BF04R_C02,BF04R C01/C02 conditional truth,38fbc09dd1a16be98ec2fab79b99786f11ab76b789e78ae1758fbc15101881b5,244,88,199,78,215,82.728939056,67.3641492596343068350939147805129031480885896,69.3641492596343068350939147805129031480885896,"{""distance_nm"": ""67.3641492596343068350939147805129031480885896"", ""image_shift_cells"": [0, 0], ""image_shift_nm"": [""0"", ""0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 0, ""point_nm"": [""-26.0933026142848312288019715339677835444063409"", ""-3.86414925963430683509391478051290314808858964""], ""projection_nm"": [""-26.0933026142848312288019715339677835444063409"", ""63.5""], ""projection_t"": ""0.393060235187357249062287001909968100227842865"", ""side"": ""B_to_A"", ""vertex_index"": 2}}","{""distance_nm"": ""69.3641492596343068350939147805129031480885896"", ""image_shift_cells"": [0, 1], ""image_shift_nm"": [""0.0"", ""432.0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 2, ""point_nm"": [""26.0933026142848312288019715339677835444063409"", ""220.86414925963430683509391478051290314808859""], ""projection_nm"": [""26.0933026142848312288019715339677835444063409"", ""151.5""], ""projection_t"": ""0.393060235187357249062287001909968100227842865"", ""side"": ""B_to_A"", ""vertex_index"": 0}}",True,True,True,True,"{""v2_validity_x"": ""VALID_FOR_PHYSICS_TRUTH"", ""v2_validity_y"": ""VALID_FOR_PHYSICS_TRUTH""}",True,False,[]
BF04R_I01,BF04R I01-I04 truth,07b510e377ba69195b5e432cfb4031dba381c94ec7b662acef584077c2981058,261,89,207,77,213.0,81.518898904,60.4537152475272156744048327281524656705606977,66.4537152475272156744048327281524656705606977,"{""distance_nm"": ""60.4537152475272156744048327281524656705606977"", ""image_shift_cells"": [0, 0], ""image_shift_nm"": [""0"", ""0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 0, ""point_nm"": [""-22.8144767896957724371422779999078339393036103"", ""1.54628475247278432559516727184753432943930225""], ""projection_nm"": [""-22.8144767896957724371422779999078339393036103"", ""62.0""], ""projection_t"": ""0.412588211533732672654627287356674965749794597"", ""side"": ""B_to_A"", ""vertex_index"": 2}}","{""distance_nm"": ""66.4537152475272156744048327281524656705606977"", ""image_shift_cells"": [0, 1], ""image_shift_nm"": [""0.0"", ""432.0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 2, ""point_nm"": [""22.8144767896957724371422779999078339393036103"", ""217.453715247527215674404832728152465670560698""], ""projection_nm"": [""22.8144767896957724371422779999078339393036103"", ""151.0""], ""projection_t"": ""0.412588211533732672654627287356674965749794597"", ""side"": ""B_to_A"", ""vertex_index"": 0}}",True,True,True,True,"{""v2_validity_x"": ""VALID_FOR_PHYSICS_TRUTH"", ""v2_validity_y"": ""VALID_FOR_PHYSICS_TRUTH""}",True,False,[]
BF04R_I02,BF04R I01-I04 truth,002b7038e6572549af080944267cfe7b62a4a77897b9e95dc7ad8fb10fd41446,244,95,194,80,216.0,81.618082523,66.7052841237656528188141504887754990288361728,66.7052841237656528188141504887754990288361728,"{""distance_nm"": ""66.7052841237656528188141504887754990288361728"", ""image_shift_cells"": [0, 0], ""image_shift_nm"": [""0"", ""0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 0, ""point_nm"": [""-25.4329671819220287998252510464201655381707694"", ""-6.20528412376565281881415048877549902883617278""], ""projection_nm"": [""-25.4329671819220287998252510464201655381707694"", ""60.5""], ""projection_t"": ""0.395766527942942504918748971121228829761595207"", ""side"": ""B_to_A"", ""vertex_index"": 2}}","{""distance_nm"": ""66.7052841237656528188141504887754990288361728"", ""image_shift_cells"": [0, 1], ""image_shift_nm"": [""0.0"", ""432.0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 2, ""point_nm"": [""25.4329671819220287998252510464201655381707694"", ""222.205284123765652818814150488775499028836173""], ""projection_nm"": [""25.4329671819220287998252510464201655381707694"", ""155.5""], ""projection_t"": ""0.395766527942942504918748971121228829761595207"", ""side"": ""B_to_A"", ""vertex_index"": 0}}",True,True,True,True,"{""v2_validity_x"": ""VALID_FOR_PHYSICS_TRUTH"", ""v2_validity_y"": ""VALID_FOR_PHYSICS_TRUTH""}",True,False,[]
BF04R_I03,BF04R I01-I04 truth; I03 champion/local-basin authority; IC1 integrated I03 unit-cell geometry; IC2 integrated I03 unit-cell geometry,b818fd28e0535053a21940f40a9b45cfb0b9252aba9e0158be2496fba87eea06,264,87,194,80,220.0,85.819861293,76.8423397712798533150404994284496037201094134,68.8423397712798533150404994284496037201094134,"{""distance_nm"": ""76.8423397712798533150404994284496037201094134"", ""image_shift_cells"": [0, 0], ""image_shift_nm"": [""0"", ""0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 0, ""point_nm"": [""-32.8230217642582493646270514689582432129328419"", ""-10.3423397712798533150404994284496037201094134""], ""projection_nm"": [""-32.8230217642582493646270514689582432129328419"", ""66.5""], ""projection_t"": ""0.375670372105082388770352077769097563587375599"", ""side"": ""B_to_A"", ""vertex_index"": 2}}","{""distance_nm"": ""68.8423397712798533150404994284496037201094134"", ""image_shift_cells"": [0, 1], ""image_shift_nm"": [""0.0"", ""432.0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 2, ""point_nm"": [""32.8230217642582493646270514689582432129328419"", ""222.342339771279853315040499428449603720109413""], ""projection_nm"": [""32.8230217642582493646270514689582432129328419"", ""153.5""], ""projection_t"": ""0.375670372105082388770352077769097563587375599"", ""side"": ""B_to_A"", ""vertex_index"": 0}}",True,True,True,True,"{""v2_validity_x"": ""VALID_FOR_PHYSICS_TRUTH"", ""v2_validity_y"": ""VALID_FOR_PHYSICS_TRUTH""}",True,False,[]
BF04R_I04,BF04R I01-I04 truth,718e890a0e77373d4daac095e122f6593fd0f81690162a1a19e3014722f948af,245,93,207,77,215.0,89.696137458,64.797275507387252546920678518709016709620599,66.797275507387252546920678518709016709620599,"{""distance_nm"": ""64.797275507387252546920678518709016709620599"", ""image_shift_cells"": [0, 0], ""image_shift_nm"": [""0"", ""0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 0, ""point_nm"": [""-37.9505590579276734495569623109768401840814802"", ""-3.79727550738725254692067851870901670962059902""], ""projection_nm"": [""-37.9505590579276734495569623109768401840814802"", ""61.0""], ""projection_t"": ""0.345099758947233985920175664036829223738442938"", ""side"": ""B_to_A"", ""vertex_index"": 2}}","{""distance_nm"": ""66.797275507387252546920678518709016709620599"", ""image_shift_cells"": [0, 1], ""image_shift_nm"": [""0.0"", ""432.0""], ""intersects_or_touches"": false, ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""witness"": {""edge_index"": 2, ""point_nm"": [""37.9505590579276734495569623109768401840814802"", ""220.797275507387252546920678518709016709620599""], ""projection_nm"": [""37.9505590579276734495569623109768401840814802"", ""154.0""], ""projection_t"": ""0.345099758947233985920175664036829223738442938"", ""side"": ""B_to_A"", ""vertex_index"": 0}}",True,True,True,True,"{""v2_validity_x"": ""VALID_FOR_PHYSICS_TRUTH"", ""v2_validity_y"": ""VALID_FOR_PHYSICS_TRUTH""}",True,False,[]
