sample_index,delta_theta_deg,delta_theta_difference_from_IAR4_deg,delta_theta_difference_from_I03_deg,direct_clearance_nm,periodic_image_clearance_nm,global_minimum_clearance_nm,nearest_pair_kind,nearest_pair,overlap_or_touching_pass,cell_containment_pass,geometry_valid,validity_reasons,geometry_hash_sha256
0,80.0,-2.820909321000002,-5.819861293000002,59.68291005141714,71.68291005141714,59.68291005141714,direct,"{""distance_nm"": 59.68291005141714, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.274616210788793, 61.5], ""point_b_nm"": [-21.27461621078878, 1.8170899485828622], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,f9c76231c3cc105c3e6702e3c0c44f7288692aacc51d383b44edb714ed78a663
1,80.001,-2.8199093209999972,-5.818861292999998,59.683281379786266,71.68328137978628,59.683281379786266,direct,"{""distance_nm"": 59.683281379786266, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.276480517465387, 61.5], ""point_b_nm"": [-21.27648051746539, 1.8167186202137335], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,48801a2a9ae78e65b8450e87037e07847e365af50a81a43369eb023f9ec3932b
2,80.002,-2.8189093210000067,-5.817861293000007,59.68365274069363,71.68365274069362,59.68365274069363,direct,"{""distance_nm"": 59.68365274069363, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.27834481766078, 61.5], ""point_b_nm"": [-21.278344817660777, 1.8163472593063696], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,84b03e664341ea67021d3a82a944d6d45570cea6f0ee8233e7f3f02980d22ac2
3,80.003,-2.817909321000002,-5.816861293000002,59.684024134139115,71.68402413413912,59.684024134139115,direct,"{""distance_nm"": 59.684024134139115, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.280209111374475, 61.5], ""point_b_nm"": [-21.280209111374454, 1.8159758658608833], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,31c487136d530f2d2145d8c349083c84ebc4d53b531105ba2dea573fa7a62167
4,80.004,-2.816909320999997,-5.8158612929999975,59.6843955601226,71.6843955601226,59.6843955601226,direct,"{""distance_nm"": 59.6843955601226, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.282073398605775, 61.5], ""point_b_nm"": [-21.28207339860578, 1.8156044398773954], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,dc9b25d8eb97194604fbdff13998f4e0ab7d7c020dca8cbba44a1b7665eeca5f
5,80.005,-2.8159093210000066,-5.814861293000007,59.684767018643996,71.68476701864401,59.684767018643996,direct,"{""distance_nm"": 59.684767018643996, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.283937679354224, 61.5], ""point_b_nm"": [-21.28393767935422, 1.8152329813560026], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,ef46630987883cd066f640755339d2ecdbe97bb7c95df139cd81657025619f06
6,80.006,-2.814909321000002,-5.813861293000002,59.68513850970316,71.68513850970317,59.68513850970316,direct,"{""distance_nm"": 59.68513850970316, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.2858019536192, 61.5], ""point_b_nm"": [-21.285801953619202, 1.8148614902968436], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,bdc80bb15d7ffdefc3b35d56bc46e025698b68bad31f5aace639a9879eac480d
7,80.007,-2.813909320999997,-5.812861292999997,59.685510033299984,71.6855100333,59.685510033299984,direct,"{""distance_nm"": 59.685510033299984, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.287666221400173, 61.5], ""point_b_nm"": [-21.28766622140018, 1.814489966700016], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,ff3c7b11d0c6cd07877273e5a32eaaee91a709b86c0ff9a813da37c356b15de0
8,80.008,-2.8129093210000065,-5.811861293000007,59.68588158943437,71.68588158943439,59.68588158943437,direct,"{""distance_nm"": 59.68588158943437, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.28953048269655, 61.5], ""point_b_nm"": [-21.289530482696545, 1.8141184105656292], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,4fd2e6ded1126410e13dbef57cf84d317dae743d02690645f538b55a5c11aac6
9,80.009,-2.8119093210000017,-5.810861293000002,59.686253178106206,71.6862531781062,59.686253178106206,direct,"{""distance_nm"": 59.686253178106206, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.29139473750776, 61.5], ""point_b_nm"": [-21.29139473750774, 1.8137468218937967], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,932ac002fa6ce8d2a7356dbc56587f7b663290696172cbd1bbe78c593ca07c55
10,80.01,-2.810909320999997,-5.809861292999997,59.68662479931537,71.68662479931538,59.68662479931537,direct,"{""distance_nm"": 59.68662479931537, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.293258985833234, 61.5], ""point_b_nm"": [-21.293258985833237, 1.8133752006846322], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,204582a9c4651d145fae41fea90a3d891ce55ba811c714197272470d09bdb6dd
11,80.011,-2.8099093210000063,-5.808861293000007,59.68699645306172,71.68699645306171,59.68699645306172,direct,"{""distance_nm"": 59.68699645306172, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.295123227672377, 61.5], ""point_b_nm"": [-21.295123227672388, 1.8130035469382824], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,7811628eda9ab3c18c8d28d08d72d74f10babfb626e36982ae99e12bd0ef4cad
12,80.012,-2.8089093210000016,-5.807861293000002,59.68736813934521,71.68736813934521,59.68736813934521,direct,"{""distance_nm"": 59.68736813934521, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.296987463024706, 61.5], ""point_b_nm"": [-21.29698746302471, 1.8126318606547906], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,6e2be0dd18a89a5561a75c066b37ef0d0a665c5b194fde2a304c1fa1042caeaa
13,80.013,-2.807909320999997,-5.806861292999997,59.68773985816566,71.68773985816568,59.68773985816566,direct,"{""distance_nm"": 59.68773985816566, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.298851691889595, 61.5], ""point_b_nm"": [-21.29885169188959, 1.8122601418343356], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,013891c73b11e97fafbd47c5ec3e2f173129a3d5ea26c31e40896d2d6df67c76
14,80.014,-2.8069093210000062,-5.805861293000007,59.688111609523,71.68811160952299,59.688111609523,direct,"{""distance_nm"": 59.688111609523, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.300715914266448, 61.5], ""point_b_nm"": [-21.30071591426645, 1.811888390476999], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,92c3bd5be2f6ab9948970ccaf80a00958bf3c9f8c4f69fc97872470e4e9c2f26
15,80.015,-2.8059093210000015,-5.804861293000002,59.688483393417094,71.6884833934171,59.688483393417094,direct,"{""distance_nm"": 59.688483393417094, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.30258013015475, 61.5], ""point_b_nm"": [-21.30258013015476, 1.8115166065829031], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,bb483b52fc2d8179e27ffa7b018b3ed17fc27e9fe87e80b63356ec6b70c155c8
16,80.016,-2.8049093209999967,-5.803861292999997,59.68885520984785,71.68885520984784,59.68885520984785,direct,"{""distance_nm"": 59.68885520984785, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.304444339553953, 61.5], ""point_b_nm"": [-21.30444433955395, 1.8111447901521478], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,9d8dcf9f0fa2560243024e7002bb0638064f3a3de9fa17089cb8246229b01cf9
17,80.017,-2.803909321000006,-5.8028612930000065,59.68922705881512,71.6892270588151,59.68922705881512,direct,"{""distance_nm"": 59.68922705881512, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.306308542463384, 61.5], ""point_b_nm"": [-21.306308542463388, 1.8107729411848794], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,6378aeb4850515b5823bb4b75ded177f76a1b28cb89b1d9ed0ecc9914092f5d3
18,80.018,-2.8029093210000013,-5.801861293000002,59.68959894031883,71.6895989403188,59.68959894031883,direct,"{""distance_nm"": 59.68959894031883, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.30817273888259, 61.5], ""point_b_nm"": [-21.308172738882593, 1.8104010596811717], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,f478aa8de33d00535ffe448564d0c20b2f4b3513ee4d34d696b9a4309a15eb52
19,80.019,-2.8019093209999966,-5.800861292999997,59.689970854358855,71.68997085435885,59.689970854358855,direct,"{""distance_nm"": 59.689970854358855, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.310036928810973, 61.5], ""point_b_nm"": [-21.310036928810966, 1.8100291456411481], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,cb7f5a3bb29b0d9d2ecc4dd26f8158faefb3a9c976007bbd3669068a2e8ce7d1
20,80.02,-2.800909321000006,-5.799861293000006,59.69034280093505,71.69034280093504,59.69034280093505,direct,"{""distance_nm"": 59.69034280093505, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.311901112247895, 61.5], ""point_b_nm"": [-21.311901112247885, 1.8096571990649482], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,8ca6e030afefb0d53e6dc40f72087d579b7eea3a80d7efab437b3d24d0563a16
21,80.021,-2.7999093210000012,-5.798861293000002,59.690714780047344,71.69071478004733,59.690714780047344,direct,"{""distance_nm"": 59.690714780047344, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.313765289192872, 61.5], ""point_b_nm"": [-21.31376528919287, 1.8092852199526588], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,e432e2957af6690cdc9b1a6665e0f17ca2e21fe1900dc66f439e8f8474f735cf
22,80.022,-2.7989093209999965,-5.797861292999997,59.691086791695604,71.6910867916956,59.691086791695604,direct,"{""distance_nm"": 59.691086791695604, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.31562945964528, 61.5], ""point_b_nm"": [-21.31562945964529, 1.808913208304399], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,9052fbc0463f88543dcbf8a4a6f4d630792b1129b35a4a43559e543886e7da63
23,80.023,-2.797909321000006,-5.796861293000006,59.6914588358797,71.6914588358797,59.6914588358797,direct,"{""distance_nm"": 59.6914588358797, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.317493623604605, 61.5], ""point_b_nm"": [-21.317493623604598, 1.808541164120296], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,9392c78c12b947fb2bed91a6deb288ae0185009aaaa8fb2457d8da8e9a8b3bb1
24,80.024,-2.796909321000001,-5.7958612930000015,59.69183091259957,71.69183091259958,59.69183091259957,direct,"{""distance_nm"": 59.69183091259957, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.319357781070224, 61.5], ""point_b_nm"": [-21.31935778107022, 1.8081690874004286], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,30eea36efefef9a5c7af6873f06dd374096a7eaa6c090abeedbf1d77ac11b1ba
25,80.025,-2.7959093209999963,-5.794861292999997,59.692203021855065,71.69220302185508,59.692203021855065,direct,"{""distance_nm"": 59.692203021855065, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.321221932041624, 61.5], ""point_b_nm"": [-21.321221932041624, 1.8077969781449381], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,ed7f1a908836e2c75e8c6370e5f6f7265a0110392873397ea7f5b97f824cce77
26,80.026,-2.7949093210000058,-5.793861293000006,59.692575163646055,71.69257516364607,59.692575163646055,direct,"{""distance_nm"": 59.692575163646055, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.323086076518166, 61.5], ""point_b_nm"": [-21.323086076518166, 1.8074248363539445], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,caea3204fd060e072ddec770a4f20134ebf6db13ba61048a5d22459ac7c64f6e
27,80.027,-2.793909321000001,-5.792861293000001,59.692947337972456,71.69294733797247,59.692947337972456,direct,"{""distance_nm"": 59.692947337972456, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.32495021449938, 61.5], ""point_b_nm"": [-21.32495021449937, 1.807052662027547], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,bad49f9888744d707cb7c9b6e52f55be1ef7114b78eddd1616071d516ca3c714
28,80.028,-2.7929093209999962,-5.791861292999997,59.69331954483416,71.69331954483414,59.69331954483416,direct,"{""distance_nm"": 59.69331954483416, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.326814345984587, 61.5], ""point_b_nm"": [-21.326814345984594, 1.8066804551658384], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,2185468dc1a2e50dd916ea80b5444c5071c0163e9b9f66279ce3731ac51eda67
29,80.029,-2.7919093210000057,-5.790861293000006,59.693691784231014,71.69369178423102,59.693691784231014,direct,"{""distance_nm"": 59.693691784231014, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.3286784709733, 61.5], ""point_b_nm"": [-21.3286784709733, 1.8063082157689871], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,6ab43c91e48285b030d92b3c1ffe5ec99ba14a3475b3cdc606dfe4265f073aa9
30,80.03,-2.790909321000001,-5.789861293000001,59.694064056162944,71.69406405616294,59.694064056162944,direct,"{""distance_nm"": 59.694064056162944, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.330542589464926, 61.5], ""point_b_nm"": [-21.330542589464923, 1.805935943837059], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,ba76ad4d7caccfb438b6a3378e95bbd9ba9607be98aec99950e122d691caed28
31,80.031,-2.789909320999996,-5.7888612929999965,59.69443636062984,71.69443636062985,59.69443636062984,direct,"{""distance_nm"": 59.69443636062984, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.332406701458922, 61.5], ""point_b_nm"": [-21.332406701458915, 1.805563639370165], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,88a838e6e26ecef314ab2fc9ad4b4e78c11253fd89292a5492e722987364fac5
32,80.032,-2.7889093210000055,-5.787861293000006,59.69480869763155,71.69480869763154,59.69480869763155,direct,"{""distance_nm"": 59.69480869763155, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.334270806954663, 61.5], ""point_b_nm"": [-21.33427080695466, 1.8051913023684465], ""touch_or_overlap"": false}",True,True,False,direct_gap_lt_60_nm,e42618ed1d498cdfae4ad742da5d0f06272e946a29685ace2cd6ae5dae690fdc
