theta_index,delta_theta_deg,L1_nm,W1_nm,L2_nm,W2_nm,D_nm,direct_clearance_nm,periodic_image_clearance_nm,global_minimum_clearance_nm,direct_headroom_over_60_nm,periodic_headroom_over_60_nm,nearest_direct_pair,nearest_periodic_pair,global_nearest_pair,direct_overlap_or_touch,no_direct_or_periodic_overlap_or_touch,cell_containment_pass,current_inherited_gate_pass,geometry_hash_sha256,scan_method
0,80.00,258,88,198,78,217,68.731753522781,66.731753522781,66.731753522781,8.731753522781,6.731753522781,"{""distance_nm"": 68.73175352278112, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.216332778449996, 64.5], ""point_b_nm"": [-21.216332778450003, -4.2317535227811165], ""touch_or_overlap"": false}","{""distance_nm"": 66.7317535227811, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.216332778449996, 152.5], ""point_b_nm"": [21.216332778450003, 219.2317535227811], ""touch_or_overlap"": false}","{""distance_nm"": 66.7317535227811, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.216332778449996, 152.5], ""point_b_nm"": [21.216332778450003, 219.2317535227811], ""touch_or_overlap"": false}",True,True,True,True,4e5a2cd840e948d7adc6827926514d95fe6a4d1eefb8e5d4f51d952f7a1bd574,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
1,80.01,258,88,198,78,217,68.735458059480,66.735458059480,66.735458059480,8.735458059480,6.735458059480,"{""distance_nm"": 68.73545805948037, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.234530697277506, 64.5], ""point_b_nm"": [-21.23453069727749, -4.23545805948036], ""touch_or_overlap"": false}","{""distance_nm"": 66.73545805948035, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.234530697277506, 152.5], ""point_b_nm"": [21.23453069727749, 219.23545805948035], ""touch_or_overlap"": false}","{""distance_nm"": 66.73545805948035, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.234530697277506, 152.5], ""point_b_nm"": [21.23453069727749, 219.23545805948035], ""touch_or_overlap"": false}",True,True,True,True,b157c80bfbc996bd9b877eaa12e4032fd2eda8e543c3b6a4ec9874e55a5d357d,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
2,80.02,258,88,198,78,217,68.739165772259,66.739165772259,66.739165772259,8.739165772259,6.739165772259,"{""distance_nm"": 68.73916577225916, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.25272796926413, 64.5], ""point_b_nm"": [-21.252727969264136, -4.239165772259157], ""touch_or_overlap"": false}","{""distance_nm"": 66.73916577225918, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.25272796926413, 152.5], ""point_b_nm"": [21.252727969264136, 219.23916577225918], ""touch_or_overlap"": false}","{""distance_nm"": 66.73916577225918, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.25272796926413, 152.5], ""point_b_nm"": [21.252727969264136, 219.23916577225918], ""touch_or_overlap"": false}",True,True,True,True,2a565364b22f56bdbc5844198c457c091a8c569b5421fb3f80abaac1c735fb44,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
3,80.03,258,88,198,78,217,68.742876661005,66.742876661005,66.742876661005,8.742876661005,6.742876661005,"{""distance_nm"": 68.74287666100457, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.270924593855696, 64.5], ""point_b_nm"": [-21.270924593855693, -4.242876661004576], ""touch_or_overlap"": false}","{""distance_nm"": 66.74287666100457, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.270924593855696, 152.5], ""point_b_nm"": [21.270924593855693, 219.24287666100457], ""touch_or_overlap"": false}","{""distance_nm"": 66.74287666100457, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.270924593855696, 152.5], ""point_b_nm"": [21.270924593855693, 219.24287666100457], ""touch_or_overlap"": false}",True,True,True,True,71b8e60c19f6edcc41c465dd4525a3c5bb2edff5ac59ebcb11505558c501c46c,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
4,80.04,258,88,198,78,217,68.746590725604,66.746590725604,66.746590725604,8.746590725604,6.746590725604,"{""distance_nm"": 68.74659072560358, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.289120570497857, 64.5], ""point_b_nm"": [-21.28912057049786, -4.246590725603583], ""touch_or_overlap"": false}","{""distance_nm"": 66.7465907256036, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.289120570497857, 152.5], ""point_b_nm"": [21.28912057049786, 219.2465907256036], ""touch_or_overlap"": false}","{""distance_nm"": 66.7465907256036, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.289120570497857, 152.5], ""point_b_nm"": [21.28912057049786, 219.2465907256036], ""touch_or_overlap"": false}",True,True,True,True,ddb4eed1c3d53c451cafb78b2239a123dcccd9e2a372844fe5d0d562efaa82ab,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
5,80.05,258,88,198,78,217,68.750307965943,66.750307965943,66.750307965943,8.750307965943,6.750307965943,"{""distance_nm"": 68.75030796594304, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.30731589863629, 64.5], ""point_b_nm"": [-21.30731589863628, -4.250307965943038], ""touch_or_overlap"": false}","{""distance_nm"": 66.75030796594305, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.30731589863629, 152.5], ""point_b_nm"": [21.30731589863628, 219.25030796594305], ""touch_or_overlap"": false}","{""distance_nm"": 66.75030796594305, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.30731589863629, 152.5], ""point_b_nm"": [21.30731589863628, 219.25030796594305], ""touch_or_overlap"": false}",True,True,True,True,e19e052e9b1d0bd024ac47691e7a2624e7b35924b1db5b5b149b87c314ebae88,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
6,80.06,258,88,198,78,217,68.754028381910,66.754028381910,66.754028381910,8.754028381910,6.754028381910,"{""distance_nm"": 68.7540283819097, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.3255105777168, 64.5], ""point_b_nm"": [-21.3255105777168, -4.254028381909701], ""touch_or_overlap"": false}","{""distance_nm"": 66.7540283819097, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.3255105777168, 152.5], ""point_b_nm"": [21.3255105777168, 219.2540283819097], ""touch_or_overlap"": false}","{""distance_nm"": 66.7540283819097, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.3255105777168, 152.5], ""point_b_nm"": [21.3255105777168, 219.2540283819097], ""touch_or_overlap"": false}",True,True,True,True,56924ded24c1946aed5dbded03dd8ae6c1627f61a2d36dd657a3586568bae614,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
7,80.07,258,88,198,78,217,68.757751973390,66.757751973390,66.757751973390,8.757751973390,6.757751973390,"{""distance_nm"": 68.75775197339024, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.34370460718506, 64.5], ""point_b_nm"": [-21.34370460718506, -4.257751973390241], ""touch_or_overlap"": false}","{""distance_nm"": 66.75775197339024, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.34370460718506, 152.5], ""point_b_nm"": [21.34370460718506, 219.25775197339024], ""touch_or_overlap"": false}","{""distance_nm"": 66.75775197339024, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.34370460718506, 152.5], ""point_b_nm"": [21.34370460718506, 219.25775197339024], ""touch_or_overlap"": false}",True,True,True,True,50ce2b408e5a439adb0aa0763df04dd8c26aea8b89bb36e96cf5f902ba7cb4c8,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
8,80.08,258,88,198,78,217,68.761478740271,66.761478740271,66.761478740271,8.761478740271,6.761478740271,"{""distance_nm"": 68.76147874027123, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.36189798648695, 64.5], ""point_b_nm"": [-21.36189798648695, -4.261478740271236], ""touch_or_overlap"": false}","{""distance_nm"": 66.76147874027123, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.36189798648695, 152.5], ""point_b_nm"": [21.36189798648695, 219.26147874027123], ""touch_or_overlap"": false}","{""distance_nm"": 66.76147874027123, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.36189798648695, 152.5], ""point_b_nm"": [21.36189798648695, 219.26147874027123], ""touch_or_overlap"": false}",True,True,True,True,1379e3d5d7ceab40c022626ec5b44bb8cc45c4051af28b1fd4d14a5d6a7f6e6c,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
9,80.09,258,88,198,78,217,68.765208682439,66.765208682439,66.765208682439,8.765208682439,6.765208682439,"{""distance_nm"": 68.76520868243917, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-21.380090715068206, 64.5], ""point_b_nm"": [-21.3800907150682, -4.265208682439166], ""touch_or_overlap"": false}","{""distance_nm"": 66.76520868243915, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.380090715068206, 152.5], ""point_b_nm"": [21.3800907150682, 219.26520868243915], ""touch_or_overlap"": false}","{""distance_nm"": 66.76520868243915, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [21.380090715068206, 152.5], ""point_b_nm"": [21.3800907150682, 219.26520868243915], ""touch_or_overlap"": false}",True,True,True,True,08dde0b21bfb64af9033ff093f3e305e0bf0063603666ec332c203aba3cf3051,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
