sample_index,L1_nm,W1_nm,L2_nm,W2_nm,A1,A2,A_mean,Delta_A,delta_theta_deg,D_nm,theta1_deg,theta2_deg,j1_center_x_nm,j1_center_y_nm,j2_center_x_nm,j2_center_y_nm,height_nm,period_x_nm,period_y_nm,pillar_1_area_nm2,pillar_2_area_nm2,total_footprint_nm2,cell_area_nm2,footprint_fill_fraction,direct_clearance_nm,periodic_image_clearance_nm,periodic_x_clearance_nm,periodic_y_clearance_nm,periodic_diagonal_clearance_nm,global_minimum_clearance_nm,nearest_object_image_pair,cell_containment_pass,overlap_or_touching_pass,minimum_lateral_feature_nm,aspect_ratio_H_over_min_feature,distance_from_i03_6d,geometry_hash_sha256,geometry_hash_recomputed,geometry_hash_recomputed_match,solver_entered,solver_run_called,parent_pool_sample_index
1,254,91,200,79,0.47246376811594204,0.4336917562724014,0.45307776219417173,0.03877201184354062,82.613525391,214,0.0,82.613525391,0.0,107.0,0.0,-107.0,525.0,432.0,432.0,23114,15800,38914,186624.0,0.20851551783264746,64.25166703012842,68.25166703012843,178.0,68.25166703012843,264.8442350771116,64.25166703012842,"{""distance_nm"": 64.25166703012842, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-26.31606112249291, 61.5], ""point_b_nm"": [-26.31606112249291, -2.751667030128413], ""touch_or_overlap"": false}",True,True,79,6.6455696202531644,1.5811633157430192,0791b1baac19211f019fcd42ccdf51d286583f52c5b111abb10a8786fedee152,0791b1baac19211f019fcd42ccdf51d286583f52c5b111abb10a8786fedee152,True,False,False,1
2,259,89,197,78,0.4885057471264368,0.43272727272727274,0.46061650992685477,0.05577847439916406,86.306762695,217,0.0,86.306762695,0.0,108.5,0.0,-108.5,525.0,432.0,432.0,23051,15366,38417,186624.0,0.20585240912208505,71.69239564819996,69.69239564819998,173.0,69.69239564819998,267.86756687604054,69.69239564819998,"{""distance_nm"": 69.69239564819998, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [32.574175428565255, 153.0], ""point_b_nm"": [32.574175428565255, 222.69239564819998], ""touch_or_overlap"": false}",True,True,78,6.730769230769231,1.0091359072944988,78fa5c07850358abe0af59d1cbc31d728c35f21f087583b5d0038d2bc5786381,78fa5c07850358abe0af59d1cbc31d728c35f21f087583b5d0038d2bc5786381,True,False,False,2
18,261,88,197,80,0.49570200573065903,0.4223826714801444,0.4590423386054017,0.07331933425051462,83.075180054,210,0.0,83.075180054,0.0,105.0,0.0,-105.0,525.0,432.0,432.0,22968,15760,38728,186624.0,0.20751886145404663,63.39586194149595,75.39586194149595,171.0,75.39586194149595,263.9886207581374,63.39586194149595,"{""distance_nm"": 63.39586194149595, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-27.832370601000576, 61.0], ""point_b_nm"": [-27.832370601000584, -2.3958619414959514], ""touch_or_overlap"": false}",True,True,80,6.5625,0.9983199609657036,53d9450f610193580494bb7b59aaa938bb8922943634a73ff174ff1e1fa6c8f5,53d9450f610193580494bb7b59aaa938bb8922943634a73ff174ff1e1fa6c8f5,True,False,False,18
22,259,90,202,77,0.48424068767908307,0.44802867383512546,0.4661346807571043,0.03621201384395761,88.615036011,208,0.0,88.615036011,0.0,104.0,0.0,-104.0,525.0,432.0,432.0,23310,15554,38864,186624.0,0.20824759945130317,61.09896706021445,77.09896706021445,173.0,77.09896706021445,273.2281150640426,61.09896706021445,"{""distance_nm"": 61.09896706021445, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-36.04760027803155, 59.0], ""point_b_nm"": [-36.04760027803156, -2.0989670602144463], ""touch_or_overlap"": false}",True,True,77,6.818181818181818,1.8917405921305457,9917ba9e5084b8433cf4712b766e3b6d3aa17a3366ae9cff20ba742495d450db,9917ba9e5084b8433cf4712b766e3b6d3aa17a3366ae9cff20ba742495d450db,True,False,False,22
30,255,87,199,79,0.49122807017543857,0.4316546762589928,0.4614413732172157,0.05957339391644578,82.151870727,211,0.0,82.151870727,0.0,105.5,0.0,-105.5,525.0,432.0,432.0,22185,15721,37906,186624.0,0.20311428326474623,63.53833116398439,73.5383311639844,177.0,73.5383311639844,265.52914267880885,63.53833116398439,"{""distance_nm"": 63.53833116398439, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-25.543519977297976, 62.0], ""point_b_nm"": [-25.54351997729798, -1.538331163984389], ""touch_or_overlap"": false}",True,True,79,6.6455696202531644,1.2633624084841235,80c9cae8f1414d0abc480afafda47c7a7f6653b9ee5d765be148f022c864f558,80c9cae8f1414d0abc480afafda47c7a7f6653b9ee5d765be148f022c864f558,True,False,False,30
42,264,89,194,80,0.49575070821529743,0.41605839416058393,0.4559045511879407,0.0796923140547135,81.921043396,213,0.0,81.921043396,0.0,106.5,0.0,-106.5,525.0,432.0,432.0,23496,15520,39016,186624.0,0.20906207133058985,66.84118755705532,72.84118755705532,168.0,72.84118755705532,260.69721412318046,66.84118755705532,"{""distance_nm"": 66.84118755705532, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-25.97086545901375, 62.0], ""point_b_nm"": [-25.970865459013755, -4.841187557055317], ""touch_or_overlap"": false}",True,True,80,6.5625,0.8615599733724014,46a39f5197655b6b2c9ad75d2f1ae4e2d5c4cd7299a94f2e1026a2778138d99e,46a39f5197655b6b2c9ad75d2f1ae4e2d5c4cd7299a94f2e1026a2778138d99e,True,False,False,42
50,261,91,201,78,0.48295454545454547,0.44086021505376344,0.46190738025415445,0.04209433040078203,85.152626038,218,0.0,85.152626038,0.0,109.0,0.0,-109.0,525.0,432.0,432.0,23751,15678,39429,186624.0,0.21127507716049382,69.06388710893515,65.06388710893515,171.0,65.06388710893515,264.05524572961485,65.06388710893515,"{""distance_nm"": 65.06388710893515, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [30.368084397717467, 154.5], ""point_b_nm"": [30.36808439771746, 219.56388710893515], ""touch_or_overlap"": false}",True,True,78,6.730769230769231,1.461118393749162,b8bad80bb249e4ca9f02445159b203aeee2f37ac31caf89208c94c397950b8b6,b8bad80bb249e4ca9f02445159b203aeee2f37ac31caf89208c94c397950b8b6,True,False,False,50
54,258,87,196,79,0.4956521739130435,0.4254545454545455,0.4605533596837945,0.07019762845849803,86.99924469,219,0.0,86.99924469,0.0,109.5,0.0,-109.5,525.0,432.0,432.0,22446,15484,37930,186624.0,0.2032428840877915,75.56658294301577,69.56658294301576,174.0,69.56658294301576,268.72838550957283,69.56658294301576,"{""distance_nm"": 69.56658294301576, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [34.31562552708098, 153.0], ""point_b_nm"": [34.31562552708099, 222.56658294301576], ""touch_or_overlap"": false}",True,True,79,6.6455696202531644,0.6279852506671002,1a5a50ffebc1ce8997ca8f612044f55e4f7af694aed2c799bfaefaa3cd403e96,1a5a50ffebc1ce8997ca8f612044f55e4f7af694aed2c799bfaefaa3cd403e96,True,False,False,54
66,260,88,201,79,0.4942528735632184,0.4357142857142857,0.46498357963875203,0.05853858784893268,81.113147735,216,0.0,81.113147735,0.0,108.0,0.0,-108.0,525.0,432.0,432.0,22880,15879,38759,186624.0,0.2076849708504801,66.60436307855994,66.60436307855994,172.0,66.60436307855994,259.69518362195697,66.60436307855994,"{""distance_nm"": 66.60436307855994, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.500206763430413, 64.0], ""point_b_nm"": [-23.500206763430413, -2.6043630785599383], ""touch_or_overlap"": false}",True,True,79,6.6455696202531644,1.0981195632583862,85b57762303a951def59b5c434e69853df84c44e4f36246aaf03e9e0fb346fa2,85b57762303a951def59b5c434e69853df84c44e4f36246aaf03e9e0fb346fa2,True,False,False,66
68,252,87,200,77,0.48672566371681414,0.44404332129963897,0.46538449250822655,0.04268234241717517,86.653003693,211,0.0,86.653003693,0.0,105.5,0.0,-105.5,525.0,432.0,432.0,21924,15400,37324,186624.0,0.1999957133058985,65.4228323794413,75.4228323794413,180.0,75.4228323794413,273.65701077129086,65.4228323794413,"{""distance_nm"": 65.4228323794413, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-32.59604041236241, 62.0], ""point_b_nm"": [-32.59604041236242, -3.42283237944131], ""touch_or_overlap"": false}",True,True,77,6.818181818181818,1.69291367557486,3cb290bf14d524d22327cbc6a3a2983a9b98aacb1ee9e0d0c009cf5a8606a148,3cb290bf14d524d22327cbc6a3a2983a9b98aacb1ee9e0d0c009cf5a8606a148,True,False,False,68
