sample_index,L1_nm,W1_nm,L2_nm,W2_nm,D_nm,delta_theta_deg,a1,b1,a2,b2,height_nm,period_x_nm,period_y_nm,theta1_deg,theta2_deg,j1_center_x_nm,j1_center_y_nm,j2_center_x_nm,j2_center_y_nm,minimum_lateral_feature_nm,aspect_ratio_H_over_min_feature,geometry_hash_sha256,polygons_nm,cell_containment_pass,direct_clearance_nm,direct_pair,periodic_image_clearance_nm,periodic_x_clearance_nm,periodic_y_clearance_nm,periodic_diagonal_clearance_nm,periodic_nearest_pair,global_minimum_clearance_nm,global_nearest_pair,overlap_or_touching_pass,periodic_distance_definition,validity_reasons,geometry_valid,raw_normalized,quantized_normalized,geometry_id,role,case_ids,solver_entered,selection_normalized_vector,normalized_distance_to_nearest_selected_neighbor
0,196,85,153,77,170,0.0,0.8521739130434782,0.85,0.85,0.8555555555555555,525.0,432.0,432.0,0.0,0.0,0.0,85.0,0.0,-85.0,77,6.818181818181818,5b4cd23ca1a5e40ff2fa01938f1ec8a0f266d3c912510876f0fcf520fad77289,"{""pillar_1"": [[-98.0, 42.5], [98.0, 42.5], [98.0, 127.5], [-98.0, 127.5]], ""pillar_2"": [[-76.5, -123.5], [76.5, -123.5], [76.5, -46.5], [-76.5, -46.5]]}",True,89.0,"{""distance_nm"": 89.0, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [76.5, 42.5], ""point_b_nm"": [76.5, -46.5], ""touch_or_overlap"": false}",181.0,236.0,181.0,314.7495035738738,"{""distance_nm"": 181.0, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-76.5, 127.5], ""point_b_nm"": [-76.5, 308.5], ""touch_or_overlap"": false}",89.0,"{""distance_nm"": 89.0, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [76.5, 42.5], ""point_b_nm"": [76.5, -46.5], ""touch_or_overlap"": false}",True,"exact segment-to-segment polygon distance for all pillar/image pairs in translations {-Px,0,+Px}x{-Py,0,+Py}; no cell-boundary margin substitution",[],True,"[0.85, 0.85, 0.85, 0.85, 0.0, 170.0]","[0.8521739130434782, 0.85, 0.85, 0.8555555555555555, 0.0, 170.0]",AF02,INITIAL,"[""AF02_x"", ""AF02_y""]",False,"[0.007246376811594163, 0.0, 0.0, 0.01851851851851846, 0.0, 0.0]",1.2731600293623127
2,247,93,167,83,208,67.5,1.0739130434782609,0.93,0.9277777777777778,0.9222222222222223,525.0,432.0,432.0,0.0,67.5,0.0,104.0,0.0,-104.0,83,6.325301204819277,16420bf458e8faf5ad15551d60b53dbda533260ec7bb340d48a28cb1d26818f3,"{""pillar_1"": [[-123.5, 57.5], [123.5, 57.5], [123.5, 150.5], [-123.5, 150.5]], ""pillar_2"": [[6.386933996733397, -197.02530340784367], [70.2950672017034, -42.737421478458785], [-6.386933996733397, -10.974696592156324], [-70.2950672017034, -165.2625785215412]]}",True,68.47469659215632,"{""distance_nm"": 68.47469659215632, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-6.386933996733404, 57.5], ""point_b_nm"": [-6.386933996733397, -10.974696592156324], ""touch_or_overlap"": false}",84.47469659215633,185.0,84.47469659215633,265.0523121223466,"{""distance_nm"": 84.47469659215633, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [6.386933996733404, 150.5], ""point_b_nm"": [6.386933996733397, 234.97469659215633], ""touch_or_overlap"": false}",68.47469659215632,"{""distance_nm"": 68.47469659215632, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-6.386933996733404, 57.5], ""point_b_nm"": [-6.386933996733397, -10.974696592156324], ""touch_or_overlap"": false}",True,"exact segment-to-segment polygon distance for all pillar/image pairs in translations {-Px,0,+Px}x{-Py,0,+Py}; no cell-boundary margin substitution",[],True,"[1.075, 0.9249999999999999, 0.9249999999999999, 0.9249999999999999, 67.5, 207.5]","[1.0739130434782609, 0.93, 0.9277777777777778, 0.9222222222222223, 67.5, 208.0]",,,,,,
6,239,89,200,93,214,56.25,1.0391304347826087,0.89,1.1111111111111112,1.0333333333333334,525.0,432.0,432.0,0.0,56.25,0.0,107.0,0.0,-107.0,89,5.898876404494382,fcd3f12140baf170a7f014c00948a1d3490f4342c3332350754ca5a31c64de37,"{""pillar_1"": [[-119.5, 62.5], [119.5, 62.5], [119.5, 151.5], [-119.5, 151.5]], ""pillar_2"": [[-16.893686329891878, -215.98097706566602], [94.22036027402858, -49.68705460515699], [16.893686329891878, 1.9809770656660248], [-94.22036027402858, -164.31294539484304]]}",True,60.519022934333975,"{""distance_nm"": 60.519022934333975, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [16.893686329891892, 62.5], ""point_b_nm"": [16.893686329891878, 1.9809770656660248], ""touch_or_overlap"": false}",64.51902293433398,193.0,64.51902293433398,247.2760254790618,"{""distance_nm"": 64.51902293433398, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-16.893686329891892, 151.5], ""point_b_nm"": [-16.893686329891878, 216.01902293433398], ""touch_or_overlap"": false}",60.519022934333975,"{""distance_nm"": 60.519022934333975, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [16.893686329891892, 62.5], ""point_b_nm"": [16.893686329891878, 1.9809770656660248], ""touch_or_overlap"": false}",True,"exact segment-to-segment polygon distance for all pillar/image pairs in translations {-Px,0,+Px}x{-Py,0,+Py}; no cell-boundary margin substitution",[],True,"[1.0374999999999999, 0.8875, 1.1124999999999998, 1.0374999999999999, 56.25, 213.75]","[1.0391304347826087, 0.89, 1.1111111111111112, 1.0333333333333334, 56.25, 214.0]",,,,,,
7,204,104,173,80,189,11.25,0.8869565217391304,1.04,0.9611111111111111,0.8888888888888888,525.0,432.0,432.0,0.0,11.25,0.0,94.5,0.0,-94.5,80,6.5625,9eca05fde8a391082038b9f7778a07b769ef3b0cef3d5adbef5bb9c25a0094df,"{""pillar_1"": [[-102.0, 42.5], [102.0, 42.5], [102.0, 146.5], [-102.0, 146.5]], ""pillar_2"": [[-77.0343138742343, -150.6067240705243], [92.64153963552457, -116.85609836173413], [77.0343138742343, -38.39327592947569], [-92.64153963552457, -72.14390163826587]]}",True,80.89327592947569,"{""distance_nm"": 80.89327592947569, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [77.0343138742343, 42.5], ""point_b_nm"": [77.0343138742343, -38.39327592947569], ""touch_or_overlap"": false}",134.8932759294757,228.0,134.8932759294757,286.6842064852284,"{""distance_nm"": 134.8932759294757, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-77.0343138742343, 146.5], ""point_b_nm"": [-77.0343138742343, 281.3932759294757], ""touch_or_overlap"": false}",80.89327592947569,"{""distance_nm"": 80.89327592947569, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [77.0343138742343, 42.5], ""point_b_nm"": [77.0343138742343, -38.39327592947569], ""touch_or_overlap"": false}",True,"exact segment-to-segment polygon distance for all pillar/image pairs in translations {-Px,0,+Px}x{-Py,0,+Py}; no cell-boundary margin substitution",[],True,"[0.8875, 1.0374999999999999, 0.9624999999999999, 0.8875, 11.25, 188.75]","[0.8869565217391304, 1.04, 0.9611111111111111, 0.8888888888888888, 11.25, 189.0]",,,,,,
9,243,109,177,102,211,5.625,1.0565217391304347,1.09,0.9833333333333333,1.1333333333333333,525.0,432.0,432.0,0.0,5.625,0.0,105.5,0.0,-105.5,102,5.147058823529412,3e48471476e9e1bf137c9cdffe907bb8ac25e5ade1cf0a68be8e3fb573bf5b5f,"{""pillar_1"": [[-121.5, 51.0], [121.5, 51.0], [121.5, 160.0], [-121.5, 160.0]], ""pillar_2"": [[-83.07497415368184, -164.92893797944816], [93.07272246729701, -147.57990414111595], [83.07497415368184, -46.07106202055185], [-93.07272246729701, -63.42009585888407]]}",True,97.07106202055185,"{""distance_nm"": 97.07106202055185, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [83.07497415368184, 51.0], ""point_b_nm"": [83.07497415368184, -46.07106202055185], ""touch_or_overlap"": false}",107.07106202055184,189.0,107.07106202055184,250.5094434723309,"{""distance_nm"": 107.07106202055184, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-83.07497415368184, 160.0], ""point_b_nm"": [-83.07497415368184, 267.07106202055184], ""touch_or_overlap"": false}",97.07106202055185,"{""distance_nm"": 97.07106202055185, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [83.07497415368184, 51.0], ""point_b_nm"": [83.07497415368184, -46.07106202055185], ""touch_or_overlap"": false}",True,"exact segment-to-segment polygon distance for all pillar/image pairs in translations {-Px,0,+Px}x{-Py,0,+Py}; no cell-boundary margin substitution",[],True,"[1.05625, 1.09375, 0.98125, 1.1312499999999999, 5.625, 210.625]","[1.0565217391304347, 1.09, 0.9833333333333333, 1.1333333333333333, 5.625, 211.0]",,,,,,
10,260,87,190,82,198,28.125,1.1304347826086956,0.87,1.0555555555555556,0.9111111111111111,525.0,432.0,432.0,0.0,28.125,0.0,99.0,0.0,-99.0,82,6.402439024390244,76863e4737c577018d0ba4f370d31e165ba30bda1c80478092f9463b1f0cdbc9,"{""pillar_1"": [[-130.0, 55.5], [130.0, 55.5], [130.0, 142.5], [-130.0, 142.5]], ""pillar_2"": [[-64.45525390322783, -179.94146183675232], [103.10978632295962, -90.37608183981277], [64.45525390322783, -18.05853816324767], [-103.10978632295962, -107.62391816018723]]}",True,73.55853816324768,"{""distance_nm"": 73.55853816324768, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [64.45525390322786, 55.5], ""point_b_nm"": [64.45525390322783, -18.05853816324767], ""touch_or_overlap"": false}",109.55853816324768,172.0,109.55853816324768,261.14130019855577,"{""distance_nm"": 109.55853816324768, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-64.45525390322786, 142.5], ""point_b_nm"": [-64.45525390322783, 252.05853816324768], ""touch_or_overlap"": false}",73.55853816324768,"{""distance_nm"": 73.55853816324768, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [64.45525390322786, 55.5], ""point_b_nm"": [64.45525390322783, -18.05853816324767], ""touch_or_overlap"": false}",True,"exact segment-to-segment polygon distance for all pillar/image pairs in translations {-Px,0,+Px}x{-Py,0,+Py}; no cell-boundary margin substitution",[],True,"[1.1312499999999999, 0.86875, 1.05625, 0.90625, 28.125, 198.125]","[1.1304347826086956, 0.87, 1.0555555555555556, 0.9111111111111111, 28.125, 198.0]",,,,,,
13,252,106,197,78,217,39.375,1.0956521739130434,1.06,1.0944444444444446,0.8666666666666667,525.0,432.0,432.0,0.0,39.375,0.0,108.5,0.0,-108.5,78,6.730769230769231,f1e4f4e531aa5c6d4b8acf7ac3b9c391bd5286a446915dfb90ce4eeb9ad89ae4,"{""pillar_1"": [[-126.0, 55.5], [126.0, 55.5], [126.0, 161.5], [-126.0, 161.5]], ""pillar_2"": [[-51.40019157384742, -201.13514617126583], [100.88286773861176, -76.15966919102766], [51.40019157384742, -15.86485382873418], [-100.88286773861176, -140.84033080897234]]}",True,71.36485382873418,"{""distance_nm"": 71.36485382873418, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [51.400191573847394, 55.5], ""point_b_nm"": [51.40019157384742, -15.86485382873418], ""touch_or_overlap"": false}",69.36485382873417,180.0,69.36485382873417,242.66163224099225,"{""distance_nm"": 69.36485382873417, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-51.400191573847394, 161.5], ""point_b_nm"": [-51.40019157384742, 230.86485382873417], ""touch_or_overlap"": false}",69.36485382873417,"{""distance_nm"": 69.36485382873417, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-51.400191573847394, 161.5], ""point_b_nm"": [-51.40019157384742, 230.86485382873417], ""touch_or_overlap"": false}",True,"exact segment-to-segment polygon distance for all pillar/image pairs in translations {-Px,0,+Px}x{-Py,0,+Py}; no cell-boundary margin substitution",[],True,"[1.09375, 1.05625, 1.09375, 0.86875, 39.375, 216.875]","[1.0956521739130434, 1.06, 1.0944444444444446, 0.8666666666666667, 39.375, 217.0]",,,,,,
14,234,98,156,98,204,16.875,1.017391304347826,0.98,0.8666666666666667,1.0888888888888888,525.0,432.0,432.0,0.0,16.875,0.0,102.0,0.0,-102.0,98,5.357142857142857,4df7feabe9a152af5082a31c256aa40669fe43f82ad7a059f5f5d014c1e61e78,"{""pillar_1"": [[-117.0, 53.0], [117.0, 53.0], [117.0, 151.0], [-117.0, 151.0]], ""pillar_2"": [[-60.417397001643636, -171.5322812767263], [88.86529537258095, -126.24787162503017], [60.417397001643636, -32.4677187232737], [-88.86529537258095, -77.75212837496983]]}",True,85.46771872327369,"{""distance_nm"": 85.46771872327369, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [60.41739700164359, 53.0], ""point_b_nm"": [60.417397001643636, -32.4677187232737], ""touch_or_overlap"": false}",109.46771872327369,198.0,109.46771872327369,274.0166525478209,"{""distance_nm"": 109.46771872327369, ""image_shift"": [0, -1], ""object_a"": ""pillar_2"", ""object_b"": ""pillar_1"", ""point_a_nm"": [-60.417397001643636, -171.5322812767263], ""point_b_nm"": [-60.41739700164359, -281.0], ""touch_or_overlap"": false}",85.46771872327369,"{""distance_nm"": 85.46771872327369, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [60.41739700164359, 53.0], ""point_b_nm"": [60.417397001643636, -32.4677187232737], ""touch_or_overlap"": false}",True,"exact segment-to-segment polygon distance for all pillar/image pairs in translations {-Px,0,+Px}x{-Py,0,+Py}; no cell-boundary margin substitution",[],True,"[1.0187499999999998, 0.98125, 0.86875, 1.09375, 16.875, 204.375]","[1.017391304347826, 0.98, 0.8666666666666667, 1.0888888888888888, 16.875, 204.0]",,,,,,
16,202,99,178,94,218,25.3125,0.8782608695652174,0.99,0.9888888888888889,1.0444444444444445,525.0,432.0,432.0,0.0,25.3125,0.0,109.0,0.0,-109.0,94,5.585106382978723,3719b244e291720423bd99bb6fe175c4bcd328a407f1fc4a8ca13edacd79ede5,"{""pillar_1"": [[-101.0, 59.5], [101.0, 59.5], [101.0, 158.5], [-101.0, 158.5]], ""pillar_2"": [[-60.3599576967632, -189.53990009209696], [100.55013647920971, -113.43509346150672], [60.3599576967632, -28.460099907903057], [-100.55013647920971, -104.56490653849329]]}",True,87.96009990790306,"{""distance_nm"": 87.96009990790306, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [60.35995769676322, 59.5], ""point_b_nm"": [60.3599576967632, -28.460099907903057], ""touch_or_overlap"": false}",83.96009990790304,230.0,83.96009990790304,280.55326889314114,"{""distance_nm"": 83.96009990790304, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-60.35995769676322, 158.5], ""point_b_nm"": [-60.3599576967632, 242.46009990790304], ""touch_or_overlap"": false}",83.96009990790304,"{""distance_nm"": 83.96009990790304, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-60.35995769676322, 158.5], ""point_b_nm"": [-60.3599576967632, 242.46009990790304], ""touch_or_overlap"": false}",True,"exact segment-to-segment polygon distance for all pillar/image pairs in translations {-Px,0,+Px}x{-Py,0,+Py}; no cell-boundary margin substitution",[],True,"[0.8781249999999999, 0.990625, 0.990625, 1.046875, 25.3125, 218.4375]","[0.8782608695652174, 0.99, 0.9888888888888889, 1.0444444444444445, 25.3125, 218.0]",,,,,,
19,219,107,192,87,206,2.8125,0.9521739130434783,1.07,1.0666666666666667,0.9666666666666667,525.0,432.0,432.0,0.0,2.8125,0.0,103.0,0.0,-103.0,87,6.0344827586206895,5f47cfbf6f775384a7ce44010b6d88269080bd74998fb825722d3e7c12b24e2e,"{""pillar_1"": [[-109.5, 49.5], [109.5, 49.5], [109.5, 156.5], [-109.5, 156.5]], ""pillar_2"": [[-93.74991996245386, -151.15809908035715], [98.01880762893923, -141.73710560949286], [93.74991996245386, -54.84190091964287], [-98.01880762893923, -64.26289439050713]]}",True,104.34190091964287,"{""distance_nm"": 104.34190091964287, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [93.74991996245387, 49.5], ""point_b_nm"": [93.74991996245386, -54.84190091964287], ""touch_or_overlap"": false}",124.34190091964285,213.0,124.34190091964285,260.36034152976146,"{""distance_nm"": 124.34190091964285, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-93.74991996245387, 156.5], ""point_b_nm"": [-93.74991996245386, 280.84190091964285], ""touch_or_overlap"": false}",104.34190091964287,"{""distance_nm"": 104.34190091964287, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [93.74991996245387, 49.5], ""point_b_nm"": [93.74991996245386, -54.84190091964287], ""touch_or_overlap"": false}",True,"exact segment-to-segment polygon distance for all pillar/image pairs in translations {-Px,0,+Px}x{-Py,0,+Py}; no cell-boundary margin substitution",[],True,"[0.953125, 1.0656249999999998, 1.0656249999999998, 0.9718749999999999, 2.8125, 205.9375]","[0.9521739130434783, 1.07, 1.0666666666666667, 0.9666666666666667, 2.8125, 206.0]",,,,,,
