geometry_a,geometry_b,normalized_6d_distance
AF01,AF02,1.2950092580519654
AF01,AF03,1.2537652550732081
AF01,AF04,1.1315485862061962
AF01,AF05,1.0897146516198681
AF01,AF06,1.0258166777752158
AF01,AF07,1.0040033352452618
AF01,AF08,0.9955444214213705
AF02,AF03,1.4978585278801637
AF02,AF04,1.2731600293623127
AF02,AF05,1.3893663244865764
AF02,AF06,1.8690714878436012
AF02,AF07,1.5265993713685377
AF02,AF08,2.0935493709351864
AF03,AF04,1.1797482873961886
AF03,AF05,1.0316780166967712
AF03,AF06,1.4983718258993401
AF03,AF07,1.1094134575949617
AF03,AF08,1.3444606240688937
AF04,AF05,1.1891630498605232
AF04,AF06,1.5671529662037407
AF04,AF07,1.3595597608660883
AF04,AF08,1.3674803862014946
AF05,AF06,1.582046316578915
AF05,AF07,1.3983041085830357
AF05,AF08,1.3137486438723558
AF06,AF07,1.7964801081719852
AF06,AF08,1.3833658237435735
AF07,AF08,1.1722673453168106
