attempt,polarization,monitor,index,frequency_hz,actual_wavelength_nm,assumed_wavelength_nm,assumed_minus_actual_nm,formal_actual_match
BF08_attempt_001,x,T,0,697191762790697.6,430.0,430.0,0.0,False
BF08_attempt_001,x,T,1,695574148491879.4,431.0,431.0,0.0,False
BF08_attempt_001,x,T,2,693964023148148.1,432.0,432.0,0.0,False
BF08_attempt_001,x,T,3,692361334872979.2,433.0,433.0,0.0,False
BF08_attempt_001,x,T,4,690766032258064.5,434.0,434.0,0.0,False
BF08_attempt_001,x,T,5,689178064367816.0,435.00000000000006,435.0,-5.684341886080802e-14,True
BF08_attempt_001,x,T,6,687597380733944.9,436.00000000000006,436.0,-5.684341886080802e-14,True
BF08_attempt_001,x,T,7,686023931350114.4,437.0,437.0,0.0,True
BF08_attempt_001,x,T,8,684457666666666.6,438.00000000000006,438.0,-5.684341886080802e-14,True
BF08_attempt_001,x,T,9,682898537585421.5,438.99999999999994,439.0,5.684341886080802e-14,True
BF08_attempt_001,x,T,10,681346495454545.4,440.00000000000006,440.0,-5.684341886080802e-14,True
BF08_attempt_001,x,T,11,679801492063492.1,440.99999999999994,441.0,5.684341886080802e-14,True
BF08_attempt_001,x,T,12,678263479638009.0,442.0,442.0,0.0,True
BF08_attempt_001,x,T,13,676732410835214.5,443.0,443.0,0.0,True
BF08_attempt_001,x,T,14,675208238738738.8,444.0,444.0,0.0,True
BF08_attempt_001,x,T,15,673690916853932.5,445.00000000000006,445.0,-5.684341886080802e-14,True
BF08_attempt_001,x,T,16,672180399103139.1,445.99999999999994,446.0,5.684341886080802e-14,True
BF08_attempt_001,x,T,17,670676639821029.0,447.00000000000006,447.0,-5.684341886080802e-14,True
BF08_attempt_001,x,T,18,669179593750000.0,448.0,448.0,0.0,True
BF08_attempt_001,x,T,19,667689216035634.8,449.0,449.0,0.0,True
BF08_attempt_001,x,T,20,666205462222222.1,450.0000000000001,450.0,-1.1368683772161603e-13,True
BF08_attempt_001,x,T,21,664728288248337.1,450.99999999999994,451.0,5.684341886080802e-14,True
