comparison,baseline,target,metric,baseline_value,target_value,absolute_delta,relative_percent_change
IAR4_vs_I03,I03,IAR4,pair_DoLP,0.037876844117608964,0.05357583763829356,0.015698993520684594,41.4474697837514
IAR4_vs_I03,I03,IAR4,C_source,0.08854257161559786,0.1271278142890803,0.03858524267348243,43.578181624312755
IAR4_vs_I03,I03,IAR4,C_angular,0.08612761641165362,0.10519642518941018,0.01906880877775656,22.140179389866905
IAR4_vs_I03,I03,IAR4,upward_source_normalized_power_pair,0.007392921999601864,0.007393072471433242,1.5047183137776449e-07,0.0020353499115216955
IAR4_vs_I03,I03,IAR4,useful_LP_axisfree,1.8930400316598552,1.9382879676128872,0.045247935953032004,2.390226048910213
IAR4_vs_I03,I03,IAR4,P_LP_over_S0,0.5189384220588045,0.5267879188191468,0.0078494967603423,1.512606588119008
IAR-C2_vs_IAR4,IAR4,IAR-C2,pair_DoLP,0.05357583763829356,0.05600966931862566,0.0024338316803321006,4.542778587548408
IAR-C2_vs_IAR4,IAR4,IAR-C2,C_source,0.1271278142890803,0.1351456237312985,0.008017809442218193,6.306888454784743
IAR-C2_vs_IAR4,IAR4,IAR-C2,C_angular,0.10519642518941018,0.11234041616696946,0.007143990977559286,6.791096717113969
IAR-C2_vs_IAR4,IAR4,IAR-C2,upward_source_normalized_power_pair,0.007393072471433242,0.00741511779393364,2.2045322500397965e-05,0.2981889138187252
IAR-C2_vs_IAR4,IAR4,IAR-C2,useful_LP_axisfree,1.9382879676128872,1.9307222273499556,-0.007565740262931664,-0.39033107512137666
IAR-C2_vs_IAR4,IAR4,IAR-C2,P_LP_over_S0,0.5267879188191468,0.5280048346593128,0.001216915840166033,0.23100678597449312
IAR-C2-OC80_vs_IAR-C2,IAR-C2,IAR-C2-OC80,pair_DoLP,0.05600966931862566,0.06311605829309251,0.007106388974466853,12.687789556550138
IAR-C2-OC80_vs_IAR-C2,IAR-C2,IAR-C2-OC80,C_source,0.1351456237312985,0.15779717827861017,0.022651554547311686,16.760849461428617
IAR-C2-OC80_vs_IAR-C2,IAR-C2,IAR-C2-OC80,C_angular,0.11234041616696946,0.11063189965254655,-0.0017085165144229142,-1.5208386907554072
IAR-C2-OC80_vs_IAR-C2,IAR-C2,IAR-C2-OC80,upward_source_normalized_power_pair,0.00741511779393364,0.007426853480693007,1.1735686759366953e-05,0.15826703075395512
IAR-C2-OC80_vs_IAR-C2,IAR-C2,IAR-C2-OC80,useful_LP_axisfree,1.9307222273499556,1.9502723797637547,0.019550152413799093,1.0125823454486758
IAR-C2-OC80_vs_IAR-C2,IAR-C2,IAR-C2-OC80,P_LP_over_S0,0.5280048346593128,0.5315580291465463,0.0035531944872334575,0.6729473394928482
IAR-C2-OC80_vs_IAR4,IAR4,IAR-C2-OC80,pair_DoLP,0.05357583763829356,0.06311605829309251,0.009540220654798953,17.80694633130671
IAR-C2-OC80_vs_IAR4,IAR4,IAR-C2-OC80,C_source,0.1271278142890803,0.15779717827861017,0.03066936398952988,24.124825995820053
IAR-C2-OC80_vs_IAR4,IAR4,IAR-C2-OC80,C_angular,0.10519642518941018,0.11063189965254655,0.005435474463136372,5.166976399958071
IAR-C2-OC80_vs_IAR4,IAR4,IAR-C2-OC80,upward_source_normalized_power_pair,0.007393072471433242,0.007426853480693007,3.378100925976492e-05,0.4569278793126187
IAR-C2-OC80_vs_IAR4,IAR4,IAR-C2-OC80,useful_LP_axisfree,1.9382879676128872,1.9502723797637547,0.01198441215086743,0.61829884677182
IAR-C2-OC80_vs_IAR4,IAR4,IAR-C2-OC80,P_LP_over_S0,0.5267879188191468,0.5315580291465463,0.0047701103273994905,0.9055086794876046
IAR-C2-OC80_vs_I03,I03,IAR-C2-OC80,pair_DoLP,0.037876844117608964,0.06311605829309251,0.025239214175483547,66.63494481513528
IAR-C2-OC80_vs_I03,I03,IAR-C2-OC80,C_source,0.08854257161559786,0.15779717827861017,0.06925460666301231,78.21616810914068
IAR-C2-OC80_vs_I03,I03,IAR-C2-OC80,C_angular,0.08612761641165362,0.11063189965254655,0.024504283240892932,28.451133633807782
IAR-C2-OC80_vs_I03,I03,IAR-C2-OC80,upward_source_normalized_power_pair,0.007392921999601864,0.007426853480693007,3.393148109114268e-05,0.45897252930532767
IAR-C2-OC80_vs_I03,I03,IAR-C2-OC80,useful_LP_axisfree,1.8930400316598552,1.9502723797637547,0.05723234810389943,3.0233036357776846
IAR-C2-OC80_vs_I03,I03,IAR-C2-OC80,P_LP_over_S0,0.5189384220588045,0.5315580291465463,0.012619607087741791,2.4318120515485315
