"stage_id","status","solver_entered","accepted","rejected_or_quarantined","replay_count","main_report","main_artifact","conclusion","current_relevance","superseded","paper_a_relevance"
"H500_OLD_5D","ARCHIVED_SCOPE_LIMITED","historical","historical","see report","see provenance","reports/lp_5d_phase_reachability_probe_v1.md","reports/stage_h0_global_h/lp_global_h_h0_summary.md","LEVEL_3_5D_PHASE_LEVERAGE_INSUFFICIENT","scope reference only","false","historical diagnostic"
"H1A_GLOBAL_H","COMPLETE_ANALYSIS","48","48","0","0 truly-entered replays","reports/stage_h1a_global_h/stage_h1a_global_h_report.md","reports/stage_h1a_global_h/stage_h1a_global_h_final.json","H1A_GEOMETRY_DEPENDENT_H_RESPONSE_OBSERVED","cross-H evidence","false","inventory only"
"H1B0","COMPLETE_OFFLINE_ZERO_SOLVER","0","0","0","0","reports/stage_h1b0_global_h/h1b0_summary.md","reports/stage_h1b0_global_h/h1b0_fixed_h_ranking.csv","H550 historical local ranking, not coupled optimum","historical H ranking","scoped by closeout","inventory only"
"H1B1","COMPLETE_ANALYSIS","10","10","0","0","reports/stage_h1b1_global_h/h1b1_summary.md","reports/stage_h1b1_global_h/h1b1_final.json","H1B1_TARGETED_EXPANSION_IMPROVED_BUT_BELOW_60","H550 local evidence","false","possible dimer reuse evidence"
"H1B2","COMPLETE_ANALYSIS","10","10","0","0","reports/stage_h1b2_global_h/h1b2_summary.md","reports/stage_h1b2_global_h/h1b2_final.json","H1B2_CONTINUED_IMPROVEMENT_BELOW_60","H550 local evidence","false","possible dimer reuse evidence"
"H1B3","COMPLETE_ANALYSIS","8","8","0","0","reports/stage_h1b3_global_h/h1b3_summary.md","reports/stage_h1b3_global_h/h1b3_final.json","H1B3_FINAL_REFINEMENT_IMPROVED_BUT_BELOW_60","H550 local evidence","false","possible dimer reuse evidence"
"H1C0","ZERO_SOLVER_READINESS","0","0","0","0","reports/stage_h1c0_broadband_global/h1c0_summary.md","reports/stage_h1c0_broadband_global/h1c0_broadband_contract.json","broadband global search not authorized","archive","false","broadband contract reference"
"H1C1A","PARTIAL_DATA_PRESERVED","48","45","3","0","reports/stage_h1c1a_broadband_global/h1c1a_summary.md","reports/stage_h1c1a_broadband_global/h1c1a_final.json","CENTER_ONLY_COMPATIBLE","H550 broadband local evidence","false","dimer reuse inventory"
"H1C1B0","READ_ONLY_COMPLETE","0","0","0","0","reports/stage_h1c1b0_broadband_attribution/h1c1b0_summary.md","reports/stage_h1c1b0_broadband_attribution/h1c1b0_ml_registry_audit.json","broadband failure attribution","archive","false","diagnostic"
"H1C1B1","READ_ONLY_CLOSURE","0","0","0","0","reports/stage_h1c1b1_sixbin_closure/h1c1b1_summary.md","reports/stage_h1c1b1_sixbin_closure/h1c1b1_ml_registry_audit.json","phase clustered","archive","false","not champion evidence"
"H1C1B","PARTIAL_DATA_PRESERVED","48","45","3","0","reports/stage_h1c1b_broadband_adaptive/h1c1b_summary.md","reports/stage_h1c1b_broadband_adaptive/h1c1b_ml_registry_audit.json","H1C1B_INCONCLUSIVE","archive","false","broadband evidence"
"H1C1C","EXECUTION_COMPLETE","20","20","0","0","reports/stage_h1c1c_phase_gap/h1c1c_summary.md","reports/stage_h1c1c_phase_gap/h1c1c_ml_registry_audit.json","phase-gap closure","archive","false","broadband evidence"
"H1D0","DECISION_ARCHIVED","0","0","0","0","reports/stage_h1d0_phase_mechanism_decision","reports/stage_h1d0_phase_mechanism_decision/h1d0_dataset_reuse_audit.json","pure-detour mechanism decision","archive","false","diagnostic"
"H1D1","COMPLETE","2","2","0","0","reports/stage_h1d1_detour_feasibility/h1d1_summary.md","reports/stage_h1d1_detour_feasibility/h1d1_final.json","PURE_DETOUR_LAYOUT_HAS_NO_PHYSICAL_SUPERCELL_MODULATION","frozen negative","false","not useful"
"H1D2","FORENSIC_ARCHIVED","0","0","0","0","reports/stage_h1d2_structure_factor_forensic","reports/stage_h1d2_structure_factor_forensic","structure-factor forensic","archive","false","diagnostic"
"H1E1","PARTIAL_EVIDENCE_PRESERVED","16","15","1","0","reports/stage_h1e1_j1_anisotropy/h1e1_summary.md","reports/stage_h1e1_j1_anisotropy/h1e1_final.json","J1 anisotropy local lever","frozen local evidence","false","possible dimer reuse"
"H1E2","AUDIT_ZERO_SOLVER","0","0","0","0","reports/stage_h1e2_j1_anisotropy_attribution","reports/stage_h1e2_j1_anisotropy_attribution/h1e2_registry_audit.json","J1 strict lever within cluster","archive","false","diagnostic"
"H1E3A","AUDIT_ARCHIVED","0","0","0","0","reports/stage_h1e3a_j1_rotation_audit","reports/stage_h1e3a_j1_rotation_audit","J1_ROTATION_PROJECTOR_RISK_DOMINANT","frozen negative","false","avoid"
"H1E3C","COMPLETE","16","16","0","0","reports/stage_h1e3c_j2_decoupling_probe/h1e3c_summary.md","reports/stage_h1e3c_j2_decoupling_probe/h1e3c_registry_audit.json","J2_DECOUPLING_PHASE_LEVER_BREAKS_SELECTIVITY","frozen negative","false","avoid"
