wavelength_nm,bin_deg,candidate_id,dimer_case_id,fdtd_status,t_xx_amplitude,t_xx_phase_deg,t_yy_leakage_amplitude_or_power,t_yy_amp,t_yy_power,t_xy_cross_leakage,t_yx_cross_leakage,selected_channel_phase_deg,selected_channel_phase_error_deg,nearest_bin_deg,conversion_to_leakage_ratio,Tx,target_conversion,blocked_y_total_leakage,matrix_error,geometry_legal,minimum_clearance_nm,result_csv,source_file,x_result_csv,y_result_csv,notes,phase_error_to_bin_deg
449,0,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL449NM,ok,1.000371,2.188354,0.059339,0.059339,0.003521,0.029157,0.001609,2.188354,2.188354,0,228.941257,1.000742,1.000742,0.004371,0.066112,true,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL449NM\H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL449NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL449NM\H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL449NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,2.188354
451,0,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL451NM,ok,0.991348,-13.727239,0.017575,0.017575,0.000309,0.001937,0.002573,346.272761,13.727239,0,3143.358004,0.982771,0.982771,0.000313,0.018045,true,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL451NM\H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL451NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL451NM\H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL451NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,13.727239
449,60,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL449NM,ok,0.995628,74.334458,0.095248,0.095248,0.009072,0.000000,0.000000,74.334458,14.334458,60,109.266450,0.991275,0.991275,0.009072,0.095665,true,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL449NM\H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL449NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL449NM\H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL449NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,14.334458
451,60,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL451NM,ok,0.991506,56.990416,0.182792,0.182792,0.033413,0.000000,0.000000,56.990416,3.009584,60,29.422172,0.983085,0.983085,0.033413,0.184358,true,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL451NM\H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL451NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL451NM\H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL451NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,3.009584
449,120,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2C_004_B120_x_pair_swap_G60_O-20_WL449NM,ok,0.974191,-15.013858,0.277171,0.277171,0.076824,0.022828,0.001457,344.986142,135.013858,0,12.270319,0.949048,0.949048,0.077345,0.285481,true,60.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv,D:\project\blue_apcd_microled_metasurface\outputs\blue10k6_lp_apcd_stage11_2c_h500_dimer_alt_pairs\h500_dimer_alt_patch_plan_stage11_2c.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_WL449NM\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_WL449NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_WL449NM\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_WL449NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,135.013858
451,120,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2C_004_B120_x_pair_swap_G60_O-20_WL451NM,ok,0.932965,18.075289,0.402311,0.402311,0.161854,0.010982,0.001857,18.075289,101.924711,0,5.373816,0.870425,0.870425,0.161975,0.431382,true,60.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv,D:\project\blue_apcd_microled_metasurface\outputs\blue10k6_lp_apcd_stage11_2c_h500_dimer_alt_pairs\h500_dimer_alt_patch_plan_stage11_2c.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_WL451NM\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_WL451NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_WL451NM\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_WL451NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,101.924711
449,180,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL449NM,ok,0.980016,174.374026,0.272077,0.272077,0.074026,0.002471,0.007127,174.374026,5.625974,180,12.973181,0.960432,0.960432,0.074032,0.277732,true,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL449NM\H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL449NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL449NM\H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL449NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,5.625974
451,180,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL451NM,ok,0.884719,-147.435598,0.299270,0.299270,0.089563,0.003728,0.013101,212.564402,32.564402,240,8.738091,0.782728,0.782728,0.089577,0.338617,true,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL451NM\H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL451NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL451NM\H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL451NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,32.564402
449,240,H500DIMER2F_026_B240_x_pair_swap_G90_O-28,H500DIMER2F_026_B240_x_pair_swap_G90_O-28_WL449NM,ok,0.953629,-155.736993,0.284042,0.284042,0.080680,0.000421,0.001991,204.263007,35.736993,180,11.271773,0.909409,0.909409,0.080680,0.297861,true,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_WL449NM\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_WL449NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_WL449NM\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_WL449NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,35.736993
451,240,H500DIMER2F_026_B240_x_pair_swap_G90_O-28,H500DIMER2F_026_B240_x_pair_swap_G90_O-28_WL451NM,ok,0.623534,-138.298063,0.321567,0.321567,0.103405,0.000737,0.000656,221.701937,18.298063,240,3.759887,0.388795,0.388795,0.103406,0.515718,true,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_WL451NM\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_WL451NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_fdtd_tmp\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_WL451NM\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_WL451NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,18.298063
