target_bin_deg,candidate_id,case_count,complete_449_450_451,worst_ratio,worst_Tx,worst_matrix_error,max_abs_phase_error_to_target,min_score,rescue_candidate,failed_gate
120,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,3,True,20.160105,0.906126,0.222716,22.959239,21.507805,true,
120,H500DIMER2H_007_B120_y_pair_noswap_G24_O-30,3,True,13.994380,0.896346,0.267314,23.791488,15.226530,true,
120,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,3,True,34.236290,0.920320,0.170905,25.308988,35.560896,false,phase
120,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,3,True,4.500509,0.505731,0.471386,135.013858,-1.204377,false,ratio;phase
240,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,3,True,4.201513,0.433866,0.487862,40.890228,2.970738,false,ratio;Tx;phase
240,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,3,True,3.778578,0.391807,0.514442,31.324397,2.873337,false,ratio;Tx;matrix_error;phase
240,H500DIMER2F_026_B240_x_pair_swap_G90_O-28,3,True,3.759887,0.388795,0.515718,35.736993,2.623704,false,ratio;Tx;matrix_error;phase
240,H500DIMER12A_001_B240_x_pair_swap_G90_O-28,3,True,3.759887,0.388795,0.515718,35.736993,2.623704,false,ratio;Tx;matrix_error;phase
300,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,3,True,3.845420,0.972728,0.509951,12.699260,5.618690,false,ratio;matrix_error
300,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,3,True,3.523155,0.956686,0.532763,16.257979,5.047551,false,ratio;matrix_error
