candidate_id,original_target_bin_deg,wavelengths_available,selected_phase_449_deg,selected_phase_450_deg,selected_phase_451_deg,mean_selected_phase_deg,phase_span_deg,worst_ratio,worst_Tx,worst_matrix_error,max_abs_phase_error_to_original_target_deg,candidate_pass_flag,failed_gates
H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,120,449;450;451,145.308988,142.208118,134.779698,140.767598,10.529290,34.236290,0.920320,0.170905,25.308988,true,
H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,120,449;450;451,140.006844,142.959239,135.018127,139.328610,7.941112,20.160105,0.906126,0.222716,22.959239,true,
H500DIMER2H_007_B120_y_pair_noswap_G24_O-30,120,449;450;451,140.031038,143.791488,135.801309,139.874739,7.990179,13.994380,0.896346,0.267314,23.791488,true,
H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,0,449;451,2.188354,,346.272761,354.230557,15.915593,228.941257,0.982771,0.066112,13.727239,false,missing_449_450_451
H500DIMER2B_006_B180_x_pair_swap_G60_O-20,60,449;451,74.334458,,56.990416,65.662437,17.344042,29.422172,0.983085,0.184358,14.334458,false,missing_449_450_451
H500DIMER2C_026_B240_x_pair_swap_G60_O-20,180,449;451,174.374026,,212.564402,193.469214,38.190376,8.738091,0.782728,0.338617,32.564402,false,missing_449_450_451
H500DIMER2C_004_B120_x_pair_swap_G60_O-20,120,449;450;451,344.986142,123.736201,18.075289,32.966847,138.750059,4.500509,0.505731,0.471386,135.013858,false,ratio
H500DIMER12A_004_B240_x_pair_swap_G90_O-30,240,449;450;451,199.109772,231.322712,224.010920,218.224119,32.212940,4.201513,0.433866,0.487862,40.890228,false,ratio;Tx
H500DIMER2D_006_B240_x_pair_swap_G80_O-30,300,449;450;451,312.699260,307.474239,311.175703,310.449981,5.225021,3.845420,0.972728,0.509951,12.699260,false,ratio;matrix_error
H500DIMER12A_005_B240_x_pair_swap_G90_O-26,240,449;450;451,208.675603,232.483695,221.781767,220.986177,23.808092,3.778578,0.391807,0.514442,31.324397,false,ratio;Tx;matrix_error
H500DIMER2F_026_B240_x_pair_swap_G90_O-28,240,449;450;451,204.263007,232.634587,221.701937,219.555554,28.371580,3.759887,0.388795,0.515718,35.736993,false,ratio;Tx;matrix_error
H500DIMER12A_001_B240_x_pair_swap_G90_O-28,240,449;450;451,204.263007,232.634587,221.701937,219.555554,28.371580,3.759887,0.388795,0.515718,35.736993,false,ratio;Tx;matrix_error
H500DIMER12D_001_B300_x_pair_swap_G70_O-30,300,449;450;451,310.593667,316.257979,311.624528,312.824924,5.664312,3.523155,0.956686,0.532763,16.257979,false,ratio;matrix_error
