tuple_id,mode,offset_deg,slot_0_candidate_id,slot_60_candidate_id,slot_120_candidate_id,slot_180_candidate_id,slot_240_candidate_id,slot_300_candidate_id,min_worst_ratio,min_worst_Tx,max_worst_matrix_error,max_candidate_phase_span_deg,max_relative_phase_error_deg,rms_relative_phase_error_deg,worst_wavelength_nm,tuple_pass_flag,failed_gates,recommendation
offset_060,global_offset_relabel,60.000000,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,3.523155,0.391807,0.532763,138.750059,75.013858,37.963695,449,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_045,global_offset_relabel,45.000000,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,3.523155,0.391807,0.532763,138.750059,78.736201,34.422307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_105,global_offset_relabel,105.000000,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,3.523155,0.391807,0.532763,138.750059,78.736201,34.422307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_165,global_offset_relabel,165.000000,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,3.523155,0.391807,0.532763,138.750059,78.736201,34.422307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_225,global_offset_relabel,225.000000,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,3.523155,0.391807,0.532763,138.750059,78.736201,34.422307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_285,global_offset_relabel,285.000000,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,3.523155,0.391807,0.532763,138.750059,78.736201,34.422307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_345,global_offset_relabel,345.000000,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,3.523155,0.391807,0.532763,138.750059,78.736201,34.422307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_041,global_offset_relabel,41.000000,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,3.523155,0.391807,0.532763,138.750059,82.736201,34.588754,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_101,global_offset_relabel,101.000000,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,3.523155,0.391807,0.532763,138.750059,82.736201,34.588754,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_161,global_offset_relabel,161.000000,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,3.523155,0.391807,0.532763,138.750059,82.736201,34.588754,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
