target_bin_deg,candidate_id,wavelengths_available,complete_449_450_451,worst_ratio,worst_Tx,worst_matrix_error,max_abs_phase_error_to_target,candidate_pass_flag,failed_gates,rank_score
0,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,449;450;451,true,228.941257,0.982771,0.066112,13.727239,true,,230.154325
60,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,449;450;451,true,29.422172,0.983085,0.184358,14.334458,true,,30.487261
120,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,449;450;451,true,20.160105,0.906126,0.222716,22.959239,true,,20.601679
180,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,449;450;451,true,8.738091,0.782728,0.338617,32.564402,false,phase,8.336710
240,H500DIMER12A_012_B240_x_pair_swap_G85_O-32,449;450;451,true,4.564178,0.452778,0.468084,35.520283,false,ratio;phase,3.225636
240,H500DIMER12A_002_B240_x_pair_swap_G85_O-28,449;450;451,true,4.220184,0.433359,0.486784,30.506090,false,ratio;Tx;phase,3.074813
240,H500DIMER12A_006_B240_x_pair_swap_G80_O-28,449;450;451,true,4.246788,0.436834,0.485257,31.517541,false,ratio;Tx;phase,3.059322
240,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,449;450;451,true,3.760402,0.390811,0.515683,28.491306,false,ratio;Tx;matrix_error;phase,2.601776
240,H500DIMER12A_008_B240_x_pair_swap_G90_O-32,449;450;451,true,4.080390,0.422690,0.495051,45.407578,false,ratio;Tx;phase,2.160340
240,H500DIMER12A_003_B240_x_pair_swap_G95_O-28,449;450;451,true,3.853636,0.415128,0.509410,45.852140,false,ratio;Tx;matrix_error;phase,1.881875
240,H500DIMER12A_016_B240_x_pair_swap_G90_O-36,449;450;451,true,3.690515,0.388215,0.520544,44.898222,false,ratio;Tx;matrix_error;phase,1.701490
240,H500DIMER12A_007_B240_x_pair_swap_G100_O-28,449;450;451,true,3.376517,0.359517,0.544210,41.934779,false,ratio;Tx;matrix_error;phase,1.454602
300,H500DIMER12D_003_B300_x_pair_swap_G90_O-30,449;450;451,true,4.507269,0.986508,0.471025,14.715719,false,ratio,5.273474
300,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,449;450;451,true,4.531912,0.975489,0.469742,15.662073,false,ratio,5.230044
300,H500DIMER12D_004_B300_x_pair_swap_G80_O-40,449;450;451,true,4.467450,0.980281,0.473118,16.453351,false,ratio,5.132226
300,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,449;450;451,true,3.724836,0.975170,0.518140,7.526662,false,ratio;matrix_error,4.780703
300,H500DIMER12D_002_B300_x_pair_swap_G80_O-30,449;450;451,true,3.845420,0.972728,0.509951,12.699260,false,ratio;matrix_error,4.645962
300,H500DIMER12D_005_B300_x_pair_swap_G80_O-20,449;450;451,true,3.230742,0.978161,0.556351,10.235072,false,ratio;matrix_error,4.118959
300,H500DIMER12D_010_B300_diag_pair_swap_G80_O-30,449;450;451,true,1.198715,0.918088,0.951333,13.133911,false,ratio;matrix_error,1.426862
300,H500DIMER12D_011_B300_diag_pair_noswap_G80_O-30,449;450;451,true,1.080152,0.863382,1.032626,15.306379,false,ratio;matrix_error,1.008971
300,H500DIMER12D_008_B300_y_pair_swap_G80_O-30,449;450;451,true,0.421363,0.419077,1.541319,72.990063,false,ratio;Tx;matrix_error;phase,-3.931305
300,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30,449;450;451,true,0.421363,0.419076,1.541321,72.990094,false,ratio;Tx;matrix_error;phase,-3.931311
