run_reason,target_bin_deg,candidate_id,dimer_case_id,wavelength_nm,source_stage_or_source_file
evidence_completion,0,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv
evidence_completion,60,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv
evidence_completion,180,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER2C_026_B240_x_pair_swap_G60_O-20_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv
expanded_240_300,240,H500DIMER12A_008_B240_x_pair_swap_G90_O-32,H500DIMER12A_008_B240_x_pair_swap_G90_O-32_3B4_WL449NM,449,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_008_B240_x_pair_swap_G90_O-32,H500DIMER12A_008_B240_x_pair_swap_G90_O-32_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_008_B240_x_pair_swap_G90_O-32,H500DIMER12A_008_B240_x_pair_swap_G90_O-32_3B4_WL451NM,451,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_002_B240_x_pair_swap_G85_O-28,H500DIMER12A_002_B240_x_pair_swap_G85_O-28_3B4_WL449NM,449,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_002_B240_x_pair_swap_G85_O-28,H500DIMER12A_002_B240_x_pair_swap_G85_O-28_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_002_B240_x_pair_swap_G85_O-28,H500DIMER12A_002_B240_x_pair_swap_G85_O-28_3B4_WL451NM,451,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_003_B240_x_pair_swap_G95_O-28,H500DIMER12A_003_B240_x_pair_swap_G95_O-28_3B4_WL449NM,449,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
