tuple_id,mode,offset_deg,slot_0_candidate_id,slot_60_candidate_id,slot_120_candidate_id,slot_180_candidate_id,slot_240_candidate_id,slot_300_candidate_id,min_worst_ratio,min_worst_Tx,max_worst_matrix_error,max_candidate_phase_span_deg,max_relative_phase_error_deg,rms_relative_phase_error_deg,worst_wavelength_nm,tuple_pass_flag,failed_gates,recommendation
explicit_repaired_after_3b4,fixed_repaired_after_expansion,0.000000,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER12A_012_B240_x_pair_swap_G85_O-32,H500DIMER12D_003_B300_x_pair_swap_G90_O-30,4.507269,0.452778,0.471025,38.190376,35.520283,15.967819,449,false,ratio;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_000,global_offset_relabel,0.000000,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,3.724836,0.390811,0.518140,38.190376,32.564402,14.994540,451,false,ratio;Tx;matrix_error;relative_phase;candidate_gate,expand_240_300_or_global_search
offset_060,global_offset_relabel,60.000000,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,3.724836,0.390811,0.518140,38.190376,32.564402,14.994540,451,false,ratio;Tx;matrix_error;relative_phase;candidate_gate,expand_240_300_or_global_search
offset_120,global_offset_relabel,120.000000,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,3.724836,0.390811,0.518140,38.190376,32.564402,14.994540,451,false,ratio;Tx;matrix_error;relative_phase;candidate_gate,expand_240_300_or_global_search
offset_180,global_offset_relabel,180.000000,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,3.724836,0.390811,0.518140,38.190376,32.564402,14.994540,451,false,ratio;Tx;matrix_error;relative_phase;candidate_gate,expand_240_300_or_global_search
offset_240,global_offset_relabel,240.000000,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,3.724836,0.390811,0.518140,38.190376,32.564402,14.994540,451,false,ratio;Tx;matrix_error;relative_phase;candidate_gate,expand_240_300_or_global_search
offset_300,global_offset_relabel,300.000000,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,3.724836,0.390811,0.518140,38.190376,32.564402,14.994540,451,false,ratio;Tx;matrix_error;relative_phase;candidate_gate,expand_240_300_or_global_search
fixed_labels,fixed_labels,0.000000,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER12A_006_B240_x_pair_swap_G80_O-28,H500DIMER12D_004_B300_x_pair_swap_G80_O-40,4.246788,0.436834,0.485257,38.190376,32.564402,16.308585,451,false,ratio;Tx;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_005,global_offset_relabel,5.000000,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,3.724836,0.390811,0.518140,38.190376,33.491306,14.985591,449,false,ratio;Tx;matrix_error;relative_phase;candidate_gate,expand_240_300_or_global_search
offset_065,global_offset_relabel,65.000000,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,3.724836,0.390811,0.518140,38.190376,33.491306,14.985591,449,false,ratio;Tx;matrix_error;relative_phase;candidate_gate,expand_240_300_or_global_search
