height_nm,phase_bin_hint_deg,candidate_family,priority_for_stage11_4a1,planned_status,reason
600,0,Hnew_template_from_H500_geometry,coverage_bin,included,H600 primary fixed-height scout
600,60,Hnew_template_from_H500_geometry,coverage_bin,included,H600 primary fixed-height scout
600,120,Hnew_template_from_H500_geometry,coverage_bin,included,H600 primary fixed-height scout
600,180,Hnew_template_from_H500_geometry,coverage_bin,included,H600 primary fixed-height scout
600,240,Hnew_template_from_H500_geometry,highest_priority_bin,included,H600 primary fixed-height scout
600,300,Hnew_template_from_H500_geometry,highest_priority_bin,included,H600 primary fixed-height scout
650,0,Hnew_template_from_H500_geometry,coverage_bin,included,H650 primary fixed-height scout
650,60,Hnew_template_from_H500_geometry,coverage_bin,included,H650 primary fixed-height scout
650,120,Hnew_template_from_H500_geometry,coverage_bin,included,H650 primary fixed-height scout
650,180,Hnew_template_from_H500_geometry,coverage_bin,included,H650 primary fixed-height scout
650,240,Hnew_template_from_H500_geometry,highest_priority_bin,included,H650 primary fixed-height scout
650,300,Hnew_template_from_H500_geometry,highest_priority_bin,included,H650 primary fixed-height scout
700,240,Hnew_template_from_H500_geometry,medium_high_priority_bin,included,H700 priority-bin-only scout
700,300,Hnew_template_from_H500_geometry,medium_high_priority_bin,included,H700 priority-bin-only scout
550,all,Hnew_template_from_H500_geometry,deferred,deferred,H550 deferred
750,all,Hnew_template_from_H500_geometry,deferred,deferred,H750 deferred
