case_id,group_id,height_nm,wavelength_nm,phase_bin_deg,candidate_id,target_Tx,y_leakage,conversion_to_leakage_ratio,selected_phase_deg,phase_error_deg,matrix_error,pass_level,result_csv,status,nearest_actual_bin_deg,reassignment_flag
S11_4A10_TRUE_B300_G1_001_WL451,S11_4A9_G1_TRUE_B300_DIFFERENT_ANCHOR_FAMILY,600,451,300,H600TRUEB300G1_001_y_pair_J2J1_G80,0.670202,0.708891,0.945422,82.730973,142.730973,1.031095,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_001_WL451\S11_4A10_TRUE_B300_G1_001_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_001_WL451\S11_4A10_TRUE_B300_G1_001_WL451_y_summary.csv,ok,60,none
S11_4A10_TRUE_B300_G1_001_WL452,S11_4A9_G1_TRUE_B300_DIFFERENT_ANCHOR_FAMILY,600,452,300,H600TRUEB300G1_001_y_pair_J2J1_G80,0.019146,0.894164,0.021413,80.694136,140.694136,6.834706,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_001_WL452\S11_4A10_TRUE_B300_G1_001_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_001_WL452\S11_4A10_TRUE_B300_G1_001_WL452_y_summary.csv,ok,60,none
S11_4A10_TRUE_B300_G1_001_WL453,S11_4A9_G1_TRUE_B300_DIFFERENT_ANCHOR_FAMILY,600,453,300,H600TRUEB300G1_001_y_pair_J2J1_G80,0.966060,0.978610,0.987176,43.869257,103.869257,1.008017,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_001_WL453\S11_4A10_TRUE_B300_G1_001_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_001_WL453\S11_4A10_TRUE_B300_G1_001_WL453_y_summary.csv,ok,60,none
S11_4A10_TRUE_B300_G1_002_WL451,S11_4A9_G1_TRUE_B300_DIFFERENT_ANCHOR_FAMILY,600,451,300,H600TRUEB300G1_002_y_pair_J1J2_G80,0.670121,0.708891,0.945309,83.429958,143.429958,1.031215,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_002_WL451\S11_4A10_TRUE_B300_G1_002_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_002_WL451\S11_4A10_TRUE_B300_G1_002_WL451_y_summary.csv,ok,60,none
S11_4A10_TRUE_B300_G1_002_WL452,S11_4A9_G1_TRUE_B300_DIFFERENT_ANCHOR_FAMILY,600,452,300,H600TRUEB300G1_002_y_pair_J1J2_G80,0.019158,0.894164,0.021426,80.326337,140.326337,6.832523,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_002_WL452\S11_4A10_TRUE_B300_G1_002_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_002_WL452\S11_4A10_TRUE_B300_G1_002_WL452_y_summary.csv,ok,60,none
S11_4A10_TRUE_B300_G1_002_WL453,S11_4A9_G1_TRUE_B300_DIFFERENT_ANCHOR_FAMILY,600,453,300,H600TRUEB300G1_002_y_pair_J1J2_G80,0.966134,0.978610,0.987251,42.331110,102.331110,1.007940,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_002_WL453\S11_4A10_TRUE_B300_G1_002_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_002_WL453\S11_4A10_TRUE_B300_G1_002_WL453_y_summary.csv,ok,60,none
S11_4A10_TRUE_B300_G1_003_WL451,S11_4A9_G1_TRUE_B300_DIFFERENT_ANCHOR_FAMILY,600,451,300,H600TRUEB300G1_003_diag_pair_J2J1_G80,0.959505,0.142768,6.720710,31.289476,91.289476,0.390546,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_003_WL451\S11_4A10_TRUE_B300_G1_003_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_003_WL451\S11_4A10_TRUE_B300_G1_003_WL451_y_summary.csv,ok,60,none
S11_4A10_TRUE_B300_G1_003_WL452,S11_4A9_G1_TRUE_B300_DIFFERENT_ANCHOR_FAMILY,600,452,300,H600TRUEB300G1_003_diag_pair_J2J1_G80,0.957854,0.204552,4.682702,27.554398,87.554398,0.462291,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_003_WL452\S11_4A10_TRUE_B300_G1_003_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_003_WL452\S11_4A10_TRUE_B300_G1_003_WL452_y_summary.csv,ok,0,none
S11_4A10_TRUE_B300_G1_003_WL453,S11_4A9_G1_TRUE_B300_DIFFERENT_ANCHOR_FAMILY,600,453,300,H600TRUEB300G1_003_diag_pair_J2J1_G80,0.959569,0.215284,4.457230,22.631520,82.631520,0.475866,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_003_WL453\S11_4A10_TRUE_B300_G1_003_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_003_WL453\S11_4A10_TRUE_B300_G1_003_WL453_y_summary.csv,ok,0,none
S11_4A10_TRUE_B300_G1_004_WL451,S11_4A9_G1_TRUE_B300_DIFFERENT_ANCHOR_FAMILY,600,451,300,H600TRUEB300G1_004_diag_pair_J1J2_G80,0.959749,0.142768,6.722419,29.940554,89.940554,0.390171,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_004_WL451\S11_4A10_TRUE_B300_G1_004_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a10_fdtd_tmp\S11_4A10_TRUE_B300_G1_004_WL451\S11_4A10_TRUE_B300_G1_004_WL451_y_summary.csv,ok,0,none
