candidate_id,base_candidate_id,H_nm,L1_nm,W1_nm,theta1_deg,L2_nm,W2_nm,theta2_deg,gap_or_dx_nm,center_dx_nm,center_dy_nm,period_x_nm,period_y_nm,pair_swap,axis,G_nm,O_nm,transform_rule,evidence_file,evidence_type,confidence,status
H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER2D_006,500,150,130,68,270,120,158,54,,,,,true,x,80,-30,suffix_only,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_h500_450nm_single_point_seed_library.csv,base_candidate_csv,medium,partial_base_only
H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER12D_001,500,260,90,94,280,140,94,30,,,,,true,x,70,-30,suffix_only,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_hnew_all_candidates_unified.csv,exact_candidate_csv,medium,partial_base_only
H500DIMER12D_004_B300_x_pair_swap_G80_O-40,H500DIMER12D_004,500,140,170,115,200,100,70,30,,,,,true,x,80,-40,suffix_only,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_hnew_all_candidates_unified.csv,exact_candidate_csv,medium,partial_base_only
H500DIMER2C_029,H500DIMER2C_029,500,170,130,173,200,110,83,70,,,,,,,,,base_only,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_h500_450nm_single_point_seed_library.csv,base_candidate_csv,medium,partial_base_only
H500DIMER2B_006,H500DIMER2B_006,500,290,100,10,230,90,55,62,,,,,,,,,base_only,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_h500_450nm_single_point_seed_library.csv,base_candidate_csv,medium,partial_base_only
H500DIMER2C_004,H500DIMER2C_004,500,280,110,22,270,110,157,64,,,,,,,,,base_only,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_h500_450nm_single_point_seed_library.csv,base_candidate_csv,medium,partial_base_only
H500DIMER2C_026,H500DIMER2C_026,500,230,80,39,170,140,129,70,,,,,,,,,base_only,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_h500_450nm_single_point_seed_library.csv,base_candidate_csv,medium,partial_base_only
H500DIMER2D_018,H500DIMER2D_018,500,180,110,46,260,80,46,52,,,,,,,,,base_only,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_h500_450nm_single_point_seed_library.csv,base_candidate_csv,medium,partial_base_only
H500DIMER2D_006,H500DIMER2D_006,500,150,130,68,270,120,158,54,,,,,,,,,base_only,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_h500_450nm_single_point_seed_library.csv,base_candidate_csv,medium,partial_base_only
H500DIMER12D_001,H500DIMER12D_001,500,260,90,94,280,140,94,30,,,,,,,,,base_only,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_hnew_all_candidates_unified.csv,exact_candidate_csv,medium,partial_base_only
H500DIMER12D_004,H500DIMER12D_004,500,140,170,115,200,100,70,30,,,,,,,,,base_only,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_hnew_all_candidates_unified.csv,exact_candidate_csv,medium,partial_base_only
