height_nm,phase_bin_deg,candidate_id,complete_451_452_453,worst_ratio,worst_Tx,worst_matrix_error,max_phase_error_deg,best_pass_level,robust_3nm_pass,failed_gates
600,0,H600_FROM_H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,true,0.411377,0.346464,1.559151,140.470709,fail,false,ratio;Tx;matrix;phase
600,60,H600_FROM_H500DIMER2B_006_B180_x_pair_swap_G60_O-20,true,0.991294,0.809145,1.004381,14.106347,fail,false,ratio;matrix
600,120,H600_FROM_H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,true,1.254095,0.942745,0.894428,115.284583,fail,false,ratio;matrix;phase
600,180,H600_FROM_H500DIMER2C_026_B240_x_pair_swap_G60_O-20,true,1.331554,0.997756,0.866605,95.127081,fail,false,ratio;matrix;phase
600,240,H600_FROM_H500DIMER12A_012_B240_x_pair_swap_G85_O-32,true,1.003135,0.981633,0.998437,40.346637,fail,false,ratio;matrix;phase
600,300,H600_FROM_H500DIMER12D_003_B300_x_pair_swap_G90_O-30,true,9.148207,0.956956,0.330634,99.860401,fail,false,phase
650,0,H650_FROM_H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,true,0.892804,0.891885,1.058335,161.170161,fail,false,ratio;matrix;phase
650,60,H650_FROM_H500DIMER2B_006_B180_x_pair_swap_G60_O-20,true,0.187216,0.143150,2.311151,89.109618,fail,false,ratio;Tx;matrix;phase
650,120,H650_FROM_H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,true,0.008260,0.007644,11.002901,106.356584,fail,false,ratio;Tx;matrix;phase
650,180,H650_FROM_H500DIMER2C_026_B240_x_pair_swap_G60_O-20,true,0.910185,0.892471,1.048180,153.415722,fail,false,ratio;matrix;phase
650,240,H650_FROM_H500DIMER12A_012_B240_x_pair_swap_G85_O-32,true,0.445325,0.393253,1.498517,92.682990,fail,false,ratio;Tx;matrix;phase
650,300,H650_FROM_H500DIMER12D_003_B300_x_pair_swap_G90_O-30,true,0.979060,0.924749,1.010637,158.629305,fail,false,ratio;matrix;phase
700,240,H700_FROM_H500DIMER12A_012_B240_x_pair_swap_G85_O-32,true,1.094537,0.998887,0.955839,132.146239,fail,false,ratio;matrix;phase
700,300,H700_FROM_H500DIMER12D_003_B300_x_pair_swap_G90_O-30,true,0.764872,0.760859,1.143419,136.495370,fail,false,ratio;matrix;phase
