case_id,height_nm,wavelength_nm,phase_bin_deg,candidate_id,target_Tx,y_leakage,conversion_to_leakage_ratio,selected_phase_deg,phase_error_deg,matrix_error,pass_level,result_csv,status
S11_4A1_H600_B000_WL451,600,451,0,H600_FROM_H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,0.451985,0.756669,0.597336,140.470709,140.470709,1.293880,fail,D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B000_WL451\S11_4A1_H600_B000_WL451_x_summary.csv;D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B000_WL451\S11_4A1_H600_B000_WL451_y_summary.csv,ok
S11_4A1_H600_B000_WL452,600,452,0,H600_FROM_H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,0.413458,0.652066,0.634074,134.784230,134.784230,1.255848,fail,D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B000_WL452\S11_4A1_H600_B000_WL452_x_summary.csv;D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B000_WL452\S11_4A1_H600_B000_WL452_y_summary.csv,ok
S11_4A1_H600_B000_WL453,600,453,0,H600_FROM_H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,0.346464,0.842207,0.411377,138.855945,138.855945,1.559151,fail,D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B000_WL453\S11_4A1_H600_B000_WL453_x_summary.csv;D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B000_WL453\S11_4A1_H600_B000_WL453_y_summary.csv,ok
S11_4A1_H600_B060_WL451,600,451,60,H600_FROM_H500DIMER2B_006_B180_x_pair_swap_G60_O-20,0.811356,0.776725,1.044587,74.106347,14.106347,0.978426,fail,D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B060_WL451\S11_4A1_H600_B060_WL451_x_summary.csv;D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B060_WL451\S11_4A1_H600_B060_WL451_y_summary.csv,ok
S11_4A1_H600_B060_WL452,600,452,60,H600_FROM_H500DIMER2B_006_B180_x_pair_swap_G60_O-20,0.811033,0.792135,1.023858,68.237939,8.237939,0.988281,fail,D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B060_WL452\S11_4A1_H600_B060_WL452_x_summary.csv;D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B060_WL452\S11_4A1_H600_B060_WL452_y_summary.csv,ok
S11_4A1_H600_B060_WL453,600,453,60,H600_FROM_H500DIMER2B_006_B180_x_pair_swap_G60_O-20,0.809145,0.816251,0.991294,63.008702,3.008702,1.004381,fail,D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B060_WL453\S11_4A1_H600_B060_WL453_x_summary.csv;D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B060_WL453\S11_4A1_H600_B060_WL453_y_summary.csv,ok
S11_4A1_H600_B120_WL451,600,451,120,H600_FROM_H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,0.942745,0.751733,1.254095,235.284583,115.284583,0.894428,fail,D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B120_WL451\S11_4A1_H600_B120_WL451_x_summary.csv;D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B120_WL451\S11_4A1_H600_B120_WL451_y_summary.csv,ok
S11_4A1_H600_B120_WL452,600,452,120,H600_FROM_H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,0.958127,0.736848,1.300303,235.054538,115.054538,0.877010,fail,D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B120_WL452\S11_4A1_H600_B120_WL452_x_summary.csv;D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B120_WL452\S11_4A1_H600_B120_WL452_y_summary.csv,ok
S11_4A1_H600_B120_WL453,600,453,120,H600_FROM_H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,0.971205,0.743192,1.306801,217.614215,97.614215,0.876332,fail,D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B120_WL453\S11_4A1_H600_B120_WL453_x_summary.csv;D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B120_WL453\S11_4A1_H600_B120_WL453_y_summary.csv,ok
S11_4A1_H600_B180_WL451,600,451,180,H600_FROM_H500DIMER2C_026_B240_x_pair_swap_G60_O-20,1.000819,0.133436,7.500351,275.127081,95.127081,0.365142,fail,D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B180_WL451\S11_4A1_H600_B180_WL451_x_summary.csv;D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_fdtd_tmp\S11_4A1_H600_B180_WL451\S11_4A1_H600_B180_WL451_y_summary.csv,ok
