case_id,group_id,height_nm,wavelength_nm,phase_bin_deg,candidate_id,target_Tx,y_leakage,conversion_to_leakage_ratio,selected_phase_deg,phase_error_deg,matrix_error,pass_level,result_csv,status
S11_4A5_H600_B240_MECH001_WL451,S11_4A4_H600_B240_MECHANISM_EXPANSION,600,451,240,H600B240MECH_001_x_pair_J1J2_G120,0.998887,0.896388,1.114347,279.647504,39.647504,0.947306,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH001_WL451\S11_4A5_H600_B240_MECH001_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH001_WL451\S11_4A5_H600_B240_MECH001_WL451_y_summary.csv,ok
S11_4A5_H600_B240_MECH001_WL452,S11_4A4_H600_B240_MECHANISM_EXPANSION,600,452,240,H600B240MECH_001_x_pair_J1J2_G120,0.997927,0.929463,1.073660,275.805334,35.805334,0.965088,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH001_WL452\S11_4A5_H600_B240_MECH001_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH001_WL452\S11_4A5_H600_B240_MECH001_WL452_y_summary.csv,ok
S11_4A5_H600_B240_MECH001_WL453,S11_4A4_H600_B240_MECHANISM_EXPANSION,600,453,240,H600B240MECH_001_x_pair_J1J2_G120,1.003598,0.963902,1.041182,271.706816,31.706816,0.980025,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH001_WL453\S11_4A5_H600_B240_MECH001_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH001_WL453\S11_4A5_H600_B240_MECH001_WL453_y_summary.csv,ok
S11_4A5_H600_B240_MECH002_WL451,S11_4A4_H600_B240_MECHANISM_EXPANSION,600,451,240,H600B240MECH_002_x_pair_J2J1_G120,0.998887,0.896388,1.114347,280.320869,40.320869,0.947306,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH002_WL451\S11_4A5_H600_B240_MECH002_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH002_WL451\S11_4A5_H600_B240_MECH002_WL451_y_summary.csv,ok
S11_4A5_H600_B240_MECH002_WL452,S11_4A4_H600_B240_MECHANISM_EXPANSION,600,452,240,H600B240MECH_002_x_pair_J2J1_G120,0.997927,0.929463,1.073660,276.416101,36.416101,0.965088,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH002_WL452\S11_4A5_H600_B240_MECH002_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH002_WL452\S11_4A5_H600_B240_MECH002_WL452_y_summary.csv,ok
S11_4A5_H600_B240_MECH002_WL453,S11_4A4_H600_B240_MECHANISM_EXPANSION,600,453,240,H600B240MECH_002_x_pair_J2J1_G120,1.003598,0.963902,1.041183,272.280863,32.280863,0.980025,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH002_WL453\S11_4A5_H600_B240_MECH002_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH002_WL453\S11_4A5_H600_B240_MECH002_WL453_y_summary.csv,ok
S11_4A5_H600_B240_MECH003_WL451,S11_4A4_H600_B240_MECHANISM_EXPANSION,600,451,240,H600B240MECH_003_x_pair_J1J2_G120,0.998887,0.896388,1.114347,279.647504,39.647504,0.947306,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH003_WL451\S11_4A5_H600_B240_MECH003_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH003_WL451\S11_4A5_H600_B240_MECH003_WL451_y_summary.csv,ok
S11_4A5_H600_B240_MECH003_WL452,S11_4A4_H600_B240_MECHANISM_EXPANSION,600,452,240,H600B240MECH_003_x_pair_J1J2_G120,0.997927,0.929463,1.073660,275.805334,35.805334,0.965088,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH003_WL452\S11_4A5_H600_B240_MECH003_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH003_WL452\S11_4A5_H600_B240_MECH003_WL452_y_summary.csv,ok
S11_4A5_H600_B240_MECH003_WL453,S11_4A4_H600_B240_MECHANISM_EXPANSION,600,453,240,H600B240MECH_003_x_pair_J1J2_G120,1.003598,0.963902,1.041182,271.706816,31.706816,0.980025,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH003_WL453\S11_4A5_H600_B240_MECH003_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH003_WL453\S11_4A5_H600_B240_MECH003_WL453_y_summary.csv,ok
S11_4A5_H600_B240_MECH004_WL451,S11_4A4_H600_B240_MECHANISM_EXPANSION,600,451,240,H600B240MECH_004_x_pair_J2J1_G120,0.998887,0.896388,1.114347,280.320869,40.320869,0.947306,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH004_WL451\S11_4A5_H600_B240_MECH004_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a5_fdtd_tmp\S11_4A5_H600_B240_MECH004_WL451\S11_4A5_H600_B240_MECH004_WL451_y_summary.csv,ok
