geometry_uid,exact_hash,role,source,global_or_seed,phase_trajectory_deg,broadband_status,projector_pass_count,failed_wavelengths,worst_projector_error,median_projector_error,min_Txx,median_Txx,max_Txx,min_throughput,median_throughput,max_throughput,x_case_uid,y_case_uid,solver_entered_x,solver_entered_y,source_stage,strict_definition,near_miss_promoted_to_strict
H1C1C_R01,d82580d54111ea9bfd110ba4078c726ecc17343f61807c2e396a4571f37e73b0,PHASE_GAP_NEAR_MISS_RESCUE,H1C1C_PHASE_GAP_NEAR_MISS_RESCUE_V1,RESCUE,"[63.445864784962055, 22.352707471968415, 148.40982629507607, 137.38443463139282, 123.99144845208593, 114.73319814439441, 107.5967760154083, 101.84512164513711, 96.88930443226923]",PARTIALLY_COMPATIBLE,3,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5]",0.9898609191600587,0.2043776932063308,0.001893751846623353,0.43738880106773004,0.9348798102935674,0.09338873397493909,0.2762052451702519,0.5875148310390523,H1C1C_H1C1C_R01_Px,H1C1C_H1C1C_R01_Py,True,True,H1C1C_PHASE_GAP_BROADBAND,9/9 projector pass only,False
H1C1C_R02,168183f772de0c0e5e702d4e995a2ad592396ff647434e2a6e3935f5bdf6ff73,PHASE_GAP_NEAR_MISS_RESCUE,H1C1C_PHASE_GAP_NEAR_MISS_RESCUE_V1,RESCUE,"[73.15795248467481, 40.70823332810602, 136.14487933623803, 102.18342222886133, 93.57966512659726, 88.57234053247254, 83.70617627125586, 79.82632378965343, 77.19585395946609]",CENTER_ONLY_COMPATIBLE,7,"[453.5, 454.0]",0.2820093482635152,0.08098141767060063,0.15797574096855885,0.8668043626124033,0.9437093711447846,0.08194435877421184,0.47564645648859216,0.6476449355556391,H1C1C_H1C1C_R02_Px,H1C1C_H1C1C_R02_Py,True,True,H1C1C_PHASE_GAP_BROADBAND,9/9 projector pass only,False
H1C1C_R03,28fe1e8af9f21a1d42ee7b194d5c31a4a207045a5d9ba16a3a51e00814c03a7c,PHASE_GAP_NEAR_MISS_RESCUE,H1C1C_PHASE_GAP_NEAR_MISS_RESCUE_V1,RESCUE,"[132.91860208580192, 122.78468626561153, 113.57368086100882, 103.63311077116663, 91.61865369132533, 75.41985248024821, 48.91184142984349, 8.815010427678772, 145.66784372952105]",PARTIALLY_COMPATIBLE,4,"[450.0, 450.5, 451.0, 453.5, 454.0]",0.8288647599023606,0.2218094000471028,0.007692318866833544,0.7100306135522212,0.9907155016390583,0.022474385937241135,0.4602766135012135,0.5552987674358767,H1C1C_H1C1C_R03_Px,H1C1C_H1C1C_R03_Py,True,True,H1C1C_PHASE_GAP_BROADBAND,9/9 projector pass only,False
H1C1C_R04,335a88ab04422b7cee7c78ee36928f383f33253ec86a6166c835cc268e7f4513,PHASE_GAP_NEAR_MISS_RESCUE,H1C1C_PHASE_GAP_NEAR_MISS_RESCUE_V1,RESCUE,"[75.73477179871315, 36.43340347217179, 2.074932818251966, 148.11402576391538, 141.73335220151017, 134.41423302349506, 127.40052396161411, 120.17151691862819, 114.45141078598624]",CENTER_ONLY_COMPATIBLE,6,"[450.5, 451.0, 451.5]",0.897756052229574,0.13497903174778292,0.002686695747430859,0.17946774323194617,0.8978328868420129,0.013138654199187635,0.09322858106214292,0.5189659671811729,H1C1C_H1C1C_R04_Px,H1C1C_H1C1C_R04_Py,True,True,H1C1C_PHASE_GAP_BROADBAND,9/9 projector pass only,False
H1C1C_R05,6301dec3b8671f13195dab743e3f793b021cf5e41f7e06864b91342ba43838c4,PHASE_GAP_NEAR_MISS_RESCUE,H1C1C_PHASE_GAP_NEAR_MISS_RESCUE_V1,RESCUE,"[126.57552644465898, 122.04217299631193, 118.85502632883743, 116.19392098150502, 112.60387940275166, 108.60405199585489, 105.3781020356468, 101.63038799756589, 96.12894581728153]",CENTER_ONLY_COMPATIBLE,6,"[450.5, 451.0, 451.5]",0.24809927799633147,0.12986369940905362,0.889020422048269,0.952719121884931,0.989919610388432,0.4903739015234008,0.5546615878541938,0.6307525091887962,H1C1C_H1C1C_R05_Px,H1C1C_H1C1C_R05_Py,True,True,H1C1C_PHASE_GAP_BROADBAND,9/9 projector pass only,False
H1C1C_R06,21cb2a2870ff636725f4ed3ac6782c70a1a4370ab857559b4ae9ba8f017ff58d,PHASE_GAP_NEAR_MISS_RESCUE,H1C1C_PHASE_GAP_NEAR_MISS_RESCUE_V1,RESCUE,"[109.68324431071267, 106.86445502812683, 103.83267641579027, 99.761765104061, 95.72534355000107, 92.09994797409212, 86.49814067942293, 77.7873315379959, 67.71672071149993]",CENTER_ONLY_COMPATIBLE,8,[454.0],0.1987931587045697,0.09497779268896966,0.9649281413625963,0.9795733520795732,1.0084866452514354,0.49768431876668534,0.540197928849968,0.6113111506235714,H1C1C_H1C1C_R06_Px,H1C1C_H1C1C_R06_Py,True,True,H1C1C_PHASE_GAP_BROADBAND,9/9 projector pass only,False
H1C1C_E01,d6887d29e3d90ba484a631278da96244188b48a1478a64ca1c3498ef1995d037,GLOBAL_PHASE_GAP_EXPLORATION,H1C1C_DETERMINISTIC_SOBOL_COVERAGE_RANKING_SEED_17,EXPLORATION,"[86.7876562800638, 82.94647224781397, 81.60843987384891, 79.14669742001206, 76.11154005571757, 74.10690241376358, 72.2936821971764, 69.84380426676194, 67.57946585131685]",INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.4902618622359246,0.4668140146978178,0.8550930421101418,0.9393475424635753,0.9515286470362935,0.724948807325797,0.8734874886598571,0.9323886012846794,H1C1C_H1C1C_E01_Px,H1C1C_H1C1C_E01_Py,True,True,H1C1C_PHASE_GAP_BROADBAND,9/9 projector pass only,False
H1C1C_E02,2369210b8f30cae0ca200ce45d61add45523a0629d70d88248132d4303943165,GLOBAL_PHASE_GAP_EXPLORATION,H1C1C_DETERMINISTIC_SOBOL_COVERAGE_RANKING_SEED_17,EXPLORATION,"[77.42258458560383, 70.07673778178383, 65.16256228530119, 64.01188128000331, 62.57017149114478, 59.35884866723649, 57.20188915356931, 56.13296816228683, 53.866761573405654]",CENTER_ONLY_COMPATIBLE,1,"[450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.4750590310479499,0.41475933740788185,0.9183425278434805,0.9784119540445814,1.0323139290746624,0.6284573784487784,0.8359056509428522,0.9274147788402993,H1C1C_H1C1C_E02_Px,H1C1C_H1C1C_E02_Py,True,True,H1C1C_PHASE_GAP_BROADBAND,9/9 projector pass only,False
H1C1C_E03,1c523edb3917d0402f7208958de7b8dee2ccb8cc8f49321b7dc412bf484919d6,GLOBAL_PHASE_GAP_EXPLORATION,H1C1C_DETERMINISTIC_SOBOL_COVERAGE_RANKING_SEED_17,EXPLORATION,"[78.12291380321432, 55.828337504292165, 120.39665116057637, 96.62306060300426, 90.86084988762298, 84.87008176379345, 79.23693649232513, 76.84373510204057, 74.85400112081078]",INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.8832315089104599,0.48352545616749665,0.08417677820724391,0.9066936975930715,0.9767130376377551,0.36044303314108805,0.8425809722483838,0.9328708617201553,H1C1C_H1C1C_E03_Px,H1C1C_H1C1C_E03_Py,True,True,H1C1C_PHASE_GAP_BROADBAND,9/9 projector pass only,False
H1C1C_E04,2b87e8ffd8d4deb0b17c2dac1a60f80ce7a2315de620e59e43048866a279c4cc,GLOBAL_PHASE_GAP_EXPLORATION,H1C1C_DETERMINISTIC_SOBOL_COVERAGE_RANKING_SEED_17,EXPLORATION,"[79.71747555369262, 76.31080222131686, 75.09282621338343, 73.0062964133777, 69.89138190251344, 67.93490518086548, 66.44544418504478, 63.836320167435304, 61.39685643073483]",INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.4818830847584794,0.43834745717244183,0.8854224132521286,0.9379358589587313,0.9596639550047606,0.5943248906764157,0.8291080647521476,0.9227152385191597,H1C1C_H1C1C_E04_Px,H1C1C_H1C1C_E04_Py,True,True,H1C1C_PHASE_GAP_BROADBAND,9/9 projector pass only,False
