m,real,imag,magnitude,phase_deg,analytic_selection
-6,-5.99996640101469,0.020079509327523396,6.0,179.80825445222555,constructive
-5,2.55351295663786e-15,2.1094237467877974e-15,3.312113670034544e-15,,cancelled_root_of_unity
-4,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,,cancelled_root_of_unity
-3,9.64939933512099e-16,0.0,9.64939933512099e-16,,cancelled_root_of_unity
-2,-1.1102230246251565e-16,8.881784197001252e-16,8.95090418262362e-16,,cancelled_root_of_unity
-1,5.551115123125783e-16,3.3306690738754696e-16,6.473657049138938e-16,,cancelled_root_of_unity
0,6.0,0.0,6.0,0.0,constructive
1,5.551115123125783e-16,-3.3306690738754696e-16,6.473657049138938e-16,,cancelled_root_of_unity
2,-1.1102230246251565e-16,-8.881784197001252e-16,8.95090418262362e-16,,cancelled_root_of_unity
3,9.64939933512099e-16,0.0,9.64939933512099e-16,,cancelled_root_of_unity
4,0.0,1.7763568394002505e-15,1.7763568394002505e-15,,cancelled_root_of_unity
5,2.55351295663786e-15,-2.1094237467877974e-15,3.312113670034544e-15,,cancelled_root_of_unity
6,-5.99996640101469,-0.020079509327523396,6.0,-179.80825445222555,constructive
