"scope","plus_dominates_baseline","baseline_dominates_plus","minus_dominates_baseline","baseline_dominates_minus"
"wavelength_450","False","False","False","False"
"wavelength_450.5","False","False","False","False"
"wavelength_451","False","False","False","False"
"wavelength_451.5","False","False","False","False"
"wavelength_452","False","False","False","False"
"wavelength_452.5","False","False","False","False"
"wavelength_453","False","False","False","False"
"wavelength_453.5","False","False","False","False"
"wavelength_454","False","False","False","False"
"9_point_mean","False","False","False","False"
